Class,Order,Family,Korean_Name,Scientific_Name
Mammalia,Erinaceomorpha,Erinaceidae,고슴도치,Erinaceus amurensis
Mammalia,Soricomorpha,Soricidae,우수리땃쥐,Crocidura lasiura
Mammalia,Soricomorpha,Soricidae,작은땃쥐,Crocidura shantungensis
Mammalia,Soricomorpha,Soricidae,갯첨서,Neomys fodiens
Mammalia,Soricomorpha,Soricidae,뒤쥐,Sorex caecutiens
Mammalia,Soricomorpha,Soricidae,백두산뒤쥐,Sorex daphaenodon
Mammalia,Soricomorpha,Soricidae,쇠뒤쥐,Sorex gracillimus
Mammalia,Soricomorpha,Soricidae,큰발뒤쥐,Sorex isodon
Mammalia,Soricomorpha,Soricidae,큰첨서,Sorex mirabilis
Mammalia,Soricomorpha,Soricidae,꼬마뒤쥐,Sorex minutissimus
Mammalia,Chiroptera,Rhinolophidae,관박쥐,Rhinolophus ferrumequinum
Mammalia,Chiroptera,Molossidae,큰귀박쥐,Tadarida insignis
Mammalia,Chiroptera,Vespertilionidae,생박쥐,Eptesicus nilssonii
Mammalia,Chiroptera,Vespertilionidae,문둥이박쥐,Eptesicus serotinus
Mammalia,Chiroptera,Vespertilionidae,양박쥐,Hypsugo alaschanicus
Mammalia,Chiroptera,Vespertilionidae,멧박쥐,Nyctalus aviator
Mammalia,Chiroptera,Miniopteridae,긴날개박쥐,Miniopterus fuliginosus
Mammalia,Chiroptera,Vespertilionidae,뿔박쥐,Murina hilgendorfi
Mammalia,Chiroptera,Vespertilionidae,작은관코박쥐,Murina ussuriensis
Mammalia,Chiroptera,Vespertilionidae,흰배윗수염박쥐,Myotis bombinus
Mammalia,Chiroptera,Vespertilionidae,쇠윗수염박쥐,Myotis ikonnikovi
Mammalia,Chiroptera,Vespertilionidae,큰발윗수염박쥐,Myotis macrodactylus
Mammalia,Chiroptera,Vespertilionidae,우수리박쥐,Myotis petax
Mammalia,Chiroptera,Vespertilionidae,집박쥐,Pipistrellus abramus
Mammalia,Chiroptera,Vespertilionidae,토끼박쥐,Plecotus ognevi
Mammalia,Chiroptera,Vespertilionidae,북방애기박쥐,Vespertilio murinus
Mammalia,Chiroptera,Vespertilionidae,안주애기박쥐,Vespertilio sinensis
Mammalia,Carnivora,Felidae,스라소니,Lynx lynx
Mammalia,Carnivora,Felidae,삵,Prionailurus bengalensis
Mammalia,Carnivora,Canidae,승냥이,Cuon alpinus
Mammalia,Carnivora,Canidae,너구리,Nyctereutes procyonoides
Mammalia,Carnivora,Ursidae,불곰,Ursus arctos
Mammalia,Carnivora,Otariidae,물개,Callorhinus ursinus
Mammalia,Carnivora,Otariidae,큰바다사자,Eumetopias jubatus
Mammalia,Carnivora,Otariidae,바다사자,Zalophus japonicus
Mammalia,Carnivora,Phocidae,흰띠박이물범,Histriophoca fasciata
Mammalia,Carnivora,Phocidae,물범,Phoca largha
Mammalia,Carnivora,Phocidae,고리무늬물범,Pusa hispida
Mammalia,Carnivora,Mustelidae,수달,Lutra lutra
Mammalia,Carnivora,Mustelidae,담비,Martes flavigula
Mammalia,Carnivora,Mustelidae,산달,Martes melampus
Mammalia,Carnivora,Mustelidae,검은담비,Martes zibellina
Mammalia,Carnivora,Mustelidae,오소리,Meles leucurus
Mammalia,Carnivora,Mustelidae,고산족제비,Mustela altaica
Mammalia,Carnivora,Mustelidae,무산쇠족제비,Mustela nivalis
Mammalia,Carnivora,Mustelidae,족제비,Mustela sibirica
Mammalia,Artiodactyla,Suidae,멧돼지,Sus scrofa
Mammalia,Artiodactyla,Moschidae,사향노루,Moschus moschiferus
Mammalia,Artiodactyla,Cervidae,노루,Capreolus pygargus
Mammalia,Artiodactyla,Cervidae,말사슴,Cervus elaphus
Mammalia,Artiodactyla,Cervidae,고라니,Hydropotes inermis
Mammalia,Artiodactyla,Bovidae,산양,Naemorhedus caudatus
Mammalia,Cetacea,Balaenopteridae,밍크고래,Balaenoptera acutorostrata
Mammalia,Cetacea,Balaenopteridae,보리고래,Balaenoptera borealis
Mammalia,Cetacea,Balaenopteridae,브라이드고래,Balaenoptera edeni
Mammalia,Cetacea,Balaenopteridae,흰긴수염고래,Balaenoptera musculus
Mammalia,Cetacea,Balaenopteridae,긴수염고래,Balaenoptera physalus
Mammalia,Cetacea,Balaenopteridae,혹등고래,Megaptera novaeangliae
Mammalia,Cetacea,Eschrichtiidae,쇠고래,Eschrichtius robustus
Mammalia,Cetacea,Delphinidae,돌고래,Delphinus capensis
Mammalia,Cetacea,Delphinidae,참돌고래,Delphinus delphis
Mammalia,Cetacea,Delphinidae,들고양이고래,Feresa attenuata
Mammalia,Cetacea,Delphinidae,들쇠고래,Globicephala macrorhynchus
Mammalia,Cetacea,Delphinidae,큰머리돌고래,Grampus griseus
Mammalia,Cetacea,Delphinidae,곱등어,Lagenorhynchus obliquidens
Mammalia,Cetacea,Delphinidae,고추돌고래,Lissodelphis borealis
Mammalia,Cetacea,Delphinidae,범고래,Orcinus orca
Mammalia,Cetacea,Delphinidae,고양이고래,Peponocephala electra
Mammalia,Cetacea,Delphinidae,흑범고래,Pseudorca crassidens
Mammalia,Cetacea,Delphinidae,알락물돼지,Stenella attenuata
Mammalia,Cetacea,Delphinidae,줄박이돌고래,Stenella coeruleoalba
Mammalia,Cetacea,Delphinidae,긴부리돌고래,Stenella longirostris
Mammalia,Cetacea,Delphinidae,뱀머리돌고래,Steno bredanensis
Mammalia,Cetacea,Delphinidae,큰돌고래,Tursiops truncatus
Mammalia,Cetacea,Monodontidae,흰돌고래,Delphinapterus leucas
Mammalia,Cetacea,Phocoenidae,쇠돌고래,Phocoena phocoena
Mammalia,Cetacea,Phocoenidae,작은곱등어,Phocoenoides dalli
Mammalia,Cetacea,Physeteridae,꼬마향고래,Kogia breviceps
Mammalia,Cetacea,Physeteridae,쇠향고래,Kogia sima
Mammalia,Cetacea,Physeteridae,말향고래,Physeter catodon
Mammalia,Cetacea,Ziphiidae,기름고래,Berardius bairdii
Mammalia,Cetacea,Ziphiidae,혹부리고래,Mesoplodon densirostris
Mammalia,Cetacea,Ziphiidae,은행이빨부리고래,Mesoplodon ginkgodens
Mammalia,Cetacea,Ziphiidae,큰이빨부리고래,Mesoplodon stejnegeri
Mammalia,Cetacea,Ziphiidae,민부리고래,Ziphius cavirostris
Mammalia,Lagomorpha,Leporidae,멧토끼,Lepus coreanus
Mammalia,Rodentia,Sciuridae,청설모,Sciurus vulgaris
Mammalia,Rodentia,Sminthidae,긴꼬리꼬마쥐,Sicista caudata
Mammalia,Rodentia,Cricetidae,쇠갈밭쥐,Lasiopodomys mandarinus
Mammalia,Rodentia,Cricetidae,갈밭쥐,Microtus fortis
Mammalia,Rodentia,Cricetidae,대륙밭쥐,Craseomys regulus
Mammalia,Rodentia,Cricetidae,북방대륙밭쥐,Craseomys rufocanus
Mammalia,Rodentia,Cricetidae,숲들쥐,Myodes rutilus
Mammalia,Rodentia,Cricetidae,사향쥐,Ondatra zibethicus
Mammalia,Rodentia,Cricetidae,비단털등줄쥐,Cricetulus barabensis
Mammalia,Rodentia,Cricetidae,비단털쥐,Tscherskia triton
Mammalia,Rodentia,Muridae,등줄쥐,Apodemus agrarius
Mammalia,Rodentia,Muridae,흰넓적다리붉은쥐,Apodemus peninsulae
Mammalia,Rodentia,Muridae,멧밭쥐,Micromys minutus
Mammalia,Rodentia,Muridae,생쥐,Mus musculus
Mammalia,Rodentia,Muridae,집쥐,Rattus norvegicus
Mammalia,Rodentia,Myocastoridae,뉴트리아,Myocastor coypus
Mammalia,Lagomorpha,Leporidae,만주토끼,Lepus mandshuricus
Mammalia,Rodentia,Muridae,제주등줄쥐,Apodemus chejuensis
Mammalia,Lagomorpha,Ochotonidae,우는토끼,Ochotona coreana
Mammalia,Soricomorpha,Talpidae,두더지,Mogera robusta
Mammalia,Chiroptera,Vespertilionidae,쇠멧박쥐,Nyctalus furvus
Mammalia,Chiroptera,Vespertilionidae,쇠집박쥐,Pipistrellus endoi
Mammalia,Chiroptera,Vespertilionidae,대륙쇠큰수염박쥐,Myotis davidii
Mammalia,Chiroptera,Vespertilionidae,긴꼬리윗수염박쥐,Myotis longicaudatus
Mammalia,Chiroptera,Vespertilionidae,붉은박쥐,Myotis rufoniger
Mammalia,Chiroptera,Vespertilionidae,윗수염박쥐,Myotis sibiricus
Mammalia,Cetacea,Balaenidae,북태평양참고래,Eubalaena japonica
Mammalia,Cetacea,Phocoenidae,상괭이,Neophocaena asiaeorientalis
Mammalia,Cetacea,Delphinidae,남방큰돌고래,Tursiops aduncus
Mammalia,Carnivora,Canidae,늑대,Canis lupus coreanus
Mammalia,Carnivora,Ursidae,반달가슴곰,Ursus thibetanus ussuricus
Mammalia,Artiodactyla,Cervidae,대륙사슴,Cervus nippon hortulorum
Mammalia,Carnivora,Canidae,여우,Vulpes vulpes peculiosa
Mammalia,Carnivora,Felidae,호랑이,Panthera tigris altaica
Mammalia,Rodentia,Sciuridae,하늘다람쥐,Pteromys volans aluco
Mammalia,Carnivora,Felidae,표범,Panthera pardus orientalis
Mammalia,Chiroptera,Miniopteridae,작은긴날개박쥐,Miniopterus fuscus
Mammalia,Rodentia,Sciuridae,다람쥐,Eutamias sibiricus
Mammalia,Rodentia,Muridae,애급쥐,Rattus tanezumi
Reptilia,Testudines,Cheloniidae,붉은바다거북,Caretta caretta
Reptilia,Testudines,Cheloniidae,푸른바다거북,Chelonia mydas
Reptilia,Testudines,Dermochelyidae,장수거북,Dermochelys coriacea
Reptilia,Testudines,Geoemydidae,남생이,Mauremys reevesii
Reptilia,Testudines,Emydidae,붉은귀거북,Trachemys scripta
Reptilia,Testudines,Trionychidae,자라,Pelodiscus maackii
Reptilia,Testudines,Trionychidae,중국자라,Pelodiscus sinensis
Reptilia,Squamata,Gekkonidae,도마뱀부치,Gekko japonicus
Reptilia,Squamata,Scincidae,장수도마뱀,Plestiodon coreensis
Reptilia,Squamata,Scincidae,북도마뱀,Scincella huanrenensis
Reptilia,Squamata,Scincidae,도마뱀,Scincella vandenburghi
Reptilia,Squamata,Lacertidae,표범장지뱀,Eremias argus
Reptilia,Squamata,Lacertidae,아무르장지뱀,Takydromus amurensis
Reptilia,Squamata,Lacertidae,줄장지뱀,Takydromus wolteri
Reptilia,Squamata,Colubridae,대륙유혈목이,Amphiesma vibakari
Reptilia,Squamata,Colubridae,능구렁이,Dinodon rufozonatum
Reptilia,Squamata,Colubridae,세줄무늬뱀,Elaphe davidi
Reptilia,Squamata,Colubridae,누룩뱀,Elaphe dione
Reptilia,Squamata,Colubridae,구렁이,Elaphe schrenckii
Reptilia,Squamata,Colubridae,무자치,Oocatochus rufodorsatus
Reptilia,Squamata,Colubridae,실뱀,Hierophis spinalis
Reptilia,Squamata,Colubridae,유혈목이,Rhabdophis tigrinus
Reptilia,Squamata,Colubridae,비바리뱀,Sibynophis chinensis
Reptilia,Squamata,Elaphidae,얼룩바다뱀,Hydrophis cyanocinctus
Reptilia,Squamata,Elaphidae,먹대가리바다뱀,Hydrophis melanocephalus
Reptilia,Squamata,Elaphidae,바다뱀,Pelamis platura
Reptilia,Squamata,Viperidae,살모사,Gloydius brevicaudus
Reptilia,Squamata,Viperidae,까치살모사,Gloydius saxatilis
Reptilia,Squamata,Viperidae,쇠살모사,Gloydius ussuriensis
Reptilia,Squamata,Viperidae,북살모사,Vipera berus
Reptilia,Testudines,Geoemydidae,중국줄무늬목거북,Mauremys sinensis
Reptilia,Squamata,Colubridae,줄꼬리뱀,Orthriophis taeniura
Reptilia,Testudines,Cheloniidae,매부리바다거북,Eretmochelys imbricata
Reptilia,Squamata,Elaphidae,좁은띠큰바다뱀,Laticauda laticaudata
Reptilia,Squamata,Elaphidae,넓은띠큰바다뱀,Laticauda semifasciata
Reptilia,Testudines,Emydidae,리버쿠터,Pseudemys concinna
Reptilia,Testudines,Emydidae,플로리다붉은배거북,Pseudemys nelsoni
Aves,Galliformes,Phasianidae,들꿩,Tetrastes bonasia
Aves,Galliformes,Phasianidae,멧닭,Lyrurus tetrix
Aves,Galliformes,Phasianidae,메추라기,Coturnix japonica
Aves,Galliformes,Phasianidae,꿩,Phasianus colchicus
Aves,Anseriformes,Anatidae,개리,Anser cygnoides
Aves,Anseriformes,Anatidae,큰기러기,Anser fabalis
Aves,Anseriformes,Anatidae,회색기러기,Anser anser
Aves,Anseriformes,Anatidae,쇠기러기,Anser albifrons
Aves,Anseriformes,Anatidae,흰이마기러기,Anser erythropus
Aves,Anseriformes,Anatidae,줄기러기,Anser indicus
Aves,Anseriformes,Anatidae,흰머리기러기,Anser canagicus
Aves,Anseriformes,Anatidae,흰기러기,Anser caerulescens
Aves,Anseriformes,Anatidae,흑기러기,Branta bernicla
Aves,Anseriformes,Anatidae,혹고니,Cygnus olor
Aves,Anseriformes,Anatidae,고니,Cygnus columbianus
Aves,Anseriformes,Anatidae,큰고니,Cygnus cygnus
Aves,Anseriformes,Anatidae,혹부리오리,Tadorna tadorna
Aves,Anseriformes,Anatidae,황오리,Tadorna ferruginea
Aves,Anseriformes,Anatidae,원앙사촌,Tadorna cristata
Aves,Anseriformes,Anatidae,원앙,Aix galericulata
Aves,Anseriformes,Anatidae,미국오리,Anas rubripes
Aves,Anseriformes,Anatidae,청둥오리,Anas platyrhynchos
Aves,Anseriformes,Anatidae,고방오리,Anas acuta
Aves,Anseriformes,Anatidae,쇠오리,Anas crecca
Aves,Anseriformes,Anatidae,붉은부리흰죽지,Netta rufina
Aves,Anseriformes,Anatidae,큰흰죽지,Aythya valisineria
Aves,Anseriformes,Anatidae,미국흰죽지,Aythya americana
Aves,Anseriformes,Anatidae,흰죽지,Aythya ferina
Aves,Anseriformes,Anatidae,붉은가슴흰죽지,Aythya baeri
Aves,Anseriformes,Anatidae,적갈색흰죽지,Aythya nyroca
Aves,Anseriformes,Anatidae,댕기흰죽지,Aythya fuligula
Aves,Anseriformes,Anatidae,검은머리흰죽지,Aythya marila
