측    정    표,,,,,,,,,,,
,,,,,,,,,,,
* 대상종 : 맹꽁이(Kaloula borealis),,,,,,,,성남낙생,,,
No.,date,SVL(mm),BM(g),성체,,아성체,당년생,올챙이,알,비고,
,2022년,,,male,female,sub-adult,froglet,tadpole,egg,remark,
1.2,08월18(19)일,,,,,,,,,"보호펜스, trap 예초",
3.4,08월24(25)일,,,,,,,,,pitfall-trap 설치,
5,08월27일,,,,,,,,,임시사육장 설치,
6,08월29일,16.8,0.7,,,,1,,,E 지점,
7,,16.3,0.6,,,,1,,,,
8,,16.8,0.6,,,,1,,,,
9,,17.1,0.7,,,,1,,,,
10,,16,0.7,,,,1,,,,
11,,15.9,0.6,,,,1,,,,
12,,17.2,0.6,,,,1,,,,
13,,17.4,0.8,,,,1,,,,
14,,16.5,0.6,,,,1,,,,
15,,16.8,0.5,,,,1,,,,
16,,16.9,0.6,,,,1,,,,
17,,19.2,0.8,,,,1,,,,
18,,21.4,1.2,,,,1,,,,
19,,16.6,0.6,,,,1,,,,
20,,17,0.7,,,,1,,,,
21,,17.4,0.7,,,,1,,,,
22,,15.7,0.6,,,,1,,,,
23,,17.6,0.7,,,,1,,,,
24,,16.7,0.6,,,,1,,,,
25,,15.9,0.7,,,,1,,,,
26,,16.7,0.6,,,,1,,,,
27,,17.6,0.6,,,,1,,,,
28,,16.4,0.5,,,,1,,,,
29,09월01일,17,0.8,,,,1,,,"E 지점,임시사육장 회수",
30,,17.1,0.7,,,,1,,,(송파 대체서식지 이주),
31,,17.6,0.8,,,,1,,,,
32,,12.5,0.3,,,,1,,,,
33,,25.1,1.6,,,,1,,,,
34,09월04일,45,13.1,1,,,,,,E 지점,
35,,47,12.8,1,,,,,,,
36,,41.3,10.3,1,,,,,,,
37,,46.3,11.9,,1,,,,,,
,SUM1,,,3,1,0,28,0,0,,
,SUM2,,,32,,,,,,,
* 2022년 marking : 왼쪽 뒷발 - red,,,,,,,,,,,
,,,,,,,,,,,
 * 암컷과 수컷을 최소한 각각 30마리 씩 측정함,,,,,,,,,,,
"   SVL : snout-vent length / BM : body mass (소수점 첫번째 자리까지 기록, 나머지 반올림)",,,,,,,,,,,
,,,,,,,,,,,
* 성체(adult) : svl 40 mm 내외,,,,,,,,,,,
