,,,,,,,,,,
,군락명,조사,수종,,100㎡당 수목량(주),수고,DBH(㎝),훼손수목량,이식수목량,비고
,,지점,,,,(m),,,,
,소나무군락,St. 2,교목,소나무,7,12,18∼30,189,-,소나무류
,,,교목,상수리나무,2,,18∼20,54,5,
,,,아교목,상수리나무,2,5,10∼11,54,5,
,,,관목,찔레나무,2,3,1,54,5,
,,,관목,생강나무,2,,1∼2,54,5,
,,,관목,노간주나무,1,,1,27,3,
,,,관목,진달래,1,,1,27,3,
,,,관목,조팝나무,1,,1,27,3,
,상수리나무군락,St. 5,교목,상수리나무,9,10,19∼30,2473,247,
,,,교목,떡갈나무,2,,27,550,55,
,,,아교목,떡갈나무,4,7,4∼12,1099,110,
,,,관목,생강나무,3,2,1,824,82,
,아까시나무,St. 6,교목,아까시나무,7,11,24∼29,1755,-,식재종
,,,아교목,소나무,1,6,17,251,-,소나무류
,,,아교목,상수리나무,1,,9,251,25,
,,,관목,상수리나무,2,2,2,501,50,
,,,관목,신갈나무,3,,2∼3,752,75,
,,,관목,생강나무,1,,2,251,25,
,합계,-,,,,,,9193,698,
,,,,,,,,,,
