,,,,,,,,,,,,,,,,
,구  분,기본구상안_23.10,,수용통보_25.08.12,,개발계획 검토안_25. 10. 이전,,개발계획 수립안(측량 반영_25.10.13),,증·△감,존치 1안,,존치 2안,,,
,,,,,,,,,,,,,,,,
,,면적(㎡),구성비(%),면적(㎡),구성비(%),면적(㎡),구성비(%),면적(㎡),구성비(%),,면적(㎡),구성비(%),면적(㎡),구성비(%),,
,합 계,984431,99.99999999999999,984431,99.99999999999999,984431,99.99999999999999,984431,99.99999999999999,0,984431,99.99999999999999,984431,100,,
,주 거 용 지,379573,38.55760332618538,446889,45.39566511009914,459273,46.65365068755454,458471,46.572182306327214,-802,433509,44.0365043360073,438869,44.58098129782585,,
, - 단독주택,64931,6.595789852209043,49952,5.074200223276187,53184,5.402511704730957,51816,5.263548181639953,-1368,53184,5.402511704730957,50735,5.153738555571696,,
, - 공동주택,292304,29.692685419292975,338132,34.3479634428416,340358,34.57408391243266,341098,34.6492542392509,740,335093,34.03925719527321,327181,33.23554418745448,,
, - 준주거,22338,2.2691280546833656,58805,5.973501443981346,65731,6.677055070390916,65557,6.659379885436359,-174,45232,4.594735436003133,60953,6.191698554799676,,
,상 업 용 지,69664,7.076575199277553,51043,5.185025664571717,45728,4.645119871275894,45058,4.577060251048575,-670,73355,7.451512599664172,70847,7.196746140663998,,
, - 근린상업,12660,1.2860220777281497,0,0,0,0,0,0,0,27627,2.806392728388277,27627,2.806392728388277,,
, - 주상복합,39735,4.036341805570934,51043,5.185025664571717,45728,4.645119871275894,45058,4.577060251048575,-670,45728,4.645119871275894,0,0,,
, - 복합시설,17269,1.754211315978469,0,0,0,0,0,0,0,0,0,43220,4.390353412275721,,
,도시기반시설용지,535194,54.36582147453707,480962,48.85685233398786,473944,48.14395320748737,475416,48.29348120894202,1472,472039,45.672373178008414,469120,45.40846438196278,,
, - 복합커뮤니티,28495,2.89456549011561,19766,2.0078603782286417,0,0,0,0,0,0,0,0,0,,
, - 체육시설,0,0,0,0,16144,1.6399321029102092,15000,1.52372284091013,-1144,16144,0,15823,0,,
, - 공공청사,0,0,0,0,6282,0.6381351257731624,5800,0.5891728318185836,-482,6282,0,6282,0,,
, - 공원·녹지,194899,19.798137198036226,189939,19.29429284530861,182875,18.576720968762668,170855,17.355711065580017,-12020,183896,18.680435703467282,181459,18.43288153258075,,
, - 도로(보행자 포함),177266,18.006950207785007,183567,18.647015382489986,178691,18.15170387767147,176252,17.90394654373948,-2439,174270,17.70261196569389,174605,17.73664177580755,,
, - 주차장,10098,1.0257702165006994,23468,2.383915175365262,23810,2.418656056138013,25317,2.5717394108881173,1507,25301,2.5701141065244797,24968,2.536287459456275,,
, - 학  교(유치원 포함),40569,4.121060795525537,42757,4.343321167252961,43913,4.4607494075257685,42645,4.331944036707499,-1268,43913,4.4607494075257685,43750,4.444191619321212,,
, - 철  도,25036,2.5431950030017343,21465,2.180447385342396,22229,2.2580556687060853,39547,4.017244479298194,17318,22233,2.2584619947969946,22233,2.2584619947969946,,
, - 공공공지,28962,2.942004061229279,0,0,0,0,0,0,0,0,0,0,0,,
, - 광  장,6614,0.6718601913186399,0,0,0,0,0,0,0,0,0,0,0,,
, - 저류시설,23255,2.362278311024338,0,0,0,0,0,0,0,0,0,0,0,,
,기타시설용지(종교),0,0,5537,0.5624568913412926,5486,0.5572762336821981,5486,0.5572762336821981,0,5528,0.5615426576367465,5595,0.5683486196594785,,
,,,,,,,,,,,,,,,,
,1) 가처분(존치 포함),487830,0.49554514232079244,546703,0.5553492321960605,556723,0.5655277007733401,555132,0.5639115387467482,-,560119,0.5689774092851607,562384,0.571278230774935,,
,2) 최종 가처분(존치 제외),479447,0.48702956327055935,542548,0.5511285199267394,552568,0.561306988504019,550707,0.5594165563660632,-1861,531506,0.5399118881871863,514313,0.5224469769846743,,
,2) 계획 세대수,6660,14651,9367,20607,9270,20393,8788,19335,-482,9127,20080,9047,19905,,5956
,3) 임대주택,1374,0.2521484481909245,2084,0.20559130753670166,2111,0.207,1518,0.15821552750236004,-,2011,0.20015339025285517,2011,0.20499356625231904,,면적 기준
,4) 도로율,177266,0.18006950207785005,183567,0.18647015382489987,178691,0.18151703877671468,176252,0.1790394654373948,-2439,174270,0.17702611965693887,174605,0.1773664177580755,,
,5) 공원녹지율,194899,0.19798137198036225,189939,0.1929429284530861,182875,0.18576720968762667,170855,0.17355711065580015,-12020,183896,0.18680435703467282,181459,0.1843288153258075,,
,* 존치면적 합계,8383,,4155,,4155,,4425,,-,28613,,48071,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,구   분,기본구상안_23.10,,수용통보_25.08.12,,개발계획 검토안_25. 10. 이전,,개발계획 수립안(측량 반영_25.10.13),,,존치 1안,,존치 2안,,,
,합   계,8383,,4155,,4155,,4425,,,28613,,48071,,,
,① 무상공급 주차장(기본구상),4526,,0,,0,,0,,,0,,0,,,
,② 존치_아산시 기존 공영주차장,3857,,4155,,4155,,4425,,,4155,,4155,,,
,③ 존치_상업용지,0,,0,,0,,0,,,16171,,16171,,,
,④ 존치_준주거,0,,0,,0,,0,,,8287,,27745,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,임대주택 면적,,,69517,0.20559130753670166,69517,0.20424670494009248,69517,0.20380359896569314,,67070,0.20015339025285517,67070,0.20499356625231904,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,-21062,-2.139510031683277,-38255,-3.886001151934468,,
,,,,,,,,,,,,,,,,
,,,3857,,,,,,,,,,,,,
