1-1 시멘트 및 아스콘.골재집계표,,,,,,,,,,,,,,,,
,몰    탈,,시멘트,모  래,표  층,기  층,보조기층,,,,,아스팔트,,자갈,쇄석골재,비 고
구  분,1 : 2,1 : 3,,,#78,#467,Φ50이하,,,,,MC-1,RSC-4,,Φ70이하,
,㎥,㎥,대,㎥,TON,TON,㎥,,,,,D/M,D/M,㎥,㎥,
토    공,,,,,,,,,,,,,,,,
배 수 공,1.323175,,,210.23600000000002,,,,3018.91,,,,,,,1447.35,
보강토옹벽,,,,,,,,,0,,,,,,0,
포 장 공,,0,,0,0,0,1510,,,,96.52,24.389,354.19,,,
호안공,,,,,,,,,,58.41,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,22,1.2967115,,,(/0.81),,,,(/0.81),,,,(/0.81),
계,1.323175,0,22,211.5327115,0,0,1864.1975308641975,3727.049382716049,0,72.1111111111111,119.16049382716048,24.389,354.19,0,1786.8518518518517,0
할증,1,1,1,1.06,(포함),(포함),1.04,1.04,1.04,1.04,1.04,(포함),(포함),1.04,1.04,
할증포함,1.323175,0,22,224.22467419000003,0,0,1938.7654320987654,3876.131358024691,0,74.99555555555554,123.9269135802469,24.389,354.19,0,1858.325925925926,0
,몰   탈  ( 1 : 2 )  :  ,,,시멘트 (구입및운반) :,,1.323175,x  680,/  40  =,,,22,포대,,,,
,,,,모   래 (구입및운반) :,,1.323175,,x 0.98 =,,,1.2967115,m3,,,,
,몰   탈  ( 1 : 3 )  :  ,,,시멘트 (구입및운반) :,,0,x  510,/  40  =,,,0,포대,,,,
,,,,모   래 (구입및운반) :,,0,,x 1.10 =,,,0,m3,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,3921.0182716049385,378.579,,,,
