1-3 철 근 집 계 표(연강),,,,,,,,,,,,,,,,,,
구  분,철    근  ( SD-40 ),,,,,,,,철    근  ( SD-30 ),,,,,,,,비고,
,H10,H13,H16,H19,H22,H25,H29,계,D10,D13,D16,D19,D22,D25,D29,계,,
,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,,
토    공,,,,,,,,,,,,,,,,,,
배 수 공,,,,,,,,,0,0.041,0,0,,,0,0.041,,
보강토옹벽,,,,,,,,,,0,0,0,0,0,,0,,
포 장 공,,,,,,,,,,,,,,,,0,,
호안공,,2.846,5.915,41.92,39.475,31.197,13.596,134.949,,#REF!,,,0,0,,#REF!,,
0,,,,,,,,,,,,,,,,0,,
0,,,,,,,,,,,,,,,,0,,
0,,,,,,,,,,,,,,,,0,,
0,,,,,,,,,,,,,,,,0,,
0,,,,,,,,,,,,,,,,0,,
계,0,2.846,5.915,41.92,39.475,31.197,13.596,134.949,0,#REF!,0,0,0,0,0,#REF!,0,
할증,1.03,1.03,1.03,1.03,1.06,1.06,1.06,,1.03,1.03,1.03,1.03,1.03,1.03,1.03,,,
할증포함,0,2.9313800000000003,6.09245,43.177600000000005,41.843500000000006,33.06882,14.411760000000001,141.52551,0,#REF!,0,0,0,0,0,#REF!,,
1-3 철 근 집 계 표(고강),,,,,,,,,,,,,,,,,,
구  분,철    근  ( SD-40 ),,,,,,,,철    근  ( SD-40 ),,,,,,,,비고,
,H10,H13,H16,H19,H22,H25,H29,계,H10,H13,H16,H19,H22,H25,H29,계,,
,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,,
토    공,,,,,,,,,,,,,,,,,,
배 수 공,,,,,,,,,,28.839,15.656,23.369,,,0,67.864,,
구조물공,,,,,,,,,,0,0,0,0,0,0,,,
포 장 공,,,,,,,,,,,,,,,,,,
부 대 공,,2.846,5.915,41.92,39.475,31.197,13.596,134.949,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,0,,
0,,,,,,,,,,,,,,,,0,,
0,,,,,,,,,,,,,,,,0,,
계,0,2.846,5.915,41.92,39.475,31.197,13.596,134.949,0,28.839,15.656,23.369,0,0,0,67.864,0,
할증,1.03,1.03,1.03,1.03,1.06,1.06,1.06,,1.03,1.03,1.03,1.03,1.03,1.03,1.03,,,
할증포함,0,2.9313800000000003,6.09245,43.177600000000005,41.843500000000006,33.06882,14.411760000000001,141.52551,0,29.704169999999998,16.125680000000003,24.07007,0,0,0,69.89992000000001,,#REF!
