자 재 집 계 표,,,,,,,,,,,,관급,,,
공     종,,규    격,단위,우수공,오수공,포장공,구조물공,상수공,조경공,계,"할
증",할 증 계,숨김,,
레미콘,,25-21-8,㎥,,,,34,0.13,,34.13,2,35,1,1,
,,25-24-8,㎥,,,,0,,,0,2,0,,,
,,25-18-8,㎥,555,,0,,,,555,2,566,1,1,
"아스
팔트",표층,WC-2,Ton,,,300,,,,300,3,309,1,1,
,기층,BB-2,Ton,,,458,,,,458,3,472,1,1,
"순환
아스
팔트",표층,WC-2,Ton,,,,,,,0,2,0,,,
,기층,BB-2,Ton,,,,,,,0,2,0,,,
철근,연강,D13,Ton,,,,,,,0,3,0,,,
,,D16,Ton,,,,,,,0,0.03,0,,,
,,D25,Ton,,,,,,,0,0.06,0,,,
,,D29,Ton,,,,,,,0,0.03,0,,,
,,계,Ton,,,,,,,0,3,0,,,
,고강,H13,Ton,,,,0,,,0,6,0,,,
,,H16,Ton,,,,0,,,0,6,0,,,
,,H19,Ton,,,,,,,0,0.06,0,,,
,,H22,Ton,,,,,,,0,0.06,0,,,
,,H25,Ton,,,,,,,0,0.06,0,,,
,,계,Ton,,,,,,,0,6,0,,,
H빔,,200x200x12x8,Ton,,,,3.2,,,3.2,5,3.36,1,1,5.869999999999999
,,294x200x12x8,Ton,,,,2.39,,,2.39,5,2.51,1,1,
식생블록,,800X500X1000,㎥,,,,,,,0,3,0,,,
전석,,6목,Ton,,,,166.4,,,166.4,3,171,1,1,
보도블록,,T=6cm,㎡,,,5460.5,,,,5460.5,3,5624,1,1,
,,T=8cm,㎡,,,,,,,0,3,0,,,
,,유도형,EA,,,4946.6,,,,4946.6,3,5095,1,1,
,,점형,EA,,,123.3,,,,123.3,3,127,1,1,
잔디블록,,T=15cm,㎥,,,1105,,,,1105,3,1138,1,1,
흄관,,D450,본,0,,,,,,0,3,0,,,
,,D600,본,30,,,,,,30,3,31,1,1,
,,D800,본,47,,,,,,47,3,48,1,1,
,,D1000,본,28,,,,,,28,3,29,1,1,
커프링밴드,,D600,EA,,,,,,,0,3,0,,,
,,D800,EA,,,,,,,0,3,0,,,
,,D1000,EA,,,,,,,0,3,0,,,
파형강관티형이음관,,D600,EA,,,,,,,0,3,0,,,
,,D1000,EA,,,,,,,0,3,0,,,
원형수로관,,D400,본,,,,,,,0,3,0,,,
,,1500A,본,,,,,,,0,3,0,,,
박스,,1.2x1.2,M,,,,,,,0,3,0,,,
,,1.5x1.2,M,,,,,,,0,3,0,,,
맨홀뚜껑,,D648,EA,6,0,,,,,6,3,6,1,1,
1호맨홀,,상부 0.2m,EA,,,,,,,0,3,0,,,
,,상부 0.5m,EA,,0,,,,,0,3,0,,,
,,연직 0.5m,EA,,0,,,,,0,3,0,,,
,,연직 1.0m,EA,,0,,,,,0,3,0,,,
,,하부 1.0m,EA,,0,,,,,0,3,0,,,
,,고무링D900,EA,,0,,,,,0,3,0,,,
3호맨홀,,상부 0.2m,EA,,,,,,,0,3,0,,,
,,연직 0.5m,EA,,,,,,,0,3,0,,,
,,연직 1.0m,EA,,,,,,,0,3,0,,,
,,하부 1.5m,EA,,,,,,,0,3,0,,,
,,고무링D1500,EA,,,,,,,0,3,0,,,
조립식사각맨홀,,하부0.6X0.6X0.6,EA,0,,,,,,0,3,0,,,
,,하부0.8X0.8X1,EA,11,,,,,,11,3,11,1,1,
,,상부1.0X1.0X0.2,EA,2,,,,,,2,3,2,1,1,
,,연직1.0X1.0X0.5,EA,2,,,,,,2,3,2,1,1,
,,상부1.2X1.2X0.2,EA,5,,,,,,5,3,5,1,1,
