1-4  배 수 관 집 계 표,,,,,,,,,,,,,,,,
구  분,배수PIPE,PVC관,,,강관,흄관,,,스틸 그레이팅,,,맨홀뚜껑,수로관(500C),수로관(600C),수로관(1000B),수로관(1000C)
,PVC Φ50,D250,D450,D600,D250,D600,D800,D1000,1.5x1.5,1600*1600*75,1100*1100*50,D648,뚜껑제외,뚜껑제외,뚜껑제외,뚜껑제외
,M,M,M,M,M,M,M,M,ea,ea,ea,조,M,M,M,M
토    공,,,,,,,,,,,,,,,,
배 수 공,136.92000000000002,154,0,0,,381.5,519.5,429,80,0,90,0,80,12.3,51.6,58.232
보강토옹벽,0,,,,,,,,,,,,,,,
포 장 공,,0,0,0,,,,,,,,,,,,
호안공,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,
,,,,,,157,214,177,,,,,41,6,27,30
계,136.92000000000002,154,0,0,0,381.5,519.5,429,80,0,90,0,80,12.3,51.6,58.232
할증,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
할증포함,141.0276,158.62,0,0,0,392.945,535.085,441.87,82.4,0,92.7,0,82.4,12.669,53.148,59.97896
할증포함(본),,26.436666666666667,0,0,0,65.49083333333333,214.03400000000002,176.748,,,,,41.2,6.3345,26.574,29.98948
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
