자 재 집 계 표,,,,,,,,,,,,,,
공     종,,규    격,단위,우수공,오수공,포장공,구조물공,상수공,부대공,계,"할
증",할 증 계,숨김,
레미콘,,25-21-8,㎥,,,,54.2,0.13,,54.330000000000005,2,55,1,1
,,25-24-8,㎥,,,,41.8,,,41.8,2,43,1,1
,,25-18-8,㎥,498,,82.1,,,,580.1,2,592,1,1
"아스
팔트",표층,WC-2,Ton,,,405,,,,405,3,417,1,1
,기층,BB-2,Ton,,,803,,,,803,3,827,1,1
"순환
아스
팔트",표층,WC-2,Ton,,,,,,,0,2,0,,
,기층,BB-2,Ton,,,,,,,0,2,0,,
철근,연강,D13,Ton,,,,,,,0,3,0,,
,,D16,Ton,,,,,,,0,0.03,0,,
,,D25,Ton,,,,,,,0,0.06,0,,
,,D29,Ton,,,,,,,0,0.03,0,,
,,계,Ton,,,,,,,0,3,0,,
,고강,H13,Ton,,,,2.19,,,2.19,6,2.321,1,1
,,H16,Ton,,,,2.1,,,2.1,6,2.226,1,1
,,H19,Ton,,,,,,,0,0.06,0,,
,,H22,Ton,,,,,,,0,0.06,0,,
,,H25,Ton,,,,,,,0,0.06,0,,
,,계,Ton,,,,,,,4.29,6,4.547,1,1
식생블록,,800X500X1000,㎥,,,,,,,0,3,0,,
전석,,6목,Ton,,,,478.4,,,478.4,3,493,1,1
보도블록,,T=6cm,㎡,,,2649.3,,,,2649.3,3,2729,1,1
,,T=8cm,㎡,,,,,,,0,3,0,,
,,유도형,EA,,,1233.3,,,,1233.3,3,1270,,
,,점형,EA,,,63.3,,,,63.3,3,65,,
잔디블록,,T=15cm,㎥,,,1150,,,,1150,3,1185,1,1
흄관,,D450,본,77,,,,,,77,3,79,1,1
,,D600,본,8,,,,,,8,3,8,1,1
,,D800,본,54,,,,,,54,3,56,1,1
,,D1000,본,,,,,,,0,3,0,,
커프링밴드,,D600,EA,,,,,,,0,3,0,,
,,D800,EA,,,,,,,0,3,0,,
,,D1000,EA,,,,,,,0,3,0,,
파형강관티형이음관,,D600,EA,,,,,,,0,3,0,,
,,D1000,EA,,,,,,,0,3,0,,
원형수로관,,D400,본,,,,,,,0,3,0,,
,,1500A,본,,,,,,,0,3,0,,
박스,,1.2x1.2,M,,,,,,,0,3,0,,
,,1.5x1.2,M,,,,,,,0,3,0,,
맨홀뚜껑,,D648,EA,3,3,,,,,6,3,6,1,1
1호맨홀,,상부 0.2m,EA,,,,,,,0,3,0,,
,,상부 0.5m,EA,,3,,,,,3,3,3,1,1
,,연직 0.5m,EA,,2,,,,,2,3,2,1,1
,,연직 1.0m,EA,,3,,,,,3,3,3,1,1
,,하부 1.0m,EA,,3,,,,,3,3,3,1,1
,,고무링D900,EA,,8,,,,,8,3,8,1,1
3호맨홀,,상부 0.2m,EA,,,,,,,0,3,0,,
,,연직 0.5m,EA,,,,,,,0,3,0,,
,,연직 1.0m,EA,,,,,,,0,3,0,,
,,하부 1.5m,EA,,,,,,,0,3,0,,
,,고무링D1500,EA,,,,,,,0,3,0,,
사각맨홀,,0.6x0.6x0.6,EA,6,,,,,,6,3,6,1,1
,,0.8x0.8x0.8,EA,23,,,,,,23,3,24,1,1
,,1.2x1.2x1.0,EA,4,,,,,,4,3,4,1,1
,,1.5x1.5x1.0,EA,6,,,,,,6,3,6,1,1
조립식사각맨홀,상부,1.2x1.2x0.2,EA,3,,,,,,3,3,3,1,1
,연직,1.2x1.2x1.0,EA,1,,,,,,1,3,1,1,1
,연직,1.5x1.5x0.75,EA,,,,,,,0,3,0,,
,연직,1.5x1.5x1.0,EA,,,,,,,0,3,0,,
,하부,1.2x1.2x1.0,EA,3,,,,,,3,3,3,1,1
,상부,2.5x1.5x0.25,EA,,,,,,,0,3,0,,
,연직,2.5x1.5x0.5,EA,,,,,,,0,3,0,,
,연직,2.5x1.5x0.75,EA,,,,,,,0,3,0,,
,연직,2.5x1.5x1.0,EA,,,,,,,0,3,0,,
,하부,2.5x1.5x1.0,EA,,,,,,,0,3,0,,
빗물받이,,400x500,EA,27,,,,,,27,3,28,1,1
스틸그레이팅,,0.4x1.0x0.05,EA,,,,,,,0,3,0,,
,,0.4x0.5x0.05,EA,27,,,,,,27,3,28,1,1
,,1.1x1.1x0.05,EA,,,,,,,0,3,0,,
PE수도관,,D225(200),M,,,,,75,,75,5,79,1,1
,,D160(150),M,,,,,0,,0,5,0,,
,,D32(25),M,,,,,165,,165,5,173,1,1
PE오수관,,D 200,M,,100,,,,,100,3,103,1,1
PE이중벽관,,D250,M,256,,,,,,256,3,264,1,1
유공관,,D250,M,,,,,,,0,3,0,,
경계석,직선,250x200,본,,,377,,,,377,3,388,1,1
,낮춤곡선,200x100,본,,,,,,,0,3,0,,
,직선경사,200x250~100,본,,,5,,,,5,3,5,1,1
,낮춤직선,200x100,본,,,6,,,,6,3,6,1,1
도로경계석,,150x150,본,,,666,,,,666,3,686,1,1
가드레일 토공용,,3000x900,경간,,,,,,,0,1,0,,
가드레일 옹벽용,,3000x650,경간,,,,,,,0,1,0,,
가드레일,,토공용,M,,,,,,,0,3,0,,
,,옹벽용,M,,,,,,,0,3,0,,
PVC관,,D50,M,,,,,,,0,3,0,,
상수도보호통,,"H1100,갈바듐",EA,,,,,2,,2,3,2,1,
오수받이,,,EA,,2,,,,,2,3,2,1,
제수밸브,,D110,EA,,,,,,,0,3,0,,
부단수밸브,,D225,EA,,,,,2,,2,3,2,1,1
"제수변
보호통",일반형,중형,조,,,,,,,0,3,0,,
,일반형,D50,조,,,,,,,0,3,0,,
,철개,,조,,,,,,,0,3,0,,
정티,,D63,EA,,,,,,,0,3,0,,
소켓플랜지관,,D225(200),EA,,,,,2,,2,3,2,1,
,,D63,EA,,,,,,,0,3,0,,
곡관,,D225*90,EA,,,,,2,,2,3,2,1,
,,D225*45,EA,,,,,6,,6,3,6,1,
이경소켓,,D225*32,EA,,,,,0,,0,3,0,,
,,D225*20,EA,,,,,0,,0,3,0,,
이음관,,D225,EA,,,,,2,,2,3,2,1,
부단수정자관,,D90X63,EA,,,,,2,,2,3,2,1,
마개플랜지,,D63,EA,,,,,,,0,3,0,,
아스팔트유제,,RSC - 4,D/M,,,5.2,,,,5.2,3,5,1,
,,RSC - 3,D/M,,,12.7,,,,12.7,3,13,1,
모래,,,㎡,40,,816.3,,12,,868.3,6,920,1,
성곽석,,200~600,Ton,899,,,,,,899,6,953,1,
판석,,,㎡,,,8334,,,,8334,6,8834,1,1
혼합석,,40mm,㎥,,,2508.6,,,,2508.6,"*1.04
/0.81",3221,1,
고임돌,,150mm,㎥,,,,77.28,,,77.28,"*1.04
/0.81",99,1,
쇄석골재,,40mm,㎥,227,,,114.08,,,341.08,"*1.04
/0.81",438,1,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,3220.92,,3220.92,,*1.04/0.81,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
