라-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,3.677181510753101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7894688394453695,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.1,20,3.88352927459983,75.60710785352931,75.60710785352931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.60710785352931,0,0,0,4.023294471580655,78.12763311026025,89.39088456551517,0,0,0,0,0,0,0,0,0,89.39088456551517,,,,,0,0,0,0,0,0,0,0,0,0
NO.1+15.42,15.42344379518753,0.7669382901955899,35.863112553482395,35.863112553482395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.863112553482395,0,0,0,4.313384317180763,64.2901483684969,73.55852216075161,0,0,0,0,0,0,0,0,0,73.55852216075161,,,,,0,0,0,0,0,0,0,0,0,0
NO.2+1.05,5.628728986523299,0.23461727174709068,2.818742411560199,2.818742411560199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.818742411560199,0,0,0,7.28636641988701,32.64592660508919,37.35231877012493,0,0,0,0,0,0,0,0,0,37.35231877012493,,,,,0,0,0,0,0,0,0,0,0,0
소계,41.05217278171083,8.562266347295612,114.2889628185719,114.2889628185719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.2889628185719,0,0,0,19.412514048093797,175.06370808384634,200.3017254963917,0,0,0,0,0,0,0,0,0,200.3017254963917,114.2889628185719,114.2889628185719,86.0127626778198,0,0,0,0,0,0,0,0,0,0,0
NO.2+14.93,13.877871464847452,0.0019516855058370197,1.641536790664561,1.641536790664561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.641536790664561,0,0,0,12.161213254013575,134.9455055083861,154.3998918860253,0,0,0,0,0,0,0,0,0,154.3998918860253,,,,,0,0,0,0,0,0,0,0,0,0
NO.2+18.74,3.8105380929779997,0.8346417532936528,1.5939355834404574,1.5939355834404574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5939355834404574,0,0,0,16.153650104698727,53.947432712920104,61.72475138778044,0,0,0,0,0,0,0,0,0,61.72475138778044,,,,,0,0,0,0,0,0,0,0,0,0
NO.3,1.2594176604637184,0.05557185279300825,0.5605753685453164,0.5605753685453164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5605753685453164,0,0,0,17.212325386118835,21.01084939586761,24.039873450649438,0,0,0,0,0,0,0,0,0,24.039873450649438,,,,,0,0,0,0,0,0,0,0,0,0
NO.3+0.59,0.5921091581516578,0,0.016452301487097983,0.016452301487097983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016452301487097983,0,0,0,8.244410983565615,7.536583370571274,8.623093101340132,0,0,0,0,0,0,0,0,0,8.623093101340132,,,,,0,0,0,0,0,0,0,0,0,0
NO.3+10.78,10.190769300655916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.748460875780836,71.29906448611993,81.57787698640725,0,0,0,0,0,0,0,0,0,81.57787698640725,,,,,0,0,0,0,0,0,0,0,0,0
