라-1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,1.0471297054721518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8604581309843056,0,0,0.495408824657936,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+4.00,3.9952479452747096,0.47686197408964404,3.0443623131925093,3.0443623131925093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0443623131925093,0,0,0,7.145759222531829,17.991035688166384,20.584709025361995,1.0008033404521939,2.9888692891756357,3.0405587885815217,0,0,0,0,0,0,23.625267813943516,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+4.27,0.2789529005685414,0.4240824468638067,0.125660529738005,0.125660529738005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125660529738005,0,0,0,6.062963483731437,1.8423057558588458,2.1079013224929586,0,0.13958849735891246,0.14200254054823241,0,0,0,0,0,0,2.249903863041191,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+6.12,1.8450670142845178,0.5538059002730904,0.9021347664777484,0.9021347664777484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9021347664777484,0,0,0,5.913824794631012,11.048988494738007,12.641863266290626,0,0,0,0,0,0,0,0,0,12.641863266290626,,,,,0,0,0,0,0,0,0,0,0,0
NO.1,13.880732139872231,1.3274079676636816,13.056312899321654,13.056312899321654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.056312899321654,0,0,0,3.780337172791235,67.2810327951625,76.98058672215389,0,0,0,0,0,0,0,0,0,76.98058672215389,,,,,0,0,0,0,0,0,0,0,0,0
NO.1+8.85,8.851450300835879,0.7520698705181843,9.203197368178209,9.203197368178209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.203197368178209,0,0,0,3.3058588285757544,31.36155586404092,35.882787029795104,0,0,0,0,0,0,0,0,0,35.882787029795104,,,,,0,0,0,0,0,0,0,0,0,0
NO.2,11.148549699164121,0.10276334646534124,4.765075302018591,4.765075302018591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.765075302018591,0,0,0,5.040330880681452,46.523955386153055,53.23107023587306,0,0,0,0,0,0,0,0,0,53.23107023587306,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,4.6841212113459,31.096743178926715,31.096743178926715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.096743178926715,0,0,0,33.10953251392702,176.04887398411972,201.42891760196764,1.4962121651101299,3.128457786534548,3.1825613291297543,0,0,0,0,0,0,204.6114789310974,31.096743178926715,31.096743178926715,173.51473575217068,0,0,0,0,0,0,0,0,0,0,0
NO.2+6.40,6.399999999999999,0.09158409072043128,0.6219117989944719,0.6219117989944719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6219117989944719,0,0,0,6.663387961841494,37.45190029607342,42.851144503516494,0.03716287864989454,0.11892121167966249,0.1209778348724949,0,0,0,0,0,0,42.97212233838899,,,,,0,0,0,0,0,0,0,0,0,0
