라-1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.909999999999954,0,0,6.9630362162262855,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+4.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.799999999999983,59.419999999999874,67.98627002288315,7.312715802748087,28.551504037948746,29.045273690690486,0,0,0,0,0,0,97.03154371357363,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+4.03,0.02747527690461027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.400000000000006,0.38740140435500464,0.4432510347311266,6.639837908203816,0.19167513836742556,0.1949899678203719,0,0,0,0,0,0,0.6382410025514985,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+6.13,2.1025247231110686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.310000000000002,25.97669295403726,29.721616652216547,4.262484120896104,11.461200802750508,11.659410786114453,0,0,0,0,0,0,41.381027438331,,,,,0,0,0,0,0,0,0,0,0,0
NO.1+2.00,15.869999999984321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.310000000000002,179.4896999998227,205.36578947348136,5.322760588830889,76.05891677160855,77.37427952350819,0,0,0,0,0,0,282.7400689969895,,,,,0,0,0,0,0,0,0,0,0,0
NO.1+4.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.310000000000002,22.620000000000005,25.881006864988564,1.379916921582776,6.702677510413665,6.818593601641571,0,0,0,0,0,0,32.69960046663014,,,,,0,0,0,0,0,0,0,0,0,0
NO.2+8.17,24.171537655474907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.310000000000002,273.38009088342125,312.7918659993378,4.799501508366561,74.68302263422801,75.97459067571516,0,0,0,0,0,0,388.76645667505295,,,,,0,0,0,0,0,0,0,0,0,0
소계,48.17153765547491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.34999999999995,561.2738852416361,642.1898000476385,36.68025306685452,197.6489968953169,201.06713824549024,0,0,0,0,0,0,843.2569382931288,0,0,843.2569382931288,0,0,0,0,0,0,0,0,0,0,0
NO.2+10.29,2.1228301973215125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.799999999999983,27.71354822603233,31.70886524717658,8.22384497000651,13.823176587235565,14.062234575010748,0,0,0,0,0,0,45.771099822187324,,,,,0,0,0,0,0,0,0,0,0,0
NO.2+11.49,1.1995987116036133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.850000000000037,17.784050899523578,20.347884324397686,8.106052774558961,9.794662147499745,9.964051014750503,0,0,0,0,0,0,30.31193533914819,,,,,0,0,0,0,0,0,0,0,0,0
