가-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,2.4519881712237037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.30892926516913,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+4.70,4.7,2.20092589450789,10.934348054469245,10.934348054469245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.934348054469245,0,0,0,0,0,0,53.416292330997464,262.5542707509915,267.0948837751694,0,0,0,0,0,0,267.0948837751694,,,,,0,0,0,0,0,0,0,0,0,0
NO.1,15.3,1.4283394265974891,27.76387970645615,27.76387970645615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.76387970645615,0,0,0,0,0,0,31.420700618505776,649.0029960636998,660.2268525571717,0,0,0,0,0,0,660.2268525571717,,,,,0,0,0,0,0,0,0,0,0,0
NO.1+12.12,12.123345868136113,0.6830140260731667,12.798334078304856,12.798334078304856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.798334078304856,0,0,0,0,0,0,49.532050826038414,490.70910236973225,499.19542458772355,0,0,0,0,0,0,499.19542458772355,,,,,0,0,0,0,0,0,0,0,0,0
NO.2,7.876654131863887,0,2.689932625295099,2.689932625295099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.689932625295099,0,0,0,0,0,0,63.16572601084437,443.84070478705354,451.5164850326079,0,0,0,0,0,0,451.5164850326079,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,6.764267518402249,54.18649446452535,54.18649446452535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.18649446452535,0,0,0,0,0,0,255.84369905155515,1846.1070739714771,1878.0336459526725,0,0,0,0,0,0,1878.0336459526725,54.18649446452535,54.18649446452535,1823.8471514881471,0,0,0,0,0,0,0,0,0,0,0
NO.2+5.63,5.630828657924546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.66971046573244,461.26463544794257,469.2417451148958,0,0,0,0,0,0,469.2417451148958,,,,,0,0,0,0,0,0,0,0,0,0
NO.3,14.369171342075454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.77291164024942,1590.9734897396595,1618.4877820342417,0,0,0,0,0,0,1618.4877820342417,,,,,0,0,0,0,0,0,0,0,0,0
NO.3+8.44,8.436761825476708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.22370996761092,923.8111685447818,939.7875570140202,0,0,0,0,0,0,939.7875570140202,,,,,0,0,0,0,0,0,0,0,0,0
NO.3+8.45,0.013238174523294788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.711887593922484,0.8799123204390301,0.8951295223184437,0,0,0,0,0,0,0.8951295223184437,,,,,0,0,0,0,0,0,0,0,0,0
