소1-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,0.34894939353756804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+13.00,13,1.5215643260977356,12.158339177629474,12.158339177629474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.158339177629474,0,0,0,0,0,0,0.4095018032153135,2.6617617208995377,2.7077942226851857,0,0,0,0,0,0,2.7077942226851857,,,,,1.0516845026734587,6.835949267377481,0,0,0,0,0,0,0,0
NO.0+18.13,5.129618133526712,2.0877898072006147,9.257304206243404,9.257304206243404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.257304206243404,0,0,0,0,0,0,0.5373717141986347,2.428549782541405,2.4705491175395777,0,0,0,0,0,0,2.4705491175395777,,,,,1.2672299881276878,5.947572911055712,0,0,0,0,0,0,0,0
NO.1+2.66,4.532593288313997,1.663460005699104,8.501444862369201,8.501444862369201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.501444862369201,0,0,0,0.4909036062337293,1.1125331954120694,1.2729212762151825,0,1.2178437125532595,1.2389050992403454,0,0,0,0,0,0,2.511826375455528,,,,,0,2.871919069468892,0,0,0,0,0,0,0,0
NO.1+7.95,5.282293337954528,1.400910203589774,8.093451170776481,8.093451170776481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.093451170776481,0,0,0,0.1420213645843802,1.6716476783887817,1.912640364289224,0,0,0,0,0,0,0,0,0,1.912640364289224,,,,,0,0,0,0,0,0,0,0,0,0
NO.1+15.10,7.155495240204765,0.9333921348677592,8.351544636015864,8.351544636015864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.351544636015864,0,0,0,0.17997400694948595,1.152018174189272,1.318098597470563,0,0,0,0,0,0,0,0,0,1.318098597470563,,,,,0,0,0,0,0,0,0,0,0,0
NO.2+1.30,6.1985047472678545,0.1530613560553915,3.367193560586441,3.367193560586441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.367193560586441,0,0,0,0,0.5577848682306032,0.6381977897375323,0.7513000499434721,2.328468463098594,2.3687369919619474,0,0,0,0,0,0,3.0069347816994796,,,,,0,0,0,0,0,0,0,0,0,0
소계,41.298504747267856,8.109127227047946,49.729277613620866,49.729277613620866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.729277613620866,0,0,0,0.8128989777675955,4.493983916220726,5.141858027712502,1.6981735673574203,8.636623679092796,8.785985431427058,0,0,0,0,0,0,13.927843459139558,13.927843459139558,13.927843459139558,0,35.801434154481306,2.3189144908011468,15.655441247902086,0,0,0,0,0,0,0,0
NO.3+0.33,19.033734819317914,0.02658180428585233,1.709640138019722,1.709640138019722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.709640138019722,0,0,0,0,0,0,1.434141287431732,20.798555439387567,21.158245614839846,0,0,0,0,0,0,21.158245614839846,,,,,0,0,0,0,0,0,0,0,0,0
