소2 연1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5557822794205265,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+7.81,7.804836622345031,0.03259110822992284,0.12718413753785615,0.12718413753785615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12718413753785615,0,0,0,0,0,0,0.1833711696577467,6.7869042656218905,6.904276974183001,0,0,0,0,0,0,6.904276974183001,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+15.00,7.195163377654969,0,0.11724917418656512,0.11724917418656512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11724917418656512,0,0,0,0,0,0,0.3064116642753021,1.7620337548595688,1.7925063630310976,0,0,0,0,0,0,1.7925063630310976,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+17.05,2.0521968849153787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641917906980467,0.3802756279175916,0.3868521138530942,0,0,0,0,0,0,0.3868521138530942,,,,,0,0,0,0,0,0,0,0,0,0
NO.1,2.9478031150846213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014063083245730468,0.11533998059101036,0.11733466998068195,0,0,0,0,0,0,0.11733466998068195,,,,,0,0,0,0,0,0,0,0,0,0
NO.1+4.32,4.32435447985668,0.05575961635317128,0.12056217338596302,0.12056217338596302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12056217338596302,0,0,0,0,0,0,0,0.030406878517135985,0.030932735012345867,0,0,0,0,0,0,0.030932735012345867,,,,,0,0,0,0,0,0,0,0,0,0
NO.2,15.67564552014332,0.07489758794602608,1.024068009623582,1.024068009623582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.024068009623582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,0.1632483125291202,1.3890634947339662,1.3890634947339662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3890634947339662,0,0,0,0,0,0,2.1238199872973524,9.074960507507196,9.23190285606022,0,0,0,0,0,0,9.23190285606022,1.3890634947339662,1.3890634947339662,7.842839361326254,0,0,0,0,0,0,0,0,0,0,0
NO.2+13.43,13.432238771480037,0.007514413603118442,0.5534888412218459,0.5534888412218459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5534888412218459,0,0,0,0,0,0,0.5455014043137112,3.6636525564597195,3.7270117563171103,0,0,0,0,0,0,3.7270117563171103,,,,,0,0,0,0,0,0,0,0,0,0
NO.3,6.567761228519963,0.44702252248515606,1.4926450328854128,1.4926450328854128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4926450328854128,0,0,0,0,0,0,1.2907982260478548,6.0301887581171165,6.134474830231045,0,0,0,0,0,0,6.134474830231045,,,,,0,0,0,0,0,0,0,0,0,0
