소2 연3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+5.22,0,0.1820064825872123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08160967575958,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+10.33,5.105676829887862,1.4675488604501936,4.211048247281904,4.211048247281904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.211048247281904,0,0,0,0,0,0,0.00026682425253454767,10.420371134287809,10.60058101148302,0,0,0,0,0,0,10.60058101148302,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+13.93,3.606353211505054,0.930912756810244,4.324849878039392,4.324849878039392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.324849878039392,0,0,0,0,0,0,0,0.00048113125001770075,0.000489451932876603,0,0,0,0,0,0,0.000489451932876603,,,,,0,0,0,0,0,0,0,0,0,0
NO.1,6.066704196050932,1.1439132352017083,6.2936777759072235,6.2936777759072235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2936777759072235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.1+16.49,16.4943577714249,1.4627044625038366,21.49724243964157,21.49724243964157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.49724243964157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.2,3.5056422285751054,1.3607941971107635,4.949088066735075,4.949088066735075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.949088066735075,0,0,0,0,0,0,3.7719803017824916,6.611606715641086,6.725947828729487,0,0,0,0,0,0,6.725947828729487,,,,,0,0,0,0,0,0,0,0,0,0
소계,34.77873423744386,6.547879994663958,41.27590640760516,41.27590640760516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.27590640760516,0,0,0,0,0,0,7.853856801794606,17.032458981178912,17.327018292145386,0,0,0,0,0,0,17.327018292145386,17.327018292145386,17.327018292145386,0,23.948888115459777,0,0,0,0,0,0,0,0,0,0
NO.2+4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
총계,34.77873423744386,6.547879994663958,41.27590640760516,41.27590640760516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.27590640760516,0,0,0,0,0,0,7.853856801794606,17.032458981178912,17.327018292145386,0,0,0,0,0,0,17.327018292145386,17.327018292145386,17.327018292145386,0,23.948888115459777,0,0,0,0,0,0,0,0,0,0
