소3 연10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,0.07794375420125732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29575569474219776,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.1,20,0,0.7794375420125732,0.7794375420125732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7794375420125732,0,0,0,0,0,0,0.7209774558547863,10.167331505969841,10.343165316347752,0,0,0,0,0,0,10.343165316347752,,,,,0,0,0,0,0,0,0,0,0,0
NO.2,20,0.04136856010078205,0.4136856010078205,0.4136856010078205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4136856010078205,0,0,0,0,0,0,0.8674770638893534,15.884545197441398,16.159252489767443,0,0,0,0,0,0,16.159252489767443,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,0.11931231430203937,1.1931231430203937,1.1931231430203937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1931231430203937,0,0,0,0,0,0,1.8842102144863375,26.05187670341124,26.502417806115197,0,0,0,0,0,0,26.502417806115197,1.1931231430203937,1.1931231430203937,25.309294663094803,0,0,0,0,0,0,0,0,0,0,0
NO.3,20,0.004614941259333705,0.4598350136011575,0.4598350136011575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4598350136011575,0,0,0,0,0,0,2.0745738825528264,29.420509464421798,29.929307695240894,0,0,0,0,0,0,29.929307695240894,,,,,0,0,0,0,0,0,0,0,0,0
NO.4,20,0,0.04614941259333705,0.04614941259333705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04614941259333705,0,0,0,0,0,0,0.8809646384869296,29.55538521039756,30.066515982093144,0,0,0,0,0,0,30.066515982093144,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,0.004614941259333705,0.5059844261944946,0.5059844261944946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5059844261944946,0,0,0,0,0,0,2.955538521039756,58.97589467481936,59.99582367733404,0,0,0,0,0,0,59.99582367733404,0.5059844261944946,0.5059844261944946,59.48983925113954,0,0,0,0,0,0,0,0,0,0,0
NO.4+13.16,13.156558940327088,0.05855950333879889,0.38522077859659426,0.38522077859659426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38522077859659426,0,0,0,0,0,0,3.664516774995043,29.90144706431843,30.418562629011628,0,0,0,0,0,0,30.418562629011628,,,,,0,0,0,0,0,0,0,0,0,0
NO.5,6.843441059672912,0.16974008459855838,0.7811773869984587,0.7811773869984587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7811773869984587,0,0,0,0,0,0,2.153755567587808,19.90850192279539,20.252799514542616,0,0,0,0,0,0,20.252799514542616,,,,,0,0,0,0,0,0,0,0,0,0
NO.6,20,0,1.6974008459855838,1.6974008459855838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6974008459855838,0,0,0,0,0,0,3.0967186059358696,52.50474173523678,53.412758631980445,0,0,0,0,0,0,53.412758631980445,,,,,0,0,0,0,0,0,0,0,0,0
