소3 연11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,0.0056733922223521915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+1.86,1.8589103708921164,10.359703578038534,9.634153374112133,9.634153374112133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.634153374112133,0,0,0,0,0,0,1.9602982900861434,1.8220094107416072,1.853519237783934,0,0,0,0,0,0,1.853519237783934,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+9.04,7.180555056419957,0,37.19421095514826,37.19421095514826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.19421095514826,0,0,0,0,0,0,29.774094165550054,113.93527610486692,115.90567253801314,0,0,0,0,0,0,115.90567253801314,,,,,0,0,0,0,0,0,0,0,0,0
NO.1,10.960534572687926,0.02888171073590584,0.15827949451963402,0.15827949451963402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15827949451963402,0,0,0,0,0,0,0.027597742816620308,163.32123724312348,166.14571438771463,0,0,0,0,0,0,166.14571438771463,,,,,0,0,0,0,0,0,0,0,0,0
NO.1+2.19,2.192966105584375,0.03325678358066142,0.06813380594413967,0.06813380594413967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06813380594413967,0,0,0,0,0,0,0.006073851783471085,0.03692033283948915,0.03755883300049761,0,0,0,0,0,0,0.03755883300049761,,,,,0,0,0,0,0,0,0,0,0,0
NO.1+8.79,6.592288079470514,0,0.10961914898016249,0.10961914898016249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10961914898016249,0,0,0,0,0,0,7.726192025154447,25.486662083917228,25.927428366141637,0,0,0,0,0,0,25.927428366141637,,,,,0,0,0,0,0,0,0,0,0,0
NO.1+9.64,0.8566977032035581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1043804522989262,4.639263282906987,4.719494692682591,0,0,0,0,0,0,4.719494692682591,,,,,0,0,0,0,0,0,0,0,0,0
NO.1+11.00,1.3560481117415542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4718792220479315,5.814910368601646,5.9154734166852965,0,0,0,0,0,0,5.9154734166852965,,,,,0,0,0,0,0,0,0,0,0,0
소계,30.998,10.427515464577453,47.16439677870433,47.16439677870433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.16439677870433,0,0,0,0,0,0,48.070515749737595,315.05627882699736,320.5048614720217,0,0,0,0,0,0,320.5048614720217,47.16439677870433,47.16439677870433,273.34046469331736,0,0,0,0,0,0,0,0,0,0,0
총계,30.998,10.427515464577453,47.16439677870433,47.16439677870433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.16439677870433,0,0,0,0,0,0,48.070515749737595,315.05627882699736,320.5048614720217,0,0,0,0,0,0,320.5048614720217,47.16439677870433,47.16439677870433,273.34046469331736,0,0,0,0,0,0,0,0,0,0,0
