소3연14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1459945945945904,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+16.87,16.865006705838912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9857770308891087,17.97617137954985,18.287051250813683,0,0,0,0,0,0,18.287051250813683,,,,,0,0,0,0,0,0,0,0,0,0
NO.1,3.134993294161088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9559945945945909,3.043720512341837,3.0963586086895596,0,0,0,0,0,0,3.0963586086895596,,,,,0,0,0,0,0,0,0,0,0,0
NO.2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7659945945945914,17.219891891891823,17.517692667234815,0,0,0,0,0,0,17.517692667234815,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8537608146728815,38.23978378378351,38.90110252673806,0,0,0,0,0,0,38.90110252673806,0,0,38.90110252673806,0,0,0,0,0,0,0,0,0,0,0
NO.3,20,0.1205620228322637,1.205620228322637,1.205620228322637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.205620228322637,0,0,0,0,0,0,0.00010902230589415751,7.661036169004856,7.793526112924574,0,0,0,0,0,0,7.793526112924574,,,,,0,0,0,0,0,0,0,0,0,0
NO.3+4.01,4.012520348642255,0,0.2418787849439651,0.2418787849439651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2418787849439651,0,0,0,0,0,0,0.6364994625271656,1.2772022497554834,1.2992901828641743,0,0,0,0,0,0,1.2992901828641743,,,,,0,0,0,0,0,0,0,0,0,0
NO.3+7.00,2.987479651357745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.095462137040434,8.562059320536097,8.710131557005186,0,0,0,0,0,0,8.710131557005186,,,,,0,0,0,0,0,0,0,0,0,0
NO.3+10.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5129494998285224,17.412617455303433,17.71375122614795,0,0,0,0,0,0,17.71375122614795,,,,,0,0,0,0,0,0,0,0,0,0
NO.4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6499861499155877,50.814678248720554,51.69346719096699,0,0,0,0,0,0,51.69346719096699,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,0.1205620228322637,1.4474990132666021,1.4474990132666021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4474990132666021,0,0,0,0,0,0,15.895006271617603,85.72759344332042,87.21016626990888,0,0,0,0,0,0,87.21016626990888,1.4474990132666021,1.4474990132666021,85.76266725664227,0,0,0,0,0,0,0,0,0,0,0
