중3진1우보도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,0.16301571508299872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006618144698655737,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+4.60,4.6,0.13245213655361,0.6795760587642,0.6795760587642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6795760587642,0,0,0,0,0,0,0,0.0015221732806908193,0.0015484977423100908,0,0,0,0,0,0,0.0015484977423100908,,,,,0,0,0,0,0,0,0,0,0,0
NO.1,15.4,0.08407416299026416,1.667252506487831,1.667252506487831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667252506487831,0,0,0,0,0,0,0.0721432531934898,0.5555030495898715,0.5651099181992589,0,0,0,0,0,0,0.5651099181992589,,,,,0,0,0,0,0,0,0,0,0,0
NO.1+5.55,5.546481823615288,0.09349419916798851,0.49243984657994255,0.49243984657994255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49243984657994255,0,0,0,0,0,0,0.044690380622141035,0.3240078131726604,0.329611203634446,0,0,0,0,0,0,0.329611203634446,,,,,0,0,0,0,0,0,0,0,0,0
NO.1+5.56,0.014279844979267153,0.09342756150441645,0.0013346068828268092,0.0013346068828268092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013346068828268092,0,0,0,0,0,0,0.044779333469174176,0.0006388068237816676,0.000649854347692439,0,0,0,0,0,0,0.000649854347692439,,,,,0,0,0,0,0,0,0,0,0,0
NO.2,14.439238331405445,0.08243641228722787,1.2696709157427966,1.2696709157427966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2696709157427966,0,0,0,0,0,0,0.1309806105151683,1.2689198601521958,1.2908645576319389,0,0,0,0,0,0,1.2908645576319389,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,0.6489001875865057,4.110273934457597,4.110273934457597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.110273934457597,0,0,0,0,0,0,0.2932553922698389,2.1505917030192006,2.1877840315556467,0,0,0,0,0,0,2.1877840315556467,2.1877840315556467,2.1877840315556467,0,1.9224899029019502,0,0,0,0,0,0,0,0,0,0
NO.3,20,0.0782851131865634,1.6072152547379126,1.6072152547379126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6072152547379126,0,0,0,0,0,0,0.12634634005725154,2.5732695057241983,2.6177716233206496,0,0,0,0,0,0,2.6177716233206496,,,,,0,0,0,0,0,0,0,0,0,0
NO.4,20,0.10093448170966468,1.7921959489622807,1.7921959489622807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7921959489622807,0,0,0,0,0,0,0.02137728046883325,1.4772362052608479,1.502783525189062,0,0,0,0,0,0,1.502783525189062,,,,,0,0,0,0,0,0,0,0,0,0
