소3 연4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,0.207294033243258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20122651400646596,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+5.63,5.632577474869322,1.7937687508282067,5.635570581680113,5.635570581680113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.635570581680113,0,0,0,0,0,0,0.5758119750406507,2.188364745256641,2.2262103207086885,0,0,0,0,0,0,2.2262103207086885,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+10.91,5.275263368523955,0,4.731301291423507,4.731301291423507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.731301291423507,0,0,0,0,0,0,0.6928912299447987,3.34637177139434,3.404243918000346,0,0,0,0,0,0,3.404243918000346,,,,,0,0,0,0,0,0,0,0,0,0
NO.1,9.092159156606723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3737432582432305,4.849005264265657,4.93286395144014,0,0,0,0,0,0,4.93286395144014,,,,,0,0,0,0,0,0,0,0,0,0
NO.1+10.69,10.684796192025331,0.0836471020638676,0.4468761188029834,0.4468761188029834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4468761188029834,0,0,0,0,0,0,0.15094285851773726,2.8030821111880733,2.851558607515843,0,0,0,0,0,0,2.851558607515843,,,,,0,0,0,0,0,0,0,0,0,0
NO.2,9.315203807974669,0,0.3895949018356927,0.3895949018356927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3895949018356927,0,0,0,0,0,0,1.5680977651361943,8.006606881762126,8.145073124885174,0,0,0,0,0,0,8.145073124885174,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,2.0847098861353324,11.203342893742295,11.203342893742295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.203342893742295,0,0,0,0,0,0,3.5627136008890776,21.193430773866837,21.559949922550192,0,0,0,0,0,0,21.559949922550192,11.203342893742295,11.203342893742295,10.356607028807897,0,0,0,0,0,0,0,0,0,0,0
NO.3,20,0.15370950898989832,1.5370950898989832,1.5370950898989832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5370950898989832,0,0,0,0,0,0,0.044045220660173356,16.121429857963676,16.400233833126833,0,0,0,0,0,0,16.400233833126833,,,,,0,0,0,0,0,0,0,0,0,0
NO.3+10.76,10.759161720896756,0.03609466580379106,1.02106690595333,1.02106690595333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02106690595333,0,0,0,0,0,0,1.1230168777501035,6.278304927562647,6.386881920206151,0,0,0,0,0,0,6.386881920206151,,,,,0,0,0,0,0,0,0,0,0,0
NO.4,9.240838279103244,0.04708073204381691,0.38430520015490865,0.38430520015490865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38430520015490865,0,0,0,0,0,0,0,5.188808675996082,5.278543922681671,0,0,0,0,0,0,5.278543922681671,,,,,0,0,0,0,0,0,0,0,0,0
