소3 연6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,0.011710354635710019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047190418341521934,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.1,20,0,0.11710354635710019,0.11710354635710019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11710354635710019,0,0,0,0,0,0,0.714258651495129,7.6144906983665095,7.746175685011709,0,0,0,0,0,0,7.746175685011709,,,,,0,0,0,0,0,0,0,0,0,0
NO.2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8035565124170461,15.17815163912175,15.440642562687437,0,0,0,0,0,0,15.440642562687437,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,0.011710354635710019,0.11710354635710019,0.11710354635710019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11710354635710019,0,0,0,0,0,0,1.565005582253697,22.79264233748826,23.186818247699144,0,0,0,0,0,0,23.186818247699144,0.11710354635710019,0.11710354635710019,23.069714701342043,0,0,0,0,0,0,0,0,0,0,0
NO.3,20,0.11868342035567281,1.186834203556728,1.186834203556728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.186834203556728,0,0,0,0,0,0,0.4743709339881548,12.779274464052008,13.000279210632765,0,0,0,0,0,0,13.000279210632765,,,,,0,0,0,0,0,0,0,0,0,0
NO.3+13.55,13.544653691432671,0,0.8037629138161596,0.8037629138161596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8037629138161596,0,0,0,0,0,0,0.3911907436733628,5.861866586250365,5.963241695066495,0,0,0,0,0,0,5.963241695066495,,,,,0,0,0,0,0,0,0,0,0,0
NO.4,6.455346308567329,0.09172801943393694,0.2960680658225285,0.2960680658225285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2960680658225285,0,0,0,0,0,0,0.11212173658985591,1.6245281807615177,1.652622767814362,0,0,0,0,0,0,1.652622767814362,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,0.21041143978960974,2.286665183195416,2.286665183195416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.286665183195416,0,0,0,0,0,0,0.9776834142513735,20.265669231063892,20.616143673513623,0,0,0,0,0,0,20.616143673513623,2.286665183195416,2.286665183195416,18.329478490318206,0,0,0,0,0,0,0,0,0,0,0
NO.4+15.24,15.24359774505497,0,0.6991325151007598,0.6991325151007598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6991325151007598,0,0,0,0,0,0,1.1215003166316038,9.402419174368362,9.565024592439839,0,0,0,0,0,0,9.565024592439839,,,,,0,0,0,0,0,0,0,0,0,0
NO.5,4.75640225494503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9279265181666148,9.63035146413458,9.796898742761528,0,0,0,0,0,0,9.796898742761528,,,,,1.9662878873044636,4.676228070523025,0,0,0,0,0,0,0,0
