소3 연8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20838418868978437,0,0,0,0,0,0,0,0,0,,,,,0.1908973544999511,0,0,0,0,0,0,0,0,0
NO.1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5933428073353397,8.017269960251241,8.155920610631984,0,0,0,0,0,0,8.155920610631984,,,,,0.36729792445667336,5.581952789566245,0,0,0,0,0,0,0,0
NO.1+11.75,11.746046324463663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6682158913628484,7.409163457969507,7.537297515737037,0,0,0,0,0,0,7.537297515737037,,,,,0.3852246699282571,4.419582626925487,0,0,0,0,0,0,0,0
NO.2,8.253953675536337,0.1736790292326873,0.7167693308493611,0.7167693308493611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7167693308493611,0,0,0,0,0,0,0.24336206349222955,3.762061105506984,3.8271221826113777,0,0,0,0,0,0,3.8271221826113777,,,,,0.22949153590764518,2.5369195432854985,0.19637310522199825,0.8104272568117982,0,0,0,0,0,0
소계,40,0.1736790292326873,0.7167693308493611,0.7167693308493611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7167693308493611,0,0,0,0,0,0,1.713304950880202,19.188494523727734,19.5203403089804,0,0,0,0,0,0,19.5203403089804,0.7167693308493611,0.7167693308493611,18.80357097813104,0,1.1729114847925268,12.53845495977723,0.19637310522199825,0.8104272568117982,0,0,0,0,0,0
NO.2+8.12,8.120959712084861,0.16243494617030763,1.3647840264582018,1.3647840264582018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3647840264582018,0,0,0,0,0,0,0.3206472358826602,2.2901483987323443,2.3297542204805133,0,0,0,0,0,0,2.3297542204805133,,,,,0.26649711142336985,2.0139519113133195,0.19939563885621972,1.607011012980816,0,0,0,0,0,0
NO.3,11.879040287915139,0.1517915756562047,1.8663547561542928,1.8663547561542928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8663547561542928,0,0,0,0,0,0,0.2980970538038292,3.6750441725516216,3.7386003789945286,0,0,0,0,0,0,3.7386003789945286,,,,,0.4971843868090087,4.535901642318909,0.3177855790866697,3.0718082620483016,0,0,0,0,0,0
NO.4,20,0.11665648869116296,2.6844806434736768,2.6844806434736768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6844806434736768,0,0,0,0,0,0,0.21686145570515336,5.149585095089826,5.238642009247025,0,0,0,0,0,0,5.238642009247025,,,,,0.332631214583313,8.298156013923217,0.22010159872095433,5.378871778076241,0,0,0,0,0,0
소계,40,0.4308830105176753,5.915619426086171,5.915619426086171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.915619426086171,0,0,0,0,0,0,0.8356057453916428,11.114777666373792,11.306996608722066,0,0,0,0,0,0,11.306996608722066,5.915619426086171,5.915619426086171,5.391377182635895,0,1.0963127128156915,14.848009567555446,0.7372828166638438,10.057691053105358,0,0,0,0,0,0
