도로 총괄 토적표,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도로명,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,,비고
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A,
중3 연2,12.145913589166843,0.37785529608885327,0.973366244058204,0.973366244058204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973366244058204,0,0,0,0,0,0,10.393153234515879,40.76894163914194,41.47399963290126,0,0,0,0,0,0,41.47399963290126,0.973366244058204,0.973366244058204,40.500633388843056,0,0,0,0,0,0,0,0,0,0,0,
중3진1우보도,83.888,1.0015500559214718,7.86043705911757,7.86043705911757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86043705911757,0,0,0,0,0,0,0.46696664087412887,6.261847181474844,6.370139553890992,0,0,0,0,0,0,6.370139553890992,5.6489956090814735,5.6489956090814735,0.7211439448095183,2.2114414500360966,0,0,0,0,0,0,0,0,0,0,
소1-51,95.102,8.297872844001706,52.83750831113334,52.83750831113334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.83750831113334,0,0,0,0.8128989777675955,4.493983916220726,5.141858027712502,7.3205095158392695,88.50910584909599,90.0397821455707,0,0,0,0,0,0,95.1816401732832,17.036074156652035,17.036074156652035,78.14556601663115,35.801434154481306,2.3189144908011468,15.655441247902086,0,0,0,0,0,0,0,0,
소3연14,144.666,1.1595232305976175,2.27556981325268,2.27556981325268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27556981325268,0,0,0,0,0,0,47.4609231407379,402.85043118627004,409.81732572357066,0,0,0,0,0,0,409.81732572357066,2.27556981325268,2.27556981325268,407.54175591031805,0,0,0,0,0,0,0,0,0,0,0,
소3 연11,30.998,10.427515464577453,47.16439677870433,47.16439677870433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.16439677870433,0,0,0,0,0,0,48.070515749737595,315.05627882699736,320.5048614720217,0,0,0,0,0,0,320.5048614720217,47.16439677870433,47.16439677870433,273.34046469331736,0,0,0,0,0,0,0,0,0,0,0,
소3 연10,193.0896519159182,2.8243741190208063,12.469206113806536,12.469206113806536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.469206113806536,0,0,0,0,0,0,29.27517932028625,359.2262918621,365.4387506226857,0,0,0,0,0,0,365.4387506226857,12.469206113806536,12.469206113806536,352.9695445088792,0,0,0,0,0,0,0,0,0,0,0,
소2 연12,16.25,1.1426683093345815,3.52251415905196,3.52251415905196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52251415905196,0,0,0,0,0,0,5.3337728148055845,17.22823904895965,17.526184180019992,0,0,0,0,0,0,17.526184180019992,3.52251415905196,3.52251415905196,14.003670020968032,0,0,0,0,0,0,0,0,0,0,0,
소3 연8,226.852,4.005256547604986,26.011774049143256,26.011774049143256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.011774049143256,0,0,0,0,0,0,23.418001175806374,389.5063868831724,396.242509545445,0,0,0,0,0,0,396.242509545445,26.01177404914326,26.01177404914326,370.23073549630175,0,4.409119018271148,52.17824500101186,2.963957265765071,26.592956038958825,0,0,0,0,0,0,
