보-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(1)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2019124177860938,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+4.01,4.008228261532861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30856217249749207,1.0230493397845384,1.0230493397845384,0,0,0,0,0,0,1.0230493397845384,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+11.70,7.691771738467138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.370962879315641,37.22634861766046,37.22634861766046,0,0,0,0,0,0,37.22634861766046,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4511516269220315,44.911775200886346,44.911775200886346,0,0,0,0,0,0,44.911775200886346,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1+3.80,3.8000000000000007,0.6535235064837792,1.2416946623191807,1.2416946623191807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2416946623191807,0,2.7571880911518605,2.7571880911518605,0,0,0,0,0,0,2.7571880911518605,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,23.8,0.6535235064837792,1.2416946623191807,1.2416946623191807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2416946623191807,11.332589096521259,85.9183612494832,85.9183612494832,0,0,0,0,0,0,85.9183612494832,1.2416946623191807,1.2416946623191807,84.67666658716402,0,0,0,0,0,0,0,0,0,0,0
(1)  총계,23.8,0.6535235064837792,1.2416946623191807,1.2416946623191807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2416946623191807,11.332589096521259,85.9183612494832,85.9183612494832,0,0,0,0,0,0,85.9183612494832,1.2416946623191807,1.2416946623191807,84.67666658716402,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3860655917354592,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+4.01,4.008228261532861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3943067847837938,7.576297699341308,7.576297699341308,0,0,0,0,0,0,7.576297699341308,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+11.70,7.691771738467138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.034373316598703,63.182828652065666,63.182828652065666,0,0,0,0,0,0,63.182828652065666,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.310515116211832,84.43128699616373,84.43128699616373,0,0,0,0,0,0,84.43128699616373,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1+3.80,3.8000000000000007,0.22942057473457567,0.4358990919956938,0.4358990919956938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4358990919956938,2.3708543066850893,18.394601903504153,18.394601903504153,0,0,0,0,0,0,18.394601903504153,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,23.8,0.22942057473457567,0.4358990919956938,0.4358990919956938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4358990919956938,26.496115116014877,173.58501525107488,173.58501525107488,0,0,0,0,0,0,173.58501525107488,0.4358990919956938,0.4358990919956938,173.14911615907917,0,0,0,0,0,0,0,0,0,0,0
(2)  총계,23.8,0.22942057473457567,0.4358990919956938,0.4358990919956938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4358990919956938,26.496115116014877,173.58501525107488,173.58501525107488,0,0,0,0,0,0,173.58501525107488,0.4358990919956938,0.4358990919956938,173.14911615907917,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),23.8,0.6535235064837792,1.2416946623191807,1.2416946623191807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2416946623191807,11.332589096521259,85.9183612494832,85.9183612494832,0,0,0,0,0,0,85.9183612494832,1.2416946623191807,1.2416946623191807,84.67666658716402,0,0,0,0,0,0,0,0,0,0,0
(2),23.8,0.22942057473457567,0.4358990919956938,0.4358990919956938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4358990919956938,26.496115116014877,173.58501525107488,173.58501525107488,0,0,0,0,0,0,173.58501525107488,0.4358990919956938,0.4358990919956938,173.14911615907917,0,0,0,0,0,0,0,0,0,0,0
총계,47.6,0.8829440812183549,1.6775937543148745,1.6775937543148745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6775937543148745,37.82870421253614,259.5033765005581,259.5033765005581,0,0,0,0,0,0,259.5033765005581,1.6775937543148745,1.6775937543148745,257.8257827462432,0,0,0,0,0,0,0,0,0,0,0
