보-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(1)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1,20,0.0765081341746594,0.765081341746594,0.765081341746594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765081341746594,0.04081754937239168,0.4081754937239168,0.4081754937239168,0,0,0,0,0,0,0.4081754937239168,,,,,0,0,0.3189100673244575,3.1891006732445746,0,0,0,0,0,0
(1)  NO. 2,20,0.09427970879438874,1.7078784296904814,1.7078784296904814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7078784296904814,0.04271924659374804,0.8353679596613972,0.8353679596613972,0,0,0,0,0,0,0.8353679596613972,,,,,0,0,0.3466129599943574,6.655230273188149,0,0,0,0,0,0
(1)  소계,40,0.17078784296904814,2.4729597714370755,2.4729597714370755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4729597714370755,0.08353679596613972,1.243543453385314,1.243543453385314,0,0,0,0,0,0,1.243543453385314,1.243543453385314,1.243543453385314,0,1.2294163180517614,0,0,0.6655230273188149,9.844330946432724,0,0,0,0,0,0
(1)  NO. 3,20,0.4800422323384481,5.7432194113283686,5.7432194113283686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7432194113283686,0,0.4271924659374804,0.4271924659374804,0,0,0,0,0,0,0.4271924659374804,,,,,0,0,0,3.4661295999435735,0,0,0,0,0,0
(1)  NO. 4,20,0,4.800422323384481,4.800422323384481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.800422323384481,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,40,0.4800422323384481,10.54364173471285,10.54364173471285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.54364173471285,0,0.4271924659374804,0.4271924659374804,0,0,0,0,0,0,0.4271924659374804,0.4271924659374804,0.4271924659374804,0,10.11644926877537,0,0,0,3.4661295999435735,0,0,0,0,0,0
(1)  NO. 5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(1)  NO. 7,20,0.0422657212465225,0.42265721246522503,0.42265721246522503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42265721246522503,0.0008942272615115598,0.008942272615115598,0.008942272615115598,0,0,0,0,0,0,0.008942272615115598,,,,,0,0,0.09095543925049232,0.9095543925049232,0,0,0,0,0,0
(1)  NO. 7+16.48,16.48082359117609,0,0.34828694790888026,0.34828694790888026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34828694790888026,0,0.007368800873696253,0.007368800873696253,0,0,0,0,0,0,0.007368800873696253,,,,,0,0,0,0.7495102744726487,0,0,0,0,0,0
(1)  소계,36.48082359117609,0.0422657212465225,0.7709441603741053,0.7709441603741053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7709441603741053,0.0008942272615115598,0.01631107348881185,0.01631107348881185,0,0,0,0,0,0,0.01631107348881185,0.01631107348881185,0.01631107348881185,0,0.7546330868852934,0,0,0.09095543925049232,1.659064666977572,0,0,0,0,0,0
(1)  총계,156.4808235911761,0.6930957965540188,13.78754566652403,13.78754566652403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.78754566652403,0.08443102322765128,1.6870469928116063,1.6870469928116063,0,0,0,0,0,0,1.6870469928116063,1.6870469928116063,1.6870469928116063,0,12.100498673712424,0,0,0.7564784665693072,14.969525213353869,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  NO. 0,0,0.7986200619961608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0.7220273686622274,0,0,0,0,0,0,0
(2)  NO. 1,20,0,7.986200619961608,7.986200619961608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.986200619961608,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,7.220273686622274,0,0,0,0,0,0
(2)  NO. 2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,40,0.7986200619961608,7.986200619961608,7.986200619961608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.986200619961608,0,0,0,0,0,0,0,0,0,0,0,0,0,7.986200619961608,0,0,0.7220273686622274,7.220273686622274,0,0,0,0,0,0
(2)  NO. 3,20,0.2919096177029239,2.919096177029239,2.919096177029239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.919096177029239,0,0,0,0,0,0,0,0,0,0,,,,,0,0,1.4367667533263289,14.367667533263289,0,0,0,0,0,0
(2)  NO. 4,20,0.7827448346881027,10.746544523910266,10.746544523910266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.746544523910266,0,0,0,0,0,0,0,0,0,0,,,,,0,0,1.1453789405528723,25.82145693879201,0,0,0,0,0,0
(2)  소계,40,1.0746544523910266,13.665640700939505,13.665640700939505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.665640700939505,0,0,0,0,0,0,0,0,0,0,0,0,0,13.665640700939505,0,0,2.582145693879201,40.1891244720553,0,0,0,0,0,0
(2)  NO. 5,20,0.4105794525688111,11.933242872569139,11.933242872569139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.933242872569139,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0.6313529405311422,17.767318810840145,0,0,0,0,0,0
(2)  NO. 6,20,0.4793205503669178,8.899000029357289,8.899000029357289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.899000029357289,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0.5733279995398184,12.046809400709606,0,0,0,0,0,0
(2)  소계,40,0.8899000029357289,20.832242901926428,20.832242901926428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.832242901926428,0,0,0,0,0,0,0,0,0,0,0,0,0,20.832242901926428,0,0,1.2046809400709606,29.81412821154975,0,0,0,0,0,0
(2)  NO. 7,20,0,4.793205503669178,4.793205503669178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.793205503669178,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,5.733279995398184,0,0,0,0,0,0
(2)  NO. 7+16.48,16.48082359117609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8958347040265977,15.622458657545947,15.622458657545947,0,0,0,0,0,0,15.622458657545947,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,36.48082359117609,0,4.793205503669178,4.793205503669178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.793205503669178,1.8958347040265977,15.622458657545947,15.622458657545947,0,0,0,0,0,0,15.622458657545947,4.793205503669178,4.793205503669178,10.829253153876769,0,0,0,0,5.733279995398184,0,0,0,0,0,0
(2)  총계,156.4808235911761,2.7631745173229163,47.27728972649672,47.27728972649672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.27728972649672,1.8958347040265977,15.622458657545947,15.622458657545947,0,0,0,0,0,0,15.622458657545947,4.793205503669178,4.793205503669178,10.829253153876769,42.48408422282754,0,0,4.50885400261239,82.9568063656255,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),156.4808235911761,0.6930957965540188,13.78754566652403,13.78754566652403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.78754566652403,0.08443102322765128,1.6870469928116063,1.6870469928116063,0,0,0,0,0,0,1.6870469928116063,1.6870469928116063,1.6870469928116063,0,12.100498673712424,0,0,0.7564784665693072,14.969525213353869,0,0,0,0,0,0
(2),156.4808235911761,2.7631745173229163,47.27728972649672,47.27728972649672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.27728972649672,1.8958347040265977,15.622458657545947,15.622458657545947,0,0,0,0,0,0,15.622458657545947,4.793205503669178,4.793205503669178,10.829253153876769,42.48408422282754,0,0,4.50885400261239,82.9568063656255,0,0,0,0,0,0
총계,312.9616471823522,3.456270313876935,61.06483539302075,61.06483539302075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.06483539302075,1.980265727254249,17.309505650357554,17.309505650357554,0,0,0,0,0,0,17.309505650357554,6.480252496480784,6.480252496480784,10.829253153876769,54.58458289653996,0,0,5.265332469181697,97.92633157897936,0,0,0,0,0,0
