보-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(1)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1+14.43,14.43254198489096,0.004782447137843704,0.034511434553725434,0.034511434553725434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034511434553725434,0.15127658575789837,1.0916528376409131,1.0916528376409131,0,0,0,0,0,0,1.0916528376409131,,,,,0.03882912467581519,0.2802014860601342,0,0,0,0,0,0,0,0
(1)  NO. 2,5.56745801510904,0,0.013313036824711608,0.013313036824711608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013313036824711608,0,0.42111301993807065,0.42111301993807065,0,0,0,0,0,0,0.42111301993807065,,,,,0,0.10808976069801773,0,0,0,0,0,0,0,0
(1)  소계,40,0.004782447137843704,0.04782447137843704,0.04782447137843704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04782447137843704,0.15127658575789837,1.5127658575789837,1.5127658575789837,0,0,0,0,0,0,1.5127658575789837,0.04782447137843704,0.04782447137843704,1.4649413862005467,0,0.03882912467581519,0.3882912467581519,0,0,0,0,0,0,0,0
(1)  NO. 3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(1)  NO. 4+10.67,10.674139069528735,0.06857141070803152,0.36597038704565016,0.36597038704565016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36597038704565016,0.13149171878623633,0.7017804464078254,0.7017804464078254,0,0,0,0,0,0,0.7017804464078254,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 4+15.00,4.325860930471265,0.15452255507906898,0.4825367352111556,0.4825367352111556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4825367352111556,0.2158308317284252,0.7512345257715034,0.7512345257715034,0,0,0,0,0,0,0.7512345257715034,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 5+0.22,5.2160981408834175,0,0.4030024061362436,0.4030024061362436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4030024061362436,0.9714010155709047,3.0963589157478104,3.0963589157478104,0,0,0,0,0,0,3.0963589157478104,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 5+4.00,3.7839018591165825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7542216363625585,5.156744309950651,5.156744309950651,0,0,0,0,0,0,5.156744309950651,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 5+10.00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.514640250700154,15.806585661188137,15.806585661188137,0,0,0,0,0,0,15.806585661188137,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 5+14.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3805843185472924,9.790449138494893,9.790449138494893,0,0,0,0,0,0,9.790449138494893,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27359863294091724,4.962548854464629,4.962548854464629,0,0,0,0,0,0,4.962548854464629,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,40,0.2230939657871005,1.2515095283930493,1.2515095283930493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2515095283930493,8.241768404636488,40.265701852025444,40.265701852025444,0,0,0,0,0,0,40.265701852025444,1.2515095283930493,1.2515095283930493,39.01419232363239,0,0,0,0,0,0,0,0,0,0,0
(1)  NO. 7,20,0.0018257457447674597,0.018257457447674597,0.018257457447674597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018257457447674597,1.1175319667858616,13.911305997267789,13.911305997267789,0,0,0,0,0,0,13.911305997267789,,,,,0.044402863187524295,0.44402863187524294,0,0,0,0,0,0,0,0
(1)  NO. 8,20,0,0.018257457447674597,0.018257457447674597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018257457447674597,0,11.175319667858616,11.175319667858616,0,0,0,0,0,0,11.175319667858616,,,,,0,0.44402863187524294,0,0,0,0,0,0,0,0
(1)  소계,40,0.0018257457447674597,0.03651491489534919,0.03651491489534919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03651491489534919,1.1175319667858616,25.086625665126405,25.086625665126405,0,0,0,0,0,0,25.086625665126405,0.03651491489534919,0.03651491489534919,25.050110750231056,0,0.044402863187524295,0.8880572637504859,0,0,0,0,0,0,0,0
(1)  NO. 9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(1)  NO. 10+2.78,2.777896071088918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,2.777896071088918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(1)  총계,202.77789607108892,0.22970215866971166,1.3358489146668355,1.3358489146668355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3358489146668355,9.510576957180248,66.86509337473083,66.86509337473083,0,0,0,0,0,0,66.86509337473083,1.3358489146668355,1.3358489146668355,65.52924446006399,0,0.08323198786333949,1.2763485105086378,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  NO. 0,0,0.00043457275472746915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7622955670460385,0,0,0,0,0,0,0,0,0,,,,,0.01759919500573819,0,0,0,0,0,0,0,0,0
(2)  NO. 1,20,0.13287105760969098,1.3330563036441845,1.3330563036441845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3330563036441845,0.00871885283930851,17.71014419885347,17.71014419885347,0,0,0,0,0,0,17.71014419885347,,,,,0,0.17599195005738189,0.35883591749323257,3.5883591749323256,0,0,0,0,0,0
(2)  NO. 1+14.43,14.43254198489096,0,0.9588335587643653,0.9588335587643653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9588335587643653,0,0.06291760483170292,0.06291760483170292,0,0,0,0,0,0,0.06291760483170292,,,,,0,0,0,2.589457222453974,0,0,0,0,0,0
(2)  NO. 2,5.56745801510904,0.022929293460375533,0.06382893932837752,0.06382893932837752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06382893932837752,0.021003756508427784,0.058468766260122464,0.058468766260122464,0,0,0,0,0,0,0.058468766260122464,,,,,0,0,0.08219877554282667,0.22881911586402964,0,0,0,0,0,0
(2)  소계,40,0.15623492382479398,2.355718801736927,2.355718801736927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.355718801736927,1.7920181763937748,17.831530569945297,17.831530569945297,0,0,0,0,0,0,17.831530569945297,2.355718801736927,2.355718801736927,15.47581176820837,0,0.01759919500573819,0.17599195005738189,0.44103469303605924,6.40663551325033,0,0,0,0,0,0
(2)  NO. 3,20,0.021439769925180485,0.4436906338555602,0.4436906338555602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4436906338555602,0.030751205730595643,0.5175496223902343,0.5175496223902343,0,0,0,0,0,0,0.5175496223902343,,,,,0,0,0.12209960873274738,2.0429838427557407,0,0,0,0,0,0
(2)  NO. 4,20,0.0017990455246028603,0.23238815449783345,0.23238815449783345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23238815449783345,0.06984250028885342,1.0059370601944906,1.0059370601944906,0,0,0,0,0,0,1.0059370601944906,,,,,0,0,0,1.2209960873274737,0,0,0,0,0,0
(2)  소계,40,0.023238815449783345,0.6760787883533936,0.6760787883533936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6760787883533936,0.10059370601944906,1.5234866825847249,1.5234866825847249,0,0,0,0,0,0,1.5234866825847249,0.6760787883533936,0.6760787883533936,0.8474078942313312,0,0,0,0.12209960873274738,3.2639799300832144,0,0,0,0,0,0
(2)  NO. 4+10.67,10.674139069528735,0,0.009601631061012104,0.009601631061012104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009601631061012104,0.02468852450160952,0.5045186524992349,0.5045186524992349,0,0,0,0,0,0,0.5045186524992349,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 4+15.00,4.325860930471265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05339956178624759,0.05339956178624759,0,0,0,0,0,0,0.05339956178624759,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 5+0.22,5.2160981408834175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 5+4.00,3.7839018591165825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 5+10.00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 5+14.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,40,0,0.009601631061012104,0.009601631061012104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009601631061012104,0.02468852450160952,0.5579182142854825,0.5579182142854825,0,0,0,0,0,0,0.5579182142854825,0.009601631061012104,0.009601631061012104,0.5483165832244704,0,0,0,0,0,0,0,0,0,0,0
(2)  NO. 7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 8,20,1.522589825962541,15.22589825962541,15.22589825962541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.22589825962541,0,0,0,0,0,0,0,0,0,0,,,,,0,0,1.8263744700600832,18.26374470060083,0,0,0,0,0,0
