보-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(1)  NO. 0-0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0,0.61856696711884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+5.27,5.266200819337979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.747500645070573,23.033047532115077,23.033047532115077,0,0,0,0,0,0,23.033047532115077,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1+3.59,18.324032162793063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3097382181751094,110.46861636229619,110.46861636229619,0,0,0,0,0,0,110.46861636229619,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1+7.27,3.678932980193231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.509795446136053,21.741636104069244,21.741636104069244,0,0,0,0,0,0,21.741636104069244,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 2,12.730834037675727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.960584204508848,85.74458387842229,85.74458387842229,0,0,0,0,0,0,85.74458387842229,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,40.61856696711884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.527618513890584,240.9878838769028,240.9878838769028,0,0,0,0,0,0,240.9878838769028,0,0,240.9878838769028,0,0,0,0,0,0,0,0,0,0,0
(1)  NO. 2+19.35,19.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.99365217862311,47.99365217862311,0,0,0,0,0,0,47.99365217862311,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 3,0.6499999999999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 3+5.30,5.298589291323168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,25.298589291323168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.99365217862311,47.99365217862311,0,0,0,0,0,0,47.99365217862311,0,0,47.99365217862311,0,0,0,0,0,0,0,0,0,0,0
(1)  총계,65.917156258442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.527618513890584,288.9815360555259,288.9815360555259,0,0,0,0,0,0,288.9815360555259,0,0,288.9815360555259,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  NO. 0-0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0,0.61856696711884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903041445888281,0.279295804182863,0.279295804182863,0,0,0,0,0,0,0.279295804182863,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+5.27,5.266200819337979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3777988011165094,2.3777988011165094,0,0,0,0,0,0,2.3777988011165094,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1+3.59,18.324032162793063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1+7.27,3.678932980193231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 2,12.730834037675727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,40.61856696711884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903041445888281,2.6570946052993722,2.6570946052993722,0,0,0,0,0,0,2.6570946052993722,0,0,2.6570946052993722,0,0,0,0,0,0,0,0,0,0,0
(2)  NO. 2+19.35,19.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894794933747928,8.657140984011203,8.657140984011203,0,0,0,0,0,0,8.657140984011203,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 3,0.6499999999999986,0.055203237747804224,0.01794105226803633,0.01794105226803633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01794105226803633,1.2439497124814523,0.695092010024547,0.695092010024547,0,0,0,0,0,0,0.695092010024547,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 3+5.30,5.298589291323168,0,0.14624964218844116,0.14624964218844116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14624964218844116,0,3.2955893127493785,3.2955893127493785,0,0,0,0,0,0,3.2955893127493785,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,25.298589291323168,0.055203237747804224,0.1641906944564775,0.1641906944564775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1641906944564775,2.13874464622938,12.647822306785129,12.647822306785129,0,0,0,0,0,0,12.647822306785129,0.1641906944564775,0.1641906944564775,12.48363161232865,0,0,0,0,0,0,0,0,0,0,0
(2)  총계,65.917156258442,0.055203237747804224,0.1641906944564775,0.1641906944564775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1641906944564775,3.041786092117661,15.3049169120845,15.3049169120845,0,0,0,0,0,0,15.3049169120845,0.1641906944564775,0.1641906944564775,15.140726217628023,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),65.917156258442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.527618513890584,288.9815360555259,288.9815360555259,0,0,0,0,0,0,288.9815360555259,0,0,288.9815360555259,0,0,0,0,0,0,0,0,0,0,0
(2),65.917156258442,0.055203237747804224,0.1641906944564775,0.1641906944564775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1641906944564775,3.041786092117661,15.3049169120845,15.3049169120845,0,0,0,0,0,0,15.3049169120845,0.1641906944564775,0.1641906944564775,15.140726217628023,0,0,0,0,0,0,0,0,0,0,0
총계,131.834312516884,0.055203237747804224,0.1641906944564775,0.1641906944564775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1641906944564775,28.569404606008245,304.2864529676104,304.2864529676104,0,0,0,0,0,0,304.2864529676104,0.1641906944564775,0.1641906944564775,304.1222622731539,0,0,0,0,0,0,0,0,0,0,0
