보-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(1)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824996517353521,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+6.21,6.208648380945183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8155189132321574,5.092691736010681,5.092691736010681,0,0,0,0,0,0,5.092691736010681,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+12.00,5.791351619054817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0345822755764758,5.35729325761106,5.35729325761106,0,0,0,0,0,0,5.35729325761106,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+17.77,5.774981733255228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0396013498106527,5.9891862740138855,5.9891862740138855,0,0,0,0,0,0,5.9891862740138855,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1+1.34,3.566808493866869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1054615483635288,3.825514282543177,3.825514282543177,0,0,0,0,0,0,3.825514282543177,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1+5.24,3.894767480056178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1452454026953767,4.382990120060308,4.382990120060308,0,0,0,0,0,0,4.382990120060308,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1+15.52,10.285330622808562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3085670852299387,12.619136362344156,12.619136362344156,0,0,0,0,0,0,12.619136362344156,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 2+8.35,12.82612496761449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.625627988904487,18.8171763501035,18.8171763501035,0,0,0,0,0,0,18.8171763501035,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,48.34801329760133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.899601081166137,56.08398838268677,56.08398838268677,0,0,0,0,0,0,56.08398838268677,0,0,56.08398838268677,0,0,0,0,0,0,0,0,0,0,0
(1)  NO. 2+11.92,3.567151660954316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6708061029910795,5.879440173065851,5.879440173065851,0,0,0,0,0,0,5.879440173065851,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 2+18.87,6.950872483851072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.806780083565567,5.806780083565567,0,0,0,0,0,0,5.806780083565567,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,10.518024144805388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6708061029910795,11.686220256631419,11.686220256631419,0,0,0,0,0,0,11.686220256631419,0,0,11.686220256631419,0,0,0,0,0,0,0,0,0,0,0
(1)  총계,58.866037442406714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.570407184157217,67.77020863931818,67.77020863931818,0,0,0,0,0,0,67.77020863931818,0,0,67.77020863931818,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+6.21,6.208648380945183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.715199803903914,30.1591297665335,30.1591297665335,0,0,0,0,0,0,30.1591297665335,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+12.00,5.791351619054817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.223150950148892,69.31770319849291,69.31770319849291,0,0,0,0,0,0,69.31770319849291,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+17.77,5.774981733255228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3332982743250383,50.69408678607993,50.69408678607993,0,0,0,0,0,0,50.69408678607993,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1+1.34,3.566808493866869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.919364136667454,20.06804593307223,20.06804593307223,0,0,0,0,0,0,20.06804593307223,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1+5.24,3.894767480056178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.729873884609937,22.68553670635258,22.68553670635258,0,0,0,0,0,0,22.68553670635258,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1+15.52,10.285330622808562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.032507566189537,111.91664418057442,111.91664418057442,0,0,0,0,0,0,111.91664418057442,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 2+8.35,12.82612496761449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.968642767421798,134.68168932127887,134.68168932127887,0,0,0,0,0,0,134.68168932127887,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,48.34801329760133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.92203738326657,439.5228358923845,439.5228358923845,0,0,0,0,0,0,439.5228358923845,0,0,439.5228358923845,0,0,0,0,0,0,0,0,0,0,0
(2)  NO. 2+11.92,3.567151660954316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.290554761029895,21.865208412791752,21.865208412791752,0,0,0,0,0,0,21.865208412791752,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 2+18.87,6.950872483851072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.28873072407713,32.28873072407713,0,0,0,0,0,0,32.28873072407713,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,10.518024144805388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.290554761029895,54.153939136868885,54.153939136868885,0,0,0,0,0,0,54.153939136868885,0,0,54.153939136868885,0,0,0,0,0,0,0,0,0,0,0
(2)  총계,58.866037442406714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.21259214429647,493.67677502925335,493.67677502925335,0,0,0,0,0,0,493.67677502925335,0,0,493.67677502925335,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),58.866037442406714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.570407184157217,67.77020863931818,67.77020863931818,0,0,0,0,0,0,67.77020863931818,0,0,67.77020863931818,0,0,0,0,0,0,0,0,0,0,0
(2),58.866037442406714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.21259214429647,493.67677502925335,493.67677502925335,0,0,0,0,0,0,493.67677502925335,0,0,493.67677502925335,0,0,0,0,0,0,0,0,0,0,0
총계,117.73207488481343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.78299932845368,561.4469836685715,561.4469836685715,0,0,0,0,0,0,561.4469836685715,0,0,561.4469836685715,0,0,0,0,0,0,0,0,0,0,0
