보-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(1)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6284223783143865,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+8.15,8.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.560821191631125,2.560821191631125,0,0,0,0,0,0,2.560821191631125,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+8.28,0.129999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+13.20,4.917350241677726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,13.197350241677725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6284223783143865,2.560821191631125,2.560821191631125,0,0,0,0,0,0,2.560821191631125,0,0,2.560821191631125,0,0,0,0,0,0,0,0,0,0,0
(1)  총계,13.197350241677725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6284223783143865,2.560821191631125,2.560821191631125,0,0,0,0,0,0,2.560821191631125,0,0,2.560821191631125,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.197566993284422,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+8.15,8.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.617817890285963,19.62269340054932,19.62269340054932,0,0,0,0,0,0,19.62269340054932,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+8.28,0.129999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34348708283565,0.9074848232528979,0.9074848232528979,0,0,0,0,0,0,0.9074848232528979,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+13.20,4.917350241677726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.866928857689985,49.69084685477554,49.69084685477554,0,0,0,0,0,0,49.69084685477554,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,13.197350241677725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.02580082409602,70.22102507857775,70.22102507857775,0,0,0,0,0,0,70.22102507857775,0,0,70.22102507857775,0,0,0,0,0,0,0,0,0,0,0
(2)  총계,13.197350241677725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.02580082409602,70.22102507857775,70.22102507857775,0,0,0,0,0,0,70.22102507857775,0,0,70.22102507857775,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),13.197350241677725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6284223783143865,2.560821191631125,2.560821191631125,0,0,0,0,0,0,2.560821191631125,0,0,2.560821191631125,0,0,0,0,0,0,0,0,0,0,0
(2),13.197350241677725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.02580082409602,70.22102507857775,70.22102507857775,0,0,0,0,0,0,70.22102507857775,0,0,70.22102507857775,0,0,0,0,0,0,0,0,0,0,0
총계,26.39470048335545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.654223202410407,72.78184627020887,72.78184627020887,0,0,0,0,0,0,72.78184627020887,0,0,72.78184627020887,0,0,0,0,0,0,0,0,0,0,0
