사선형-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+7.41,7.411766664479283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+12.65,5.235446951000406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+13.26,0.6107214656538904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+14.65,1.3935547678960258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.1+18.95,24.294892363478535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.3+9.27,30.31861778749186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
소계,69.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
총계,69.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
