보-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(1)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+13.94,13.941224268803413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.096282020987319,56.43604169903258,56.43604169903258,0,0,0,0,0,0,56.43604169903258,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1,6.05877558977523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.022453942025606,54.88867758514265,54.88867758514265,0,0,0,0,0,0,54.88867758514265,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 2,20,1.4421593042265073,14.421593042265073,14.421593042265073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.421593042265073,1.8995081170525907,119.21962059078197,119.21962059078197,0,0,0,0,0,0,119.21962059078197,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,39.99999985857865,1.4421593042265073,14.421593042265073,14.421593042265073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.421593042265073,20.018244080065514,230.5443398749572,230.5443398749572,0,0,0,0,0,0,230.5443398749572,14.421593042265073,14.421593042265073,216.12274683269212,0,0,0,0,0,0,0,0,0,0,0
(1)  NO. 3,20,2.5054034854464042,39.475627896729115,39.475627896729115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.475627896729115,0,18.995081170525907,18.995081170525907,0,0,0,0,0,0,18.995081170525907,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 3+8.29,8.285551092726436,0.2283791452857571,11.325447831669706,11.325447831669706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.325447831669706,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,28.285551092726436,2.7337826307321613,50.80107572839882,50.80107572839882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.80107572839882,0,18.995081170525907,18.995081170525907,0,0,0,0,0,0,18.995081170525907,18.995081170525907,18.995081170525907,0,31.805994557872914,0,0,0,0,0,0,0,0,0,0
(1)  총계,68.28555095130508,4.175941934958669,65.22266877066389,65.22266877066389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.22266877066389,20.018244080065514,249.5394210454831,249.5394210454831,0,0,0,0,0,0,249.5394210454831,33.41667421279098,33.41667421279098,216.12274683269212,31.805994557872914,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5327107780697169,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+13.94,13.941224268803413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.066618982337786,59.94259237561826,59.94259237561826,0,0,0,0,0,0,59.94259237561826,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1,6.05877558977523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.708436286314395,44.75937209964487,44.75937209964487,0,0,0,0,0,0,44.75937209964487,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 2,20,1.879829506187832,18.79829506187832,18.79829506187832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.79829506187832,0.18936918122847146,68.97805467542867,68.97805467542867,0,0,0,0,0,0,68.97805467542867,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,39.99999985857865,1.879829506187832,18.79829506187832,18.79829506187832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.79829506187832,15.49713522795037,173.6800191506918,173.6800191506918,0,0,0,0,0,0,173.6800191506918,18.79829506187832,18.79829506187832,154.88172408881348,0,0,0,0,0,0,0,0,0,0,0
(2)  NO. 3,20,0.6813065382950754,25.611360444829074,25.611360444829074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.611360444829074,1.3463534691798316,15.35722650408303,15.35722650408303,0,0,0,0,0,0,15.35722650408303,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 3+8.29,8.285551092726436,0.24380593543562412,3.832533333807127,3.832533333807127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.832533333807127,0,5.577640228879491,5.577640228879491,0,0,0,0,0,0,5.577640228879491,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,28.285551092726436,0.9251124737306995,29.443893778636202,29.443893778636202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.443893778636202,1.3463534691798316,20.934866732962522,20.934866732962522,0,0,0,0,0,0,20.934866732962522,20.934866732962522,20.934866732962522,0,8.50902704567368,0,0,0,0,0,0,0,0,0,0
(2)  총계,68.28555095130508,2.8049419799185316,48.24218884051452,48.24218884051452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.24218884051452,16.8434886971302,194.61488588365432,194.61488588365432,0,0,0,0,0,0,194.61488588365432,39.73316179484084,39.73316179484084,154.88172408881348,8.50902704567368,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),68.28555095130508,4.175941934958669,65.22266877066389,65.22266877066389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.22266877066389,20.018244080065514,249.5394210454831,249.5394210454831,0,0,0,0,0,0,249.5394210454831,33.41667421279098,33.41667421279098,216.12274683269212,31.805994557872914,0,0,0,0,0,0,0,0,0,0
(2),68.28555095130508,2.8049419799185316,48.24218884051452,48.24218884051452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.24218884051452,16.8434886971302,194.61488588365432,194.61488588365432,0,0,0,0,0,0,194.61488588365432,39.73316179484084,39.73316179484084,154.88172408881348,8.50902704567368,0,0,0,0,0,0,0,0,0,0
총계,136.57110190261017,6.9808839148772,113.46485761117842,113.46485761117842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.46485761117842,36.86173277719571,444.1543069291374,444.1543069291374,0,0,0,0,0,0,444.1543069291374,73.14983600763182,73.14983600763182,371.0044709215056,40.3150216035466,0,0,0,0,0,0,0,0,0,0
