보-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(1)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+1.00,1,0.13262069962778256,0.06631034981389128,0.06631034981389128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06631034981389128,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+2.40,1.4,0.33596804412903936,0.3280121206297753,0.3280121206297753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3280121206297753,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+3.00,0.6000000000000001,0.34051793092017135,0.20294579251476325,0.20294579251476325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20294579251476325,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+7.00,4,0,0.6810358618403427,0.6810358618403427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6810358618403427,0.9324645816376034,1.8649291632752067,1.8649291632752067,0,0,0,0,0,0,1.8649291632752067,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+14.80,7.800000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.891331849735053,11.012806082353361,11.012806082353361,0,0,0,0,0,0,11.012806082353361,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+18.14,3.341459956631539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055143101706782716,3.2520340534146066,3.2520340534146066,0,0,0,0,0,0,3.2520340534146066,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1+0.83,2.6902430694496324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116070035219213,0.23030247750694546,0.23030247750694546,0,0,0,0,0,0,0.23030247750694546,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1+3.51,2.6811767464591227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9960190969879896,1.4908537606319283,1.4908537606319283,0,0,0,0,0,0,1.4908537606319283,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1+6.50,2.9871202274597053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.994624484901971,4.466705968293024,4.466705968293024,0,0,0,0,0,0,4.466705968293024,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,26.5,0.8091066746769933,1.2783041247987725,1.2783041247987725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2783041247987725,5.985653150188613,22.317631505475074,22.317631505475074,0,0,0,0,0,0,22.317631505475074,1.2783041247987725,1.2783041247987725,21.0393273806763,0,0,0,0,0,0,0,0,0,0,0
(1)  총계,26.5,0.8091066746769933,1.2783041247987725,1.2783041247987725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2783041247987725,5.985653150188613,22.317631505475074,22.317631505475074,0,0,0,0,0,0,22.317631505475074,1.2783041247987725,1.2783041247987725,21.0393273806763,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  NO. 0,0,0.031774392405896634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009351544152259805,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+1.00,1,0.036926723237716175,0.034350557821806404,0.034350557821806404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034350557821806404,0.03569333830387578,0.02252244122806779,0.02252244122806779,0,0,0,0,0,0,0.02252244122806779,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+2.40,1.4,0.3054097670461857,0.23963554319873132,0.23963554319873132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23963554319873132,0,0.024985336812713043,0.024985336812713043,0,0,0,0,0,0,0.024985336812713043,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+3.00,0.6000000000000001,0.5068363368511086,0.24367383116918834,0.24367383116918834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24367383116918834,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+7.00,4,0,1.0136726737022173,1.0136726737022173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0136726737022173,2.5980463678623806,5.196092735724761,5.196092735724761,0,0,0,0,0,0,5.196092735724761,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+14.80,7.800000000000001,0.001336660801484868,0.005212977125790986,0.005212977125790986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005212977125790986,0.4971249601510266,12.07116817925229,12.07116817925229,0,0,0,0,0,0,12.07116817925229,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+18.14,3.341459956631539,0,0.0022331992718803524,0.0022331992718803524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022331992718803524,0.8075394733481005,2.1797419806893523,2.1797419806893523,0,0,0,0,0,0,2.1797419806893523,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1+0.83,2.6902430694496324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8353834899217532,3.5550525925130048,3.5550525925130048,0,0,0,0,0,0,3.5550525925130048,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1+3.51,2.6811767464591227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65969350076719,11.388401443407568,11.388401443407568,0,0,0,0,0,0,11.388401443407568,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1+6.50,2.9871202274597053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.946652582411804,9.946652582411804,0,0,0,0,0,0,9.946652582411804,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,26.5,0.882283880342392,1.5387787822896144,1.5387787822896144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5387787822896144,12.442832674506587,44.384617292039565,44.384617292039565,0,0,0,0,0,0,44.384617292039565,1.5387787822896144,1.5387787822896144,42.84583850974995,0,0,0,0,0,0,0,0,0,0,0
(2)  총계,26.5,0.882283880342392,1.5387787822896144,1.5387787822896144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5387787822896144,12.442832674506587,44.384617292039565,44.384617292039565,0,0,0,0,0,0,44.384617292039565,1.5387787822896144,1.5387787822896144,42.84583850974995,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),26.5,0.8091066746769933,1.2783041247987725,1.2783041247987725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2783041247987725,5.985653150188613,22.317631505475074,22.317631505475074,0,0,0,0,0,0,22.317631505475074,1.2783041247987725,1.2783041247987725,21.0393273806763,0,0,0,0,0,0,0,0,0,0,0
(2),26.5,0.882283880342392,1.5387787822896144,1.5387787822896144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5387787822896144,12.442832674506587,44.384617292039565,44.384617292039565,0,0,0,0,0,0,44.384617292039565,1.5387787822896144,1.5387787822896144,42.84583850974995,0,0,0,0,0,0,0,0,0,0,0
총계,53,1.6913905550193853,2.8170829070883867,2.8170829070883867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8170829070883867,18.4284858246952,66.70224879751464,66.70224879751464,0,0,0,0,0,0,66.70224879751464,2.8170829070883867,2.8170829070883867,63.88516589042625,0,0,0,0,0,0,0,0,0,0,0
