중로3진1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(1)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+7.43,7.43112505109683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+15.64,8.208069068868637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1+2.08,6.441155873059309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0845524362271028,3.4928856471224923,3.4928856471224923,0,0,0,0,0,0,3.4928856471224923,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 2+6.38,24.2971572708897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7896002573763212,34.916870008516824,34.916870008516824,0,0,0,0,0,0,34.916870008516824,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,46.377507263914474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.874152693603424,38.409755655639316,38.409755655639316,0,0,0,0,0,0,38.409755655639316,0,0,38.409755655639316,0,0,0,0,0,0,0,0,0,0,0
(1)  NO. 3+16.70,30.319087013217818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.137981761997338,44.38080699186095,44.38080699186095,0,0,0,0,0,0,44.38080699186095,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 4+0.70,4.003405722867711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13299423612495787,2.5441162922551506,2.5441162922551506,0,0,0,0,0,0,2.5441162922551506,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,34.32249273608553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.270975998122296,46.924923284116105,46.924923284116105,0,0,0,0,0,0,46.924923284116105,0,0,46.924923284116105,0,0,0,0,0,0,0,0,0,0,0
(1)  총계,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14512869172572,85.33467893975542,85.33467893975542,0,0,0,0,0,0,85.33467893975542,0,0,85.33467893975542,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20676895071279944,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+7.43,7.43112505109683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5054445022224954,2.646273615917821,2.646273615917821,0,0,0,0,0,0,2.646273615917821,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+15.64,8.208069068868637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9274056106577788,5.880466345928757,5.880466345928757,0,0,0,0,0,0,5.880466345928757,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1+2.08,6.441155873059309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.986782047898253,2.986782047898253,0,0,0,0,0,0,2.986782047898253,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 2+6.38,24.2971572708897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,46.377507263914474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6396190635930736,11.513522009744833,11.513522009744833,0,0,0,0,0,0,11.513522009744833,0,0,11.513522009744833,0,0,0,0,0,0,0,0,0,0,0
(2)  NO. 3+16.70,30.319087013217818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 4+0.70,4.003405722867711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,34.32249273608553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(2)  총계,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6396190635930736,11.513522009744833,11.513522009744833,0,0,0,0,0,0,11.513522009744833,0,0,11.513522009744833,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14512869172572,85.33467893975542,85.33467893975542,0,0,0,0,0,0,85.33467893975542,0,0,85.33467893975542,0,0,0,0,0,0,0,0,0,0,0
(2),80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6396190635930736,11.513522009744833,11.513522009744833,0,0,0,0,0,0,11.513522009744833,0,0,11.513522009744833,0,0,0,0,0,0,0,0,0,0,0
총계,161.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.784747755318794,96.84820094950025,96.84820094950025,0,0,0,0,0,0,96.84820094950025,0,0,96.84820094950025,0,0,0,0,0,0,0,0,0,0,0
