중로3진1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(1)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19107544057721,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+9.09,9.090844353236232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1899218594417107,19.91348228321009,19.91348228321009,0,0,0,0,0,0,19.91348228321009,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+15.29,6.197723295626222,0.7108298351305606,2.2027633142074112,2.2027633142074112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2027633142074112,0,0.5885415663052697,0.5885415663052697,0,0,0,0,0,0,0.5885415663052697,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1+13.17,17.88399026844818,0.5774129622514508,11.519460825889176,11.519460825889176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.519460825889176,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 2+6.64,13.471357597547197,0.3058162150583712,5.949148044064016,5.949148044064016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.949148044064016,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,46.64391551485783,1.5940590124403826,19.671372184160603,19.671372184160603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.671372184160603,4.380997300018921,20.50202384951536,20.50202384951536,0,0,0,0,0,0,20.50202384951536,19.671372184160603,19.671372184160603,0.8306516653547575,0,0,0,0,0,0,0,0,0,0,0
(1)  NO. 3+0.86,14.214367453766911,0,2.173492027079947,2.173492027079947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.173492027079947,0.24029355762835536,1.7078104624511792,1.7078104624511792,0,0,0,0,0,0,1.7078104624511792,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 3+9.55,8.696272275186438,0.009417528358703464,0.040948695383287485,0.040948695383287485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040948695383287485,0.00036716025041094724,1.0464255643077902,1.0464255643077902,0,0,0,0,0,0,1.0464255643077902,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 4,10.44544475618882,0,0.049185136105339304,0.049185136105339304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049185136105339304,0.09164785225257077,0.48056886491995954,0.48056886491995954,0,0,0,0,0,0,0.48056886491995954,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 4+2.62,2.624735951332454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12027570633486376,0.12027570633486376,0,0,0,0,0,0,0.12027570633486376,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,35.98082043647462,0.009417528358703464,2.2636258585685742,2.2636258585685742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2636258585685742,0.3323085701313371,3.3550805980137928,3.3550805980137928,0,0,0,0,0,0,3.3550805980137928,2.2636258585685742,2.2636258585685742,1.0914547394452185,0,0,0,0,0,0,0,0,0,0,0
(1)  총계,82.62473595133245,1.603476540799086,21.93499804272918,21.93499804272918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.93499804272918,4.713305870150258,23.85710444752915,23.85710444752915,0,0,0,0,0,0,23.85710444752915,21.934998042729177,21.934998042729177,1.922106404799976,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+9.09,9.090844353236232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+15.29,6.197723295626222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1+13.17,17.88399026844818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 2+6.64,13.471357597547197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,46.64391551485783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(2)  NO. 3+0.86,14.214367453766911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 3+9.55,8.696272275186438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 4,10.44544475618882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 4+2.62,2.624735951332454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,35.98082043647462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(2)  총계,82.62473595133245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),82.62473595133245,1.603476540799086,21.93499804272918,21.93499804272918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.93499804272918,4.713305870150258,23.85710444752915,23.85710444752915,0,0,0,0,0,0,23.85710444752915,21.934998042729177,21.934998042729177,1.922106404799976,0,0,0,0,0,0,0,0,0,0,0
(2),82.62473595133245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
총계,165.2494719026649,1.603476540799086,21.93499804272918,21.93499804272918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.93499804272918,4.713305870150258,23.85710444752915,23.85710444752915,0,0,0,0,0,0,23.85710444752915,21.934998042729177,21.934998042729177,1.922106404799976,0,0,0,0,0,0,0,0,0,0,0
