보3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(1)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+2.30,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1+11.80,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 2+5.00,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(1)  NO. 2+15.00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 3+18.00,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 4+5.84,5.8416677403171775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,40.84166774031718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(1)  NO. 4+10.00,4.1583322596828225,0.03723031685058231,0.0774080137989947,0.0774080137989947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774080137989947,4.679134865335641,9.728698728965917,9.728698728965917,0,0,0,0,0,0,9.728698728965917,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 5,10,0,0.18615158425291156,0.18615158425291156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18615158425291156,0,23.395674326678204,23.395674326678204,0,0,0,0,0,0,23.395674326678204,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,54.15833225968282,0.03723031685058231,0.26355959805190626,0.26355959805190626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26355959805190626,4.679134865335641,33.12437305564412,33.12437305564412,0,0,0,0,0,0,33.12437305564412,0.26355959805190626,0.26355959805190626,32.860813457592215,0,0,0,0,0,0,0,0,0,0,0
(1)  NO. 8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 8+9.00,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(1)  총계,169,0.03723031685058231,0.26355959805190626,0.26355959805190626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26355959805190626,4.679134865335641,33.12437305564412,33.12437305564412,0,0,0,0,0,0,33.12437305564412,0.26355959805190626,0.26355959805190626,32.860813457592215,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.145675037963784,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+2.30,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.802108084248999,10.2899505905447,10.2899505905447,0,0,0,0,0,0,10.2899505905447,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1,17.7,0.37393233019545846,3.309301122229807,3.309301122229807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.309301122229807,1.4345375545181014,55.19431390308884,55.19431390308884,0,0,0,0,0,0,55.19431390308884,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1+11.80,11.8,0,2.206200748153205,2.206200748153205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.206200748153205,3.4198877533547147,28.641109316449615,28.641109316449615,0,0,0,0,0,0,28.641109316449615,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 2+5.00,13.2,0.10988993210588305,0.725273551898828,0.725273551898828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725273551898828,0.01040181866454759,22.63991117532713,22.63991117532713,0,0,0,0,0,0,22.63991117532713,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,45,0.4838222623013415,6.240775422281841,6.240775422281841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.240775422281841,13.812610248750147,116.76528498541029,116.76528498541029,0,0,0,0,0,0,116.76528498541029,6.240775422281841,6.240775422281841,110.52450956312845,0,0,0,0,0,0,0,0,0,0,0
(2)  NO. 2+15.00,10,0.048859328289957205,0.7937463019792013,0.7937463019792013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7937463019792013,0.018180685445628342,0.14291252055087966,0.14291252055087966,0,0,0,0,0,0,0.14291252055087966,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 3,5,0.533111920149274,1.454928121098078,1.454928121098078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.454928121098078,0,0.045451713614070854,0.045451713614070854,0,0,0,0,0,0,0.045451713614070854,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 3+18.00,18,6.6831956792984215,64.94676839502927,64.94676839502927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.94676839502927,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 4,2,12.439923522179583,19.123119201478005,19.123119201478005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.123119201478005,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 4+5.84,5.8416677403171775,22.29507817692422,101.45516944275852,101.45516944275852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.45516944275852,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,40.84166774031718,42.00016862684146,187.77373146234305,187.77373146234305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.77373146234305,0.018180685445628342,0.18836423416495052,0.18836423416495052,0,0,0,0,0,0,0.18836423416495052,0.18836423416495052,0.18836423416495052,0,187.5853672281781,0,0,0,0,0,0,0,0,0,0
(2)  NO. 4+10.00,4.1583322596828225,0,46.35517140762724,46.35517140762724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.35517140762724,13.979627231306495,29.065967447141126,29.065967447141126,0,0,0,0,0,0,29.065967447141126,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 5,10,0.01642919032302359,0.08214595161511795,0.08214595161511795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08214595161511795,20.925011502285543,174.5231936679602,174.5231936679602,0,0,0,0,0,0,174.5231936679602,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 6,20,0.002476730960121243,0.18905921283144833,0.18905921283144833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18905921283144833,9.645564532454046,305.7057603473959,305.7057603473959,0,0,0,0,0,0,305.7057603473959,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 7,20,0.0030200102870665546,0.054967412471877974,0.054967412471877974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054967412471877974,3.625146256395084,132.7071078884913,132.7071078884913,0,0,0,0,0,0,132.7071078884913,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,54.15833225968282,0.021925931570211388,46.68134398454568,46.68134398454568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.68134398454568,48.17534952244117,642.0020293509886,642.0020293509886,0,0,0,0,0,0,642.0020293509886,46.68134398454568,46.68134398454568,595.3206853664428,0,0,0,0,0,0,0,0,0,0,0
(2)  NO. 8,20,0.07257577403155224,0.755957843186188,0.755957843186188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755957843186188,3.435572957850809,70.60719214245893,70.60719214245893,0,0,0,0,0,0,70.60719214245893,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 8+9.00,9,0.17524645430131613,1.1152000274979077,1.1152000274979077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1152000274979077,0.2550536248540993,16.607819622172087,16.607819622172087,0,0,0,0,0,0,16.607819622172087,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,29,0.24782222833286838,1.8711578706840957,1.8711578706840957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8711578706840957,3.6906265827049083,87.21501176463102,87.21501176463102,0,0,0,0,0,0,87.21501176463102,1.8711578706840957,1.8711578706840957,85.34385389394691,0,0,0,0,0,0,0,0,0,0,0
(2)  총계,169,42.753739049045876,242.56700873985466,242.56700873985466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.56700873985466,65.69676703934185,846.1706903351948,846.1706903351948,0,0,0,0,0,0,846.1706903351948,54.981641511676564,54.981641511676564,791.1890488235183,187.5853672281781,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5301303517814588,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(3)  NO. 0+2.30,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.117091949567296,7.644305646551068,7.644305646551068,0,0,0,0,0,0,7.644305646551068,,,,,0,0,0,0,0,0,0,0,0,0
