J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(1)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.82107780776289,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1,19.9999999,0.010690544674901048,0.10690544621448324,0.10690544621448324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10690544621448324,6.569580832663348,793.9065824347294,793.9065824347294,0,0,0,0,0,0,793.9065824347294,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 2,20,0.18669533825533335,1.973858829302344,1.973858829302344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.973858829302344,2.2380107418936745,88.07591574557023,88.07591574557023,0,0,0,0,0,0,88.07591574557023,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,39.9999999,0.1973858829302344,2.0807642755168274,2.0807642755168274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0807642755168274,81.62866938231991,881.9824981802997,881.9824981802997,0,0,0,0,0,0,881.9824981802997,2.0807642755168274,2.0807642755168274,879.9017339047829,0,0,0,0,0,0,0,0,0,0,0
(1)  NO. 2+19.00,19.00000008131895,4.0322423771746685,40.07990846812481,40.07990846812481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.07990846812481,0.3722549390309524,24.79752407491599,24.79752407491599,0,0,0,0,0,0,24.79752407491599,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,19.00000008131895,4.0322423771746685,40.07990846812481,40.07990846812481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.07990846812481,0.3722549390309524,24.79752407491599,24.79752407491599,0,0,0,0,0,0,24.79752407491599,24.79752407491599,24.79752407491599,0,15.282384393208822,0,0,0,0,0,0,0,0,0,0
(1)  총계,58.99999998131895,4.229628260104903,42.16067274364164,42.16067274364164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.16067274364164,82.00092432135087,906.7800222552156,906.7800222552156,0,0,0,0,0,0,906.7800222552156,26.87828835043282,26.87828835043282,879.9017339047829,15.282384393208822,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),58.99999998131895,4.229628260104903,42.16067274364164,42.16067274364164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.16067274364164,82.00092432135087,906.7800222552156,906.7800222552156,0,0,0,0,0,0,906.7800222552156,26.87828835043282,26.87828835043282,879.9017339047829,15.282384393208822,0,0,0,0,0,0,0,0,0,0
총계,58.99999998131895,4.229628260104903,42.16067274364164,42.16067274364164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.16067274364164,82.00092432135087,906.7800222552156,906.7800222552156,0,0,0,0,0,0,906.7800222552156,26.87828835043282,26.87828835043282,879.9017339047829,15.282384393208822,0,0,0,0,0,0,0,0,0,0
