블록 총괄 토적표,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
블록명,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,,비고
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A,
I,32.000000336693674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.749287071556466,79.48803915435482,79.48803915435482,0,0,0,0,0,0,79.48803915435482,0,0,79.48803915435482,0,0,0,0,0,0,0,0,0,0,0,
J,58.99999998131895,4.229628260104903,42.16067274364164,42.16067274364164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.16067274364164,82.00092432135087,906.7800222552156,906.7800222552156,0,0,0,0,0,0,906.7800222552156,26.87828835043282,26.87828835043282,879.9017339047829,15.282384393208822,0,0,0,0,0,0,0,0,0,0,
나-3,36.37073766499601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2982541680335054,26.595139473049052,26.595139473049052,0,0,0,0,0,0,26.595139473049052,0,0,26.595139473049052,0,0,0,0,0,0,0,0,0,0,0,
나-4,24.370745092838074,4.637058001450174,12.827395668004932,12.827395668004932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.827395668004932,7.6600152719125205,15.85825143034875,15.85825143034875,0,0,0,0,0,0,15.85825143034875,3.4473557294663566,3.4473557294663566,12.410895700882394,9.380039938538577,0,0,0,0,0,0,0,0,0,0,
나-5,32.39953450090093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6593270493791765,22.96150038671973,22.96150038671973,0,0,0,0,0,0,22.96150038671973,0,0,22.96150038671973,0,0,0,0,0,0,0,0,0,0,0,
나-6,24.238574581114968,3.5374345348943024,13.795174160512325,13.795174160512325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.795174160512325,10.600398060582897,34.344453424305826,34.344453424305826,0,0,0,0,0,0,34.344453424305826,13.795174160512325,13.795174160512325,20.5492792637935,0,0,0,0,0,0,0,0,0,0,0,
나-7,22,8.257031177877556,18.51542652206194,18.51542652206194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.51542652206194,0,0,0,0,0,0,0,0,0,0,0,0,0,18.51542652206194,0,0,0.5556135655683363,1.1112271311366726,0,0,0,0,0,0,
나-8,20.741395764265278,0.05906447951266358,0.30626993629562344,0.30626993629562344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30626993629562344,0.2011617591918231,1.0430939150083578,1.0430939150083578,0,0,0,0,0,0,1.0430939150083578,0.30626993629562344,0.30626993629562344,0.7368239787127344,0,0,0,0,0,0,0,0,0,0,0,
다-1,58.7094059021846,0.4473738588249212,2.1702853538881657,2.1702853538881657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1702853538881657,1.002520185200164,6.099605816608429,6.099605816608429,0,0,0,0,0,0,6.099605816608429,2.1702853538881657,2.1702853538881657,3.9293204627202636,0,0,0,0,0,0,0,0,0,0,0,
보-1,626.7,58.40558347866049,520.516775271062,520.516775271062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520.516775271062,163.20075631549074,1931.1722206753495,1931.1722206753495,0,0,0,0,0,0,1931.1722206753495,74.61189667514415,74.61189667514415,1856.5603240002054,445.90487859591786,0,0,0,0,0,0,0,0,0,0,
보-10,354.4856285070922,11.563244295841557,158.5369177481314,158.5369177481314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.5369177481314,47.40111024018533,682.8282073369787,682.8282073369787,0,0,0,0,0,0,682.8282073369787,88.5854016257486,88.5854016257486,594.2428057112301,69.9515161223828,0,0,0.7345676146733396,13.254817519653816,0,0,0,0,0,0,
보-11,47.6,0.8829440812183549,1.6775937543148745,1.6775937543148745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6775937543148745,37.82870421253614,259.5033765005581,259.5033765005581,0,0,0,0,0,0,259.5033765005581,1.6775937543148745,1.6775937543148745,257.8257827462432,0,0,0,0,0,0,0,0,0,0,0,
보-12,312.9616471823522,3.456270313876935,61.06483539302075,61.06483539302075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.06483539302075,1.980265727254249,17.309505650357554,17.309505650357554,0,0,0,0,0,0,17.309505650357554,6.480252496480784,6.480252496480784,10.829253153876769,54.58458289653996,0,0,5.265332469181697,97.92633157897936,0,0,0,0,0,0,
보-13,405.55579214217784,2.4448698932011954,40.4582889251617,40.4582889251617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4582889251617,11.844928324057548,88.95885291790282,88.95885291790282,0,0,0,0,0,0,88.95885291790282,6.389316831138105,6.389316831138105,82.56953608676471,34.06897209402359,0.10083118286907768,1.4523404605660197,3.8388933737237863,63.37245372070378,0,0,0,0,0,0,
보-14,260.10131578326866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.7590844950763,732.9394837969062,732.9394837969062,0,0,0,0,0,0,732.9394837969062,0,0,732.9394837969062,0,0,0,0,0,0,0,0,0,0,0,
보-15,131.834312516884,0.055203237747804224,0.1641906944564775,0.1641906944564775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1641906944564775,28.569404606008245,304.2864529676104,304.2864529676104,0,0,0,0,0,0,304.2864529676104,0.1641906944564775,0.1641906944564775,304.1222622731539,0,0,0,0,0,0,0,0,0,0,0,
보-16,117.73207488481343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.78299932845368,561.4469836685715,561.4469836685715,0,0,0,0,0,0,561.4469836685715,0,0,561.4469836685715,0,0,0,0,0,0,0,0,0,0,0,
보-17,122.3,0.044130134062356774,0.46667616770942283,0.46667616770942283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46667616770942283,501.1861148486716,4668.201579631834,4668.201579631834,0,0,0,0,0,0,4668.201579631834,0.46667616770942283,0.46667616770942283,4667.734903464124,0,0,0,0,0,0,0,0,0,0,0,
보-18,26.39470048335545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.654223202410407,72.78184627020887,72.78184627020887,0,0,0,0,0,0,72.78184627020887,0,0,72.78184627020887,0,0,0,0,0,0,0,0,0,0,0,
보-2,342.0973258653098,2.0049153220129616,21.1590594726894,21.1590594726894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1590594726894,119.27185749178982,1351.9845289161276,1351.9845289161276,0,0,0,0,0,0,1351.9845289161276,19.371978796525273,19.371978796525273,1332.6125501196022,1.7870806761641234,0,0,0,0,0,0,0,0,0,0,
보-4,309.2,36.3455123916071,338.71723026914344,338.71723026914344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.71723026914344,99.21646689271418,975.6093169932453,975.6093169932453,0,0,0,0,0,0,975.6093169932453,269.7175606854064,269.7175606854064,705.8917563078389,68.99966958373706,0,0,0,0,0,0,0,0,0,0,
보-5,64.34585299875162,11.951726867535513,47.162665741996676,47.162665741996676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.162665741996676,2.55161414814917,9.841290123660313,9.841290123660313,0,0,0,0,0,0,9.841290123660313,9.841290123660313,9.841290123660313,0,37.32137561833636,0,0,0,0,0,0,0,0,0,0,
보-6,223.10687128334612,21.076371765532095,207.0981226523345,207.0981226523345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.0981226523345,19.132511452757004,70.78205039773516,70.78205039773516,0,0,0,0,0,0,70.78205039773516,25.776641545994515,25.776641545994515,45.00540885174064,181.32148110633995,0,0,0,0,0,0,0,0,0,0,
보-7,113.28307969850086,0.038466938518519456,0.3163453943951704,0.3163453943951704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3163453943951704,71.66585199992784,742.6069885618181,742.6069885618181,0,0,0,0,0,0,742.6069885618181,0.3163453943951704,0.3163453943951704,742.2906431674228,0,0,0,0,0,0,0,0,0,0,0,
보-8,136.57110190261017,6.9808839148772,113.46485761117842,113.46485761117842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.46485761117842,36.86173277719571,444.1543069291374,444.1543069291374,0,0,0,0,0,0,444.1543069291374,73.14983600763182,73.14983600763182,371.0044709215056,40.3150216035466,0,0,0,0,0,0,0,0,0,0,
보-9,53,1.6913905550193853,2.8170829070883867,2.8170829070883867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8170829070883867,18.4284858246952,66.70224879751464,66.70224879751464,0,0,0,0,0,0,66.70224879751464,2.8170829070883867,2.8170829070883867,63.88516589042625,0,0,0,0,0,0,0,0,0,0,0,
보3,507,43.81037520449031,254.62112799628198,254.62112799628198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.62112799628198,79.34306802234337,957.8547941632133,957.8547941632133,0,0,0,0,0,0,957.8547941632133,62.10061203740981,62.10061203740981,895.7541821258037,192.52051595887218,0,0,0,0,0,0,0,0,0,0,
중로3진1-2,161.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.784747755318794,96.84820094950025,96.84820094950025,0,0,0,0,0,0,96.84820094950025,0,0,96.84820094950025,0,0,0,0,0,0,0,0,0,0,0,
중로3진1-3,165.2494719026649,1.603476540799086,21.93499804272918,21.93499804272918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.93499804272918,4.713305870150258,23.85710444752915,23.85710444752915,0,0,0,0,0,0,23.85710444752915,21.934998042729177,21.934998042729177,1.922106404799976,0,0,0,0,0,0,0,0,0,0,0,
보조사면-1,197.43536266219215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
나ㅡ4,13.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
법면-1,627.337,12.35691238322814,192.87321140793836,192.87321140793836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.87321140793836,40.923639322425764,608.1448125993512,608.1448125993512,0,0,0,0,0,0,608.1448125993512,16.549659753010324,16.549659753010324,591.5951528463407,176.323551654928,51.09277855888862,752.2274464648959,12.758926634341114,210.29839961332254,0,0,0,0,0,0,
법면-2,203.282,0.12750753508434443,0.2092398650734099,0.2092398650734099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2092398650734099,8.155911763285717,86.47640190982504,86.47640190982504,0,0,0,0,0,0,86.47640190982504,0.2092398650734099,0.2092398650734099,86.26716204475163,0,16.750985462612167,183.1991847761635,0.3430872300771336,0.563006144556578,0,0,0,0,0,0,
법면-3,129.876,0.01262781939023272,0.09575778221676463,0.09575778221676463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09575778221676463,12.872765810977187,176.86127313493785,176.86127313493785,0,0,0,0,0,0,176.86127313493785,0.09575778221676463,0.09575778221676463,176.76551535272105,0,5.705761367902775,81.57360409061873,0.18810854379346528,1.9146310848434962,0,0,0,0,0,0,
법면-4,168.11003068536692,0.09813719689850942,1.9183079311688398,1.9183079311688398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9183079311688398,0.652557467434967,10.041906799372853,10.041906799372853,0,0,0,0,0,0,10.041906799372853,0.9286144921330732,0.9286144921330732,9.11329230723978,0.9896934390357666,2.0870756300737403,31.230915366517713,0.6708605467519612,13.132661263407975,0,0,0,0,0,0,
사선형-1,31.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
사선형-2,69.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
사선형-3,82.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
