2차무대,,,,,
이동번호,FROM,TO,토 사,풍 화 암,비 고
No.  1,4,224,0.2889515471341463,,
No.  2,5,163,21.086892542548355,,
No.  3,37,208,26.508455991794648,,
No.  4,49,92,0.40549292886234317,,
No.  5,60,18,9.218355739116301,,
No.  6,61,48,4.424396943763892,,
No.  7,61,201,12.687589023863591,,
No.  8,71,112,10.875448514500732,,
No.  9,81,25,16.368716483728072,,
No. 10,83,27,14.170392705972858,,
No. 11,84,201,0.23263472123888326,,
No. 12,95,12,1.0183079311688399,,
No. 13,113,59,2.6246878248814864,,
No. 14,116,117,9.380039938538577,,
No. 15,122,20,4.7767928379481335,,
No. 16,123,20,0.6145843446877617,,
No. 17,123,19,13.124049339426046,,
No. 18,134,126,25.754751065070252,,
No. 19,134,203,13.644143638105326,,
No. 20,134,73,29.829885534278723,,
No. 21,134,42,0.9352542934692654,,
No. 22,139,120,9.33979410497033,,
No. 23,139,121,11.20948515882317,,
No. 24,139,212,32.860813457592215,,
No. 25,139,47,16.541423400997083,,
No. 26,148,208,0.10514737967021404,,
No. 27,149,29,0.7546330868852934,,
No. 28,150,35,7.749436325621275,,
No. 29,152,38,6.814009227134896,,
No. 30,161,27,18.843073834398183,,
No. 31,184,185,1.7870806761641234,,
No. 32,193,124,0.33400103222384714,,
No. 33,193,33,0.3191665792062044,,
No. 34,193,159,0.5483165832244704,,
No. 35,194,45,30.43591347500104,,
No. 36,195,25,6.700998217613973,,
No. 37,196,199,4.0716795884331365,,
No. 38,196,156,25.050110750231056,,
No. 39,198,162,0.16875538103654286,,
No. 40,198,201,2.9319358224796903,,
No. 41,207,40,31.03790042163542,,
No. 42,214,13,25.309294663094803,,
No. 43,214,96,2.8,,
No. 44,214,218,8.066746037623615,,
No. 45,214,146,151.40932652745965,,
No. 46,220,98,3.9000000000000004,,
No. 47,220,216,1.0351487306941056,,
합  계,,,618.0940143523125,0,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
