면벽및 집수정 깨기 수량산출서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T2,,,,,,,D+600,,,,,,,,,,면벽깨기 단위수량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,산출식: 관외부면적-관내부면적,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,( (D+600) x (D+600) - π x D x D / 4 ) x T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,관 경,,,T1,,T2,,B,,깨기수량,,,깨기개소,,,전체수량,,,,,,1,집수정,0.8x0.8x0.8,1,,,0,0,0,,0,
,,,,,,,,,,,,,,,,,D,300,,50,,200,,900,,0.14787,,,0,,,0,,,,,D300,2,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,D,400,,50,,200,,1000,,0.17488,,,0,,,0,,,,,D400,3,0,0,0,,,,,,,,
,,,,,,,,,D,,,,T1,,,H+600,D,450,,50,,200,,1050,,0.1887075,,,0,,,0,,,,,D450,4,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,D,500,,42,,200,,1100,,0.20275,,,0,,,0,,,,,D500,5,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,D,600,,50,,200,,1200,,0.23148,,,,,,0,,,,,D600,6,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,D,700,,58,,200,,1300,,0.26106999999999997,,,0,,,0,,,,,D700,7,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,D,800,,66,,200,,1400,,0.29152,,,0,,,0,,,,,D800,8,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,D,900,,75,,200,,1500,,0.32283,,,0,,,0,,,,,D900,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,D,1000,,82,,200,,1600,,0.355,,,0,,,0,,,,,D1000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,D,1100,,88,,200,,1700,,0.38803000000000004,,,0,,,0,,,,,D1100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,합계,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,집수정깨기 단위수량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,산출식: 관외부면적-관내부면적,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,(B+T)x(H+T)-(BxH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T,,,,,B,,,,T,,,규격,,,,B,,,H,,,T,,,깨기수량,,,깨기개소,,,전체수량,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.6x0.6x0.6,,,,0.6,,,0.6,,,0.2,,,0.296,,,1,,,0.296,,,,,0.6x0.6x0.6,,0.29600000000000015,,,,,,,,,,
,,,,,,,,,,,,,1.0x1.0x1.0,,,,1.0,,,1.0,,,0.2,,,0.728,,,0,,,0,,,,,1.0x1.0x1.0,,,,,,,,,,,,
