공  종,건축물철거,,철근콘크리트깨기,,무근콘크리트깨기,,콘크리트 포장깨기,,"콘크리트
포장 절단",아스팔트 포장깨기,,"아스팔트
포장 절단",상차,철재류,보도블럭 헐기,,,폐목재,,혼합폐기물,스레트,,비 고
,㎥,Ton,㎥,Ton,㎥,Ton,㎥,Ton,m,㎥,Ton,m,,Ton,㎥(헐기),㎥(폐기물),Ton,㎥,Ton,Ton,㎡,Ton,
콘크리트 포장,,,,,,,237.6,546.48,17.4,,,,255,,,,,,,,,,
아스팔트 포장,,,,,,,,,0,54.25,124.78,22,54.25,,,,,,,,,,
L형측구,,,,,1.485,3.42,,,,,,,1.485,,,0,0,,,,,,
흄관,,,,,1.02,2.35,,,,,,,1.02,,,,,,,,,,
집수정,,,,,0.296,0.68,,,,,,,0.296,,,,,,,,,,
박스,,,21.599999999999994,49.68,,,,,,,,,21.599999999999994,,,,,,,,,,
호안,,,,,13.77,31.67,,,,,,,13.77,,,,,,,,,,
합  계,0,0,21.599999999999994,49.68,16.570999999999998,38.120000000000005,237.6,546.48,17.4,54.25,124.78,22,347.42099999999994,0,0,0,0,0,0,0,0,0,
공제토,0,0,,,,,237.6,,,108.5,,,,0,0,0,0,0,0,0,0,0,
공제토 합계,0,0,346.1,,,,,,,,,,,,,,,,,,,,
* 단위중량 -  ,무근콘크리트 = 2.30 tonf/㎥,,,,무근콘크리트 = 2.30 tonf/㎥,,,,,,,,,,,,,,,,,,
 -  ,철근콘크리트 = 2.40 tonf/㎥,,,,철근콘크리트 = 2.40 tonf/㎥,,,,,,,,,,,,,,,,,,
    -  ,아 스 팔 트    = 2.30 tonf/㎥,,,,아 스 팔 트    = 2.30 tonf/㎥,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
