흄관및 플륨관 깨기 수량산출서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,흄관 단위수량,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,산출식: 관외부면적-관내부면적,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,( π x (D+T) x (D+T) / 4 - π x D x D / 4 ) x 1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,관 경,,,T,,,D+2T,,,깨기수량,,,깨기연장,,,전체수량,,,,,,1,0,0,0
,,,,,,,,,,,,,,,,,D,300,,50,,,400,,,0.05495000000000001,,,0,,,0,,,,,D300,2,0,0,0
,,,,,,,D,,,,,,,,T,,D,400,,50,,,500,,,0.07064999999999999,,,0,,,0,,,,,D400,3,0,0,0
,,,,,,,,,,,,,,,,,D,450,,50,,,550,,,0.07849999999999999,,,0,,,0,,,,,D450,4,0,0,0
,,,,,,,,,,,,,,,,,D,500,,50,,,600,,,0.08635000000000001,,,0,,,0,,,,,D500,5,0,0,0
,,,,,,,,,,,,,,,,,D,600,,50,,,700,,,0.10204999999999997,,,10,,,1.02,,,,,D600,6,0,0,0
,,,,,,,,,,,,,,,,,D,700,,58,,,816,,,0.13804696,,,0,,,0,,,,,D700,7,0,0,0
,,,,,,,,,,,,,,,,,D,800,,66,,,932,,,0.17946984,,,0,,,0,,,,,D800,8,0,0,0
,,,,,,,,,,,,,,,,,D,900,,75,,,1050,,,0.2296125,,,0,,,0,,,,,D900,,,,
,,,,,,,,,,,,,,,,,D,1000,,82,,,1164,,,0.27859336,,,0,,,0,,,,,D1000,,,,
,,,,,,,,,,,,,,,,,D,1100,,88,,,1276,,,0.32826816000000003,,,0,,,0,,,,,D1100,,,,
,,,,,,,,,,,,,,,,,합계,,,,,,,,,,,,,,,1.02,,,,,,,0,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,플륨관 단위수량,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,산출식: 관외부면적-관내부면적,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,(B+2T)x(H+T)-(BxH),,,,,,,,,,,,,,,,,,,,,,,
,T,,,,,B,,,,T,,,,규격,,,B,,,H,,,T,,,깨기수량,,,깨기연장,,,전체수량,,,,,,,,,
,,,,,,,,,,,,,,300C,,,0.3,,,0.3,,,0.07,,,0.073,,,0,,,0,,,,,300C,,,,
,,,,,,,,,,,,,,500C,,,0.5,,,0.5,,,0.086,,,0.144,,,0,,,0,,,,,500C,,,,
,,,,,,,,,,,,,,600C,,,0.6,,,0.6,,,0.09,,,0.178,,,0,,,0,,,,,600C,,,,
,,,,,,,,,,,,,,800B,,,0.8,,,0.7,,,0.1,,,0.24,,,0,,,0,,,,,800B,,,,
,,,,,,H,,,,,,,,800C,,,0.8,,,0.8,,,0.1,,,0.26,,,0,,,0,,,,,800C,,,,
,,,,,,,,,,,,,,1000A,,,1,,,0.8,,,0.1,,,0.28,,,0,,,0,,,,,1000A,,,,
,,,,,,,,,,,,,,1000C,,,1,,,1,,,0.12,,,0.389,,,0,,,0,,,,,1000C,,,,
,,,,,,T,,,,,,,,1500A,,,1.5,,,1,,,0.15,,,0.57,,,0,,,0,,,,,1500A,,,,
,,,,,,,,,,,,,,1500C,,,1.5,,,1.5,,,0.15,,,0.72,,,0,,,0,,,,,,,,,
,,,,,,,,,,,,,,합계,,,,,,,,,,,,,,,,,,0,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
