규  모,,,기 능,연장,설치간격,수평 규준틀,비   고
등급,류별,번호,,,,,
,,,,(m),100M,(EA),
중로,1,1,집산도로,72.44,100,2,
중로,1,2,집산도로,45.33,100,2,
중로,2,1,국지도로,669.77,100,8,
중로,3,1,국지도로,37.91,100,2,
중로,3,2,특수도로,20.88,100,2,
소로,1,1,국지도로,134.84,100,3,
소로,1,2,국지도로,4.8,100,2,
소로,1,3,국지도로,6.05,100,2,
소로,1,4,국지도로,5.88,100,2,
소로,1,5,국지도로,5.81,100,2,
소로,1,6,국지도로,6.84,100,2,
소로,2,1,국지도로,8.87,100,2,
소로,3,1,국지도로,2.98,100,2,
소로,3,4,국지도로,5.51,100,2,
소로,3,7,국지도로,287.7,100,4,
소로,3,8,국지도로,399.5,100,5,
합계,,,,1715.11,,44,
,,,,,,,
