,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■ 오산 내삼미2구역 지구단위계획 사업일정(안),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,구  분,,,2021년,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022년,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023년,,,,,,,,,,,,,,,,,,,,,구분,,행정절차,,,,,,,"제출
예정일",,"소요
기간
(일)",,내용,,,,,,,,,,,,,,,,,"처리
기관",,,,,,,
,,,,5월,,,,6월,,,,7월,,,,8월,,,,9월,,,,10월,,,,11월,,,,12월,,,,1월,,,,2월,,,,3월,,,,4월,,,,5월,,,,6월,,,,7월,,,,8월,,,,9월,,,,10월,,,,11월,,,,12월,,,,1월,,,,2월,,,,3월,,,,4월,,,,5월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,주요일정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"지구
단위
계획
구역
지정
및
계획
수립","지구
단위
계획
및
용도
지역
변경",도시계획위원회 입안자문 및 입안통보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"지구
단위
계획
및
용도
지역",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,입안도서 작성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"관련부서협의
(오산시)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,재협의 및 재공람,,,,,,,22년 5월,,15,,"ㆍ필요자료 : 심의의견 반영 도서
ㆍ협조자료 : 분야별(교통, 환경, 재해 등) 영향성검토서 또는 영향평가서, 건축계획",,,,,,,,,,,,,,,,,오산시 도시정책과,,,,,,,
,,,주민공람ㆍ공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"시의회의견 청취 및
도시계획위원회 자문",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,시의회의견청취,,,,,,,21년 12월,,15,,ㆍ필요자료 : 의회의견청취 안건 및 PPT,,,,,,,,,,,,,,,,,오산시 도시정책과,,,,,,,
,,,산지 및 농지협의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,농지협의,,,,,,,22년 1월,,30,,"ㆍ필요자료 : 농지전용협의 도서
ㆍ협조자료 : 피해방지계획서",,,,,,,,,,,,,,,,,경기도 농업정책과,,,,,,,
,,,"용도지역 변경 신청
(경기도)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,용도지역변경 신청도서 작성 및 협의,,,,,,,22년 1월,,20,,"ㆍ필요자료 : 도시관리계획 결정 신청서 1식
ㆍ협조자료 : 건축계획 및 교통,환경,재해 등 영향성검토서 또는 영향평가서",,,,,,,,,,,,,,,,,경기도 도시정책과,,,,,,,
,,,"관련부서협의
(경기도)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,경기도 관련부서 협의,,,,,,,22년 1월,,30,,ㆍ필요자료 : 도시관리계획 결정 신청 도서(요약본),,,,,,,,,,,,,,,,,"경기도청 내 부서 및
유관기관",,,,,,,
,,,"경기도 도시계획
위원회 심의",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,경기도 도시계획위원회 심의(용도지역),,,,,,,22년 3월,,20,,"ㆍ필요자료 : 심의안건 및 PPT
ㆍ협조자료 : 드론촬영 영상, 조감도",,,,,,,,,,,,,,,,,경기도 도시정책과,,,,,,,
,,,"오산시 도시건축
공동위원회 심의",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,오산시 공동위원회 심의(지구단위계획),,,,,,,22년 4월,,20,,"ㆍ필요자료 : 심의안건 및 PPT
ㆍ협조자료 : 조감도, 배치도CG, 대지종횡단, 내부교통체계, 입면, 색채, 통경축, 단위세대평면, 토목공사계획",,,,,,,,,,,,,,,,,오산시 도시정책과,,,,,,,
,,,"결정고시 및
지형도면고시",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,결정고시 및 지형도면고시,,,,,,,22년 5월,,10,,"ㆍ필요자료 : 지형도면고시도서, KLIS등재파일",,,,,,,,,,,,,,,,,오산시 도시정책과,,,,,,,
,,"재해
영향
성검
토서",검토서 작성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"영향
평가",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"관련부서 협의
및 심의",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,재해영향성검토서,,,,,,,22년 1월,,45,,"ㆍ필요자료 : 재해영향평가 보고서
ㆍ협조자료 : 도시관리계획 변경 도서, 지반조사보고서, 토목공사계획",,,,,,,,,,,,,,,,,경기도 자연재난과,,,,,,,
,,"전략
환경
영향
평가","평가준비서 작성
 및 제출",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"환경영향평가
협의회 심의",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"전략환경영향평가
(초안)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"전략환경영향평가
(본안)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,전략환경영향평가(본안),,,,,,,22년 1월,,45,,"ㆍ필요자료 : 전략환경영향평가(본안) 보고서
ㆍ협조자료 : 도시관리계획 변경 도서, 건축계획, 토목공사계획",,,,,,,,,,,,,,,,,한강유역환경청,,,,,,,
,,"교통
영향
평가",평가서 작성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,교통영향평가 신청,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,교통영향평가 심의 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,변경신고 및 심의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,교통영향평가(변경신고),,,,,,,22년 5월,,15,,"ㆍ필요자료 : 교통영향평가 변경 신고서
ㆍ협조자료 : 도시관리계획 변경 도서, 건축계획",,,,,,,,,,,,,,,,,오산시 대중교통과,,,,,,,
,,"교육
환경
평가",학교용지협의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"화성오산
교육지원청 검토",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"경기도교육청
검토",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"교육환경보호위원회
심의",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,교육환경평가,,,,,,,22년 2월,,20,,"ㆍ필요자료 : 교육환경평가 보고서
ㆍ협조자료 : 도시관리계획 변경 도서, 건축계획",,,,,,,,,,,,,,,,,경기도 교육청,,,,,,,
,"실시
계획
인가","도로
및
녹지
등","실시계획인가 도서
작성",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"실시
계획
인가",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"주민공람 및
사업인정고시 협의",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,사업인정고시 협의,,,,,,,22년 7월,,30,,ㆍ필요자료 : 중앙토지수용위원회 협의 요청서,,,,,,,,,,,,,,,,,중앙토지수용위원회,,,,,,,
,,,관련부서 협의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,관련부서협의,,,,,,,22년 6월,,45,,ㆍ필요자료 : 실시계획인가 신청 서류,,,,,,,,,,,,,,,,,"오산시청 내 부서
및 유관기관",,,,,,,
,,,소규모환경영향평가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,재해영향평가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,재해영향평가 협의,,,,,,,22년 6월,,75,,ㆍ필요자료 : 재해영향평가 보고서,,,,,,,,,,,,,,,,,오산시 안전정책과,,,,,,,
,,,실시계획인가 고시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,공원,공원조성계획 작성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,주민공람 및 심의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
