,,,,,,,,
1. 업종별 세부면적(내부용),,,,,,,,
,,,,,,,,
,,,,,,,,
,구분,,면적,,,,,
,합계,,1291356,,,100,,
,1공구,소계,290317,,,22.4815620169806,,
,,우주항공기 제조산업,180151,283172,,13.950529520906708,,
,,우주항공기 부품산업,103021,,,7.977738129532058,,
,,복합용지,7145,복합용지 내 산업시설면적,,0.5532943665418366,,
,2공구,소계,1001039,,,77.5184379830194,,
,,우주항공기 연구개발업,1001039,,,77.5184379830194,,
,,,,,,, ,
,,,,,,,,
,구분,,희망면적,배율,최종,계획면적,,
,1공구,소계,247849,,283172,,,
,,우주항공기 제조산업,181762,,180151,180151,,
,,C24,9917,,9382,,,
,,C29,16500,,17645,,,
,,C31,155345,,151624,,,
,,M70,-,,1500,,,
,,우주항공기 부품산업,66087,-,103021,103021,,
,,C25,-,,20152,,,
,,C26,16530,,21953,,,
,,C28,33028,,43034,,,
,,M70,16529,,17882,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,산업코드 면적분배표(검토자료 산출용),,,,,,,
,산업군,업종,면적(㎡),,,,,
,합계,,283172,,,,,
,C24,1차 금속 제조업,9382,,,,,
,C25,금속 가공제품 제조업,20152,,,,,
,C26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",21953,,,,,
,C28,전기장비 제조업,43034,,,,,
,C29,기타 기계 및 장비 제조업,17645,,,,,
,C31,기타 운송장비 제조업,151624,,,,,
,M70,연구개발업,19382,,,,,
,,,,,,,,
