구 분,,,면적(㎡),,,구성비(%),,비고,,,,,,,,,,,,,공원+녹지 면적 비교표(하천제외),,,,,
,,,당 초,증감,1201(안),구성비(%),전체(%),,,,구분,전체,,1공구,,,2공구,,,,전체면적,,현재녹지계획,구성비(%),필요면적 (7.5%),필요면적 (5.5%)
총 합 계,,,1519660,0,1519660,-,100,,,,,면적(㎡),비율(%),면적(㎡),구성비(%),,면적(㎡),구성비(%),,,전체,1519660,115181,7.5793927589065975,113974.5,83581.3
"1
공
구",합 계,,460315,0,460315,100,30.29065712067173,,,,,,,,공구별,전체,,공구별,전체,,1공구,460315,56875,12.355669487198984,34523.625,25317.325
,주택건설용지,,5567,0,5567,1.2093892225975689,0.366331942671387,,,,가처분용지율,1321487,86.95938565205375,320448,69.61493759708026,21.086822052301176,1001039,94.49603292600617,65.87256359975258,,2공구,1059345,58306,5.503967073993836,79450.875,58263.975
,,단독주택,5567,0,5567,1.2093892225975689,0.366331942671387,,,,산업시설율,1284211,85.44674466657017,283172,64.62118332011774,19.57418106681758,1001039,94.49603292600617,65.87256359975258,,,,,,,
,산업시설용지,,281578,1594,283172,61.51700465985249,18.63390495242357,,,,,가처분용지중,97.2,-,-,-,-,-,-,,,,,,,
,,제조시설용지,281578,1594,283172,61.51700465985249,18.63390495242357,,,,녹지율,119376,7.85544134872274,61070,13.267001944320738,4.018662069147045,58306,5.503967073993836,3.8367792795756945,,,,,,,
,복합용지,,12623,1666,14289,3.1041786602652532,0.9402761143940092,,,,도로율,67579,4.446981561665109,67579,14.681033640007385,4.446981561665109,0,0,0,,,,,,,
,지원시설용지,,7388,592,7980,1.7335954726654574,0.5251174604845821,,,,,,,,,,,,,,,,,,,
,,지원시설,4942,592,5534,1.2022202187632383,0.3641604043009621,,,,구분,,초안,,본안,,,,,,,,,,,
,,주유소,2446,0,2446,0.5313752539022191,0.16095705618362002,,,,,,면적,비율,면적,비율,,,,,,,,,,
,공공시설용지,,153159,-3852,149307,32.43583198461923,9.825026650698183,,,,1공구,공원,26945,1.773093981548504,15424,1.0149638734980193,-11521,,,,,,,,,
,,도로,63662,3917,67579,14.681033640007385,4.446981561665109,,,,,녹지,38913,2.560638563889291,41451,2.7276496058328834,2538,,,,,,,,,
,,보행자도로,107,0,107,0.02324495182646666,0.007041048655620337,,,,,하천,8894,0.5852624929260493,11806,0.7768843030677915,2912,,,,,,,,,
,,공원,26945,-11521,15424,3.3507489436581475,1.0149638734980193,"오폐수처리시설
2,010㎡ 포함",,,소계,,74752,4.918995038363844,68681,4.519497782398695,-6071,,,,,,,,,
,,녹지,38913,2538,41451,9.004920543540836,2.7276496058328834,,,,2공구,녹지,39866,2.6233499598594423,58306,3.8367792795756945,18440,,,,,,,,,
,,하천,8894,2912,11806,2.5647654323669657,0.7768843030677915,4195,0.9113324571217536,0.27604858981614305,소계,,39866,2.6233499598594423,58306,3.8367792795756945,18440,,,,,,,,,
,,주차장,9161,279,9440,2.0507695816994884,0.621191582327626,,,,합계,,114618,7.542344998223287,126987,8.356277061974389,12369,,,,,,,,,
,,오폐수처리시설,1977,33,2010,0.4366575062728783,0.13226642801679322,공원중복결정,,,,,105724,6.957082505297237,115181,7.579392758906597,,,,,,,,,,
,,완충저류시설,3500,0,3500,0.7603488915199375,0.23031467565113248,,,,,,,,,,,,,,,,,,,
"2
공
구",합 계,,1059345,0,1059345,100,69.70934287932828,,,,,,,,,,,,,,,,,,,
,산업시설용지,,1019479,-18440,1001039,94.49603292600617,65.87256359975258,,,,구분,,면적(㎡),구성비(%),,,,,,,,,,,,
,,연구용지,1019479,-18440,1001039,94.49603292600617,65.87256359975258,,,,,,,공구별,전체,,,,,,,,,,,
,공공시설용지,,39866,18440,58306,5.503967073993836,3.8367792795756945,,,,1공구,공원,15424,22.45744820255966,12.146125193917488,,,,,,,,,,,
,,녹지,39866,18440,58306,5.503967073993836,3.8367792795756945,,,,,녹지(하천 포함),53257,77.54255179744034,41.93893863151346,,,,,,,,,,,
,,,,,,,,,,,소계,,68681,100,54.08506382543094,,,,,,,,,,,
,,,,,,,,,,,2공구,녹지,58306,100,45.91493617456905,,,,,,,,,,,
,,,,,,,,,,,합계,,126987,100,100,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,녹지율,8.356277061974389,,,,,,,,,,,,,
,,,,,,,,,,,,1공구녹지율,14.92043491956595,,,,,,,,,,,,,
,,,,,,,,,,,,2공구녹지율,5.503967073993836,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
