기업명,희망면적,주요 업종,,,,업종코드,희망면적,,,,,희망면적
한화에어로스페이스㈜,"72,727㎡(22,000평)","항공기, 우주발사체 엔진",C29,,총계,,,,,,,1254125
㈜세일엑스(SEIL-X),"33,058㎡(10,000평)",정밀부품 가공,C31,,1공구,소계,,,,,,247849
㈜파루,"16,500㎡(5,000평)",기타 전기 변환장치 제초,C28,,,C24,9917,,,,,9917
㈜더블유피,"16,528㎡(5,000평)",전동기 및 발전기 제조,C28,,,C25,,,,,,
㈜이노스페이스,"16,500㎡(5,000평)",항공기 및 우주선 제조,C31,,,C26,16530,,,,,16530
㈜우리별,"16,530㎡(5,000평)",유선 통신장비 제조,C26,,,C28,16500,16528,,,,33028
㈜우나스텔라,"16,529㎡(5,000평)",발사체 시스템 부품 개발 및 서비스,M70,,,C29,16500,,,,,16500
㈜비츠로넥스텍,"16,530㎡(5,000평)",항공기용 부품 제조,C31,,,C31,16530,16500,33058,16530,72727,155345
중앙이엠씨㈜,"16,500㎡(5,000평)",기어 및 동력전달장치 제조,C29,,,M70,16529,,,,,16529
페리지에어로스페이스㈜,"16,530㎡(5,000평)","항공기, 우주선 제조공학 연구개발",C31,,2공구,M70,1006276,,,,,1006276
동아알루미늄㈜,"9,917㎡(3,000평)",알루미늄 압연,C24,,,,,,,,,
계,"247,849㎡(75,000평)",,,,,,,,,,,
