우수관(D450) 평균 토피고 산출조서,,,,,,,,,,,,,,,,
관   로   명,관 경,"연   장
①","토질
구분","시점토피
②","종점토피
③","평균토피고
(②+③)/2=④",새들분기,접속티,"원형1호
맨홀
(m)","면적
①×④",,관경,450,,,
연결관. 301,250,#REF!,토 사,1.2,1.2,1.2,,,2.1,#REF!,,0.3,0.8,1,,2.1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
원형수로관,,0,토사,0.5,0.5,0.5,,,,0,,,,,,
소   계,,#REF!,,,,,0,0,23.1,#REF!,맨홀갯수,맨홀깊이,,,,
맨홀평균깊이 = 23.10 / 11.00 = 2.10 m,,,,,,,,,,,11,23.1,2.1,,,
#REF!,,,,,,,,,,,평균,#REF!,,,,
#REF!,,,,,,,,,,,관연장합계,#REF!,#REF!,,,
,,,,,,,,,,,,23.1,,,,
,,,,,,,,,,,,11,,,,
,,,,,,,,,,,,2.1,,,,
