우수공수량산출서,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,범 례,공    종,규       격,단 위,수    량,비고
,,,,,,,,,,,,,1,우수맨홀,원형1호맨홀,EA,4,H=2.25
,,,,,,,,,,,,,2,집수정,"1,000x1,000",EA,4,현장타설
,,,,,,,,,,,,,3,집수정,600x600,EA,36,현장타설
,,,,,,,,,,,,,4,우수받이,400x500,EA,21,스텐레스
,,,,,,,,,,,,,5,우수관,1.2X1.2,m,123,이중벽 PE관 
,,,,,,,,,,,,,6,우수관,D=450mm,m,252,이중벽 PE관 
,,,,,,,,,,,,,7,우수관,D=250mm,m,315,이중벽 PE관 
,,,,,,,,,,,,,8,우수관,D=150mm,m,155,이중벽 PE관 
,,,,,,,,,,,,,9,수로관,1000X800,m,53,현장타설
,,,,,,,,,,,,,10,수로관,400X400,m,179,현장타설
,,,,,,,,,,,,,11,원형수로관,D=300mm,m,744,
,,,,,,,,,,,,,12,맹암거(유공관),D=150mm,m,1058,이중벽 PE관 
,,,,,,,,,,,,,13,맹암거(유공관),D=200mm,m,310,이중벽 PE관 
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
공   종,공종,수량,규격,,공 종,공종,수량,규격,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,집수정,102,,,6,"홈통받이
연결관",575,D150,,,,,,,,,,
2,빗물받이,62,,,7,"빗물받이
연결관",410,D250,,,,,,,,,,
3,홈통받이,98,,,8,우수연결관,965,D300,,,,,,,,,,
4,"단지내
우수관",850,D450,,9,우수관,#REF!,D450,"(우수관+
주관)",,,,,,,,,
5,"단지내
주관",#REF!,D450,,10,우수관,0,D600,,,,,,,,,,
,계,#REF!,m,,11,원형1호맨홀,11,ea,,,,,,,,,,
