 <제10호표> 단가 조사서,,,,예정가,낙찰가,낙찰률,
<기술자 적용 노임단가>,,,,1218302700,1025287000,0.8415699973413833,0.84156
,,,,,,,
구    분,,환경,,발주단가,,,
특급 기술자,,224394,원,266641,,,
고급 기술자,,197119,원,234230,,,
중급 기술자,,165070,원,196148,,,
초급 기술자,,135798,원,161365,,,
,,,,,,,
주) 1. 적용일,: 2018년 01월 01부터,,,,,,
     2. 근거,": 한국엔지니어링협회 공표(정책연구실-313호, '17.12.08) ",,,,,,
,  (http://www.kenca.or.kr),,,,,,
,,,,,,,
<측정대행업의 측정수수료>,,,,,,,
,,,,,,,
분  야,측  정  항  목,단 위,수수료(원),발주단가,,,
가. 대  기,황산화물(SO2),건당,40058,47600,,,
(배출허용기준),암모니아(NH₃),"""",40900,48600,,,
,이황화탄소(CS₂),"""",41826,49700,,,
,황화수소(H₂S),"""",44519,52900,,,
,일산화탄소(현장측정)(CO),"""",20366,24200,,,
,질소산화물,"""",39469,46900,,,
,먼지,"""",147441,175200,,,
,비산먼지,"""",91983,109300,,,
,매연(현장측정),"""",11529,13700,,,
,카드뮴(Cd) 및 납(Pb) 기타 중금속,항목당,74646,88700,,,
,불소산화물(HF),건당,38712,46000,,,
,탄화수소(THC),"""",64716,76900,,,
,염소(Cl),"""",40227,47800,,,
,염화수소(HCl),"""",40058,47600,,,
,시안화수소(HCN),"""",57142,67900,,,
,포름알데히드(HCHO),"""",44519,52900,,,
,브롬(Br),"""",50494,60000,,,
,벤젠(C6H6),"""",62275,74000,,,
,페놀화합물,"""",45108,53600,,,
,비소화합물(AS),"""",254404,302300,,,
,수은화합물(Hg),"""",268205,318700,,,
,염화비닐(VC),"""",61855,73500,,,
,디클로로메탄(CH2CL2),"""",102502,121800,,,
(환경기준),황산화물(SOx)(1일기준),건당,80958,96200,,,
,질소산화물(NOx)(1일기준),"""",71533,85000,,,
,벤젠(C6H6)(1일기준),"""",113947,135400,,,
,미세먼지(PM-10)(1일기준),"""",76161,90500,,,
,미세먼지(PM-2.5)(1일기준),"""",92908,110400,,,
,일산화탄소(CO)(1일기준),"""",40227,47800,,,
,오존(O₃)(1일기준),"""",86512,102800,,,
,납(Pb)(1일기준),"""",82894,98500,,,
,"자동연속측정(PM-10, PM-2.5, NO₂, CO, O₃, SO₂-1일기준)","""",618210,734600,,,
,"자동연속측정(PM-10, NO₂-1일기준)","""",464036,551400,,,
나. 수  질,수소이온농도(현장측정),건당,6480,7700,,,
,온도(현장측정),"""",5302,6300,,,
,용존산소,"""",11193,13300,,,
,색도,"""",11445,13600,,,
,생물화학적산소요구량,"""",32989,39200,,,
,화학적산소요구량(과망간산칼륨법),"""",22133,26300,,,
,화학적산소요구량(중크롬산칼륨법),"""",22638,26900,,,
,부유물질,"""",10772,12800,,,
,시안,"""",35261,41900,,,
,페놀,"""",26677,31700,,,
,불소,"""",25583,30400,,,
