 <제6호표> 소요인력 산출내역(총괄)-운영시,,,,,,,,,,,,,,,,,
항   목,,선사업 소요인력(기준),,,,선사업 소요인력(적용),,,,비  고,,,,,,,
,,특급,고급,중급,초급,특급,고급,중급,초급,,,,,,,,
1. 사업별 추진경위,,0,0,2,1.5,0,0,2,1.5,,,,,,,,
2. 환경영향조사 실시내용 및 조사결과 조치 등,,24,35,45.5,24,24,35,45.5,24,,,,,,,,
 가. 대기환경분야,,0.5,1,3.5,2,0.5,1,3.5,2,,,,,,,,
 나. 수환경분야,,0.5,1.5,2,2.5,0.5,1.5,2,2.5,,,,,,,,
 다. 토지환경분야,,0,0,1,0.5,0,0,1,0.5,,,,,,,,
 라. 자연생태환경분야,,20.5,28.5,34.5,14.5,20.5,28.5,34.5,14.5,,,,,,,,
 마. 생활환경분야,,2,2,3.5,4,2,2,3.5,4,,,,,,,,
 바. 생활환경분야,,0,1,0.5,0.5,0,1,0.5,0.5,,,,,,,,
 사. 사회 · 경제 환경분야,,0.5,1,0.5,0,0.5,1,0.5,0,,,,,특급,고급,중급,초급
"3. 협의내용 관리, 이행 현황",,13,18,25,15.5,13,18,25,15.5,,,,협의내용 관리 이행,13,18,25,15.5
 가. 대기질,,1,3.5,4.5,3,1,3.5,4.5,3,,,,,,,,
 나. 수질,,3,4.5,6,5.5,3,4.5,6,5.5,,,,,,,,
" 다. 지형, 지질",,0,1,1,0,0,1,1,0,,,,운영시(1년분),7.0200000000000005,9.72,13.5,8.370000000000001
 라. 동식물상,,4.5,3,3,0,4.5,3,3,0,,,,운영시(3년분),21.1,29.2,40.5,25.1
" 마. 소음, 진동",,3,3,6.5,3,3,3,6.5,3,,,,금회(8차분),1.8,2.4,3.4,2.1
 바. 토양,,0.5,1,1,1,0.5,1,1,1,,,,,,,,
 사. 친환경적 자원순환,,1,2,3,3,1,2,3,3,,,,,,,,
4. 종합평가 및 결론도출,,1,1,1.5,1,1,1,1.5,1,,,,소음진동,2,2,3.5,4
5. 부록의 작성,,0,0.5,1,1,0,0.5,1,1,,,,,,,,
합   계,,38,54.5,75,43,38,54.5,75,43,,,,운영시(1년분),1.08,1.08,1.8900000000000001,2.16
사업규모에 따른 할증률,,1,,,,1,1,1,1,,,,운영시(3년분),3.2,3.2,5.7,6.5
조정율,,1,,,,0.54,0.54,0.54,0.54,,,,금회(8차분),0.3,0.3,0.5,0.5
적   용,운영시(1년분),38,54.5,75,43,20.520000000000003,29.430000000000003,40.5,23.220000000000002,,,,,,,,
,운영시(3년분),114,163.5,225,129,61.6,88.3,121.5,69.7,,,,,,,,
,금회(9차분),,,,,18.810000000000002,26.977500000000003,37.125,21.285000000000004,11개월 적용,,,,,,,
비고: 환경영향평가 대행비용 산정기준(환경부고시 제2018-23호) 적용,,,,,,,,,,,,,,,,,
,,,,,,20.5,28.5,34.5,14.5,,,,,,,,
생태계(조사),운영시(1년분),,,,,11.07,15.39,18.630000000000003,7.83,,12,개월,,,,,
,운영시(3년분),,,,,33.2,46.2,55.9,23.5,,,,,,,,
,금회(8차분),,,,,2.8,3.8,4.7,2,,3,개월,,,,,
