" [별첨 1] 규모별 할증률 산정(환경영향평가 대행비용 산정기준, 환경부고시 제2018-23호)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1. 규모별 할증률,,,,,,,,,,,,,,
구 분,특급기술자,,고급기술자,,중급기술자,,초급기술자,,,,,,,
,면사업,선사업,면사업,선사업,면사업,선사업,면사업,선사업,,,,,,
1배,1,1,1,1,1,1,1,1,,,,,,
2배,1,1,1,1,1,1,1,1,,,,,,
3배,1,1,1,1,1,1,1,1,,,,,,
5배,1,1,1,1,1,1,1,1,,,,,,
7배,1,1,1,1,1,1,1,1,,,,,,
10배,1,1,1,1,1,1,1,1,,,,,,
비고) 사후환경조사용역에는 할증을 적용하지 않는다.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2. 할증율 산정식,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3. 할증률 산정,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
  1) 사업의 종류,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,면사업,선사업,,,,,,,,,,,,
,,○,,,,,,,,,,,,
,,,,,,,,,,,,,,
  2) 사업의 규모 산정,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,사업의 유형,,,=,신설,확장,계,,,,,,,
,대상사업 규모(km),,,=,,13.4,13.4,,,,,,,
,환경영향평가 기준규모(km),,,=,4,10,,,,,,,,
,당해사업 규모비(사업규모/기준규모),,,=,,1.34,,,,,,,,
,,,,,,,,,,,,,,
  3) 할증율 산정,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
x,=,1.34,,,,,,,,,,,,
x1,=,1,,,,,,,,,,,,
x2,=,2,,,,,,,,,,,,
,,특급기술자,고급기술자,중급기술자,초급기술자,,,,,,,,,
y1,=,1,1,1,1,작은규모,,,,,,,,
y2,=,1,1,1,1,큰규모,,,,,,,,
y,=,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
