 [제3호표>  공사시 측정분석비 조사단가 산출내역(공사시),,,,,,,,,,,,,,,,,,,
구                  분,,조사지점,,조 사 회 수,,,조 사 수 량,,조 사 단 가,금        액,,비        고,4차분 기간,1,,99791288,,109500000,-9708712
,,전체,금회(9차),기준(1년분),전체,금회(9차),전체,금회(9차),,전체,금회(9차),,,,,,,,
가.,대 기 질,,,,,,,,,105453516,4873902,,,213691452,,,,,
1),미세먼지(PM-10),11,11,4,7.49,0.25,714,33,76161,54378954,2513313,분기 1회(3일연속),,,,,,,
2),이산화질소(NO2),11,11,4,7.49,0.25,714,33,71533,51074562,2360589,분기 1회(3일연속),,,,,,,
나.,지표수질,,,,,,,,,39908132,864026,,,3402753,,,,,
  ▶ 하천수질(일반),,,,,,,,,,18747192,735184,분기 1회,,,,,,,
1),수소이온농도(pH),8,8,4,7.49,0.25,204,8,6480,1321920,51840,,,,7,2555,2737,7.498630136986302,2678
2),용존산소(DO),8,8,4,7.49,0.25,204,8,11193,2283372,89544,,,,3,1095,,,7.336986301369863
3),생물화학적산소요구량(BOD),8,8,4,7.49,0.25,204,8,32989,6729756,263912,,,,,,,,
4),부유물질량(SS),8,8,4,7.49,0.25,204,8,10772,2197488,86176,,,,32,,,,
5),유량,8,8,4,7.49,0.25,204,8,30464,6214656,243712,,,,,,,,
  ▶ 하천수질(교량공사시),,,,,,,,,,11027760,0,월 1회(교량공사시),,2025,10,31,,,
1),수소이온농도(pH),10,0,12,1,0,120,0,6480,777600,0,,,2025,11,30,,,
2),용존산소(DO),10,0,12,1,0,120,0,11193,1343160,0,,,2025,12,31,,,
3),생물화학적산소요구량(BOD),10,0,12,1,0,120,0,32989,3958680,0,,,2026,1,31,,,
4),유량,10,0,12,1,0,120,0,30464,3655680,0,,,2026,2,28,,,
5),부유물질량(SS),10,0,12,1,0,120,0,10772,1292640,0,,,2026,3,31,,,
  ▶ 처리시설 방류수(터널공사시),,,,,,,,,,4701936,0,분기 1회(2년간),,,,182,123,,
1),수소이온농도(pH),6,0,4,2,0,48,0,6480,311040,0,,,,,,,,
2),화학적산소요구량(COD),6,0,4,2,0,48,0,22133,1062384,0,,,,,,,,
3),부유물질량(SS),6,0,4,2,0,48,0,10772,517056,0,,,,,,,,
4),생물화학적산소요구량(BOD),6,0,4,2,0,48,0,32989,1583472,0,,,,,,,,
5),총질소(T-N),6,0,4,2,0,48,0,12455,597840,0,,,,,,,,
6),총인(T-P),6,0,4,2,0,48,0,13128,630144,0,,,,,,,,
  ▶ 처리시설 방류수(오수처리시설),,,,,,,,,,2951340,98378,분기 1회,,,,,,,
1),생물화학적산소요구량(BOD),1,1,4,7.33,0.25,30,1,32989,989670,32989,,,,,29.32,,,
2),부유물질량(SS),1,1,4,7.33,0.25,30,1,22133,663990,22133,,,,,,,,
3),수소이온농도(pH),1,1,4,7.33,0.25,30,1,6480,194400,6480,,,,,,,,
4),용존산소(DO),1,1,4,7.33,0.25,30,1,11193,335790,11193,,,,,,,,
5),총질소(T-N),1,1,4,7.33,0.25,30,1,12455,373650,12455,,,,,,,,
6),총인(T-P),1,1,4,7.33,0.25,30,1,13128,393840,13128,,,,,,,,
  ▶ 비점오염저감시설 하천수질,,,,,,,,,,1809696,0,월1회(침사지 설치기간),,,,,,,
