 <제7호표> 항목별 소요인력 세부 산출내역(운영시),,,,,,,,,,,,,,,,
<항목별 소요인력 세부 산정 기준 및 적용>,,,,,,,,,,,,,,,,
세부항목,소요인력 (인) - 기준,,,,,,,,비고,"적용
여부",소요인력(인) - 적용,,,,,
,면사업,,,,선사업,,,,,,특급,고급,중급,초급,,
,특급,고급,중급,초급,특급,고급,중급,초급,,,,,,,,
1. 사업의 추진경위,,,,,,,,,,,,,,,,
계,0,0,0,0,0,0,2,1.5,,,0,0,2,1.5,,
" ○  사업목적 및 배경, 추진경위 파악 ",,,,,0,-,0.5,0.5,,0,0,-,0.5,0.5,,
 ○ 환경영향평가 실시근거,,,,,0,0,0.5,0,,0,0,0,0.5,0,,
" ○ 사업의 특성, 개요, 세부내용",,,,,0,-,1,1,,0,0,-,1,1,,
2. 환경영향조사 실시내용 및 조사결과 조치 등,,,,,,,,,,,,,,,,
계,0,0,0,0,24,35,45.5,24,,,24,35,45.5,24,,
 ○ 대기질,0,0,0,0,0.5,1,3.5,2,,0,0.5,1,3.5,2,,
  - 현장조사,,,,,0,0.5,2,1,,0,0,0.5,2,1,,
  - 결과분석 및 조치,,,,,0.5,0.5,1.5,1,,0,0.5,0.5,1.5,1,,
 ○ 수질 ,0,0,0,0,0.5,1.5,2,2.5,,0,0.5,1.5,2,2.5,,
  - 현장조사,,,,,0,1,1,1,,0,0,1,1,1,,
  - 결과분석 및 조치,,,,,0.5,0.5,1,1.5,,0,0.5,0.5,1,1.5,,
" ○ 지형,지질",0,0,0,0,0,0,1,0.5,,0,0,0,1,0.5,,
  - 현장조사,,,,,0,0,0.5,0.5,,0,0,0,0.5,0.5,,
  - 결과분석 및 조치,,,,,0,0,0.5,0,,0,0,0,0.5,0,,
 ○ 동식물상,0,0,0,0,20.5,28.5,34.5,14.5,,0,20.5,28.5,34.5,14.5,,
  - 현장조사,,,,,18.5,26.5,32.5,13,,0,18.5,26.5,32.5,13,,
  - 결과분석 및 조치,,,,,2,2,2,1.5,,0,2,2,2,1.5,,
" ○ 소음,진동",0,0,0,0,2,2,3.5,4,,0,2,2,3.5,4,,
  - 현장조사,,,,,1,1,2,2,,0,1,1,2,2,,
  - 결과분석 및 조치,,,,,1,1,1.5,2,,0,1,1,1.5,2,,
 ○ 토양,0,0,0,0,0,1,0.5,0.5,,0,0,1,0.5,0.5,,
  - 현장조사,,,,,0,0.5,0.5,0.5,,0,0,0.5,0.5,0.5,,
  - 결과분석 및 조치,,,,,0,0.5,0,0,,0,0,0.5,0,0,,
 ○ 친환경적 자원순환,0,0,0,0,0.5,1,0.5,0,,0,0.5,1,0.5,0,,
  - 현장조사,,,,,0,0.5,0.5,0,,0,0,0.5,0.5,0,,
  - 결과분석 및 조치,,,,,0.5,0.5,0,0,,0,0.5,0.5,0,0,,
"3. 협의내용 관리, 이행 현황",,,,,,,,,,,,,,,,
계,0,0,0,0,13,18,25,15.5,,,13,18,25,15.5,,
 ○ 대기질,,,,,1,3.5,4.5,3,,0,1,3.5,4.5,3,,
 ○ 수질 ,,,,,3,4.5,6,5.5,,0,3,4.5,6,5.5,,
" ○ 지형, 지질",,,,,0,1,1,0,,0,0,1,1,0,,
 ○ 동식물상,,,,,4.5,3,3,0,,0,4.5,3,3,0,,
" ○ 소음, 진동",,,,,3,3,6.5,3,,0,3,3,6.5,3,,
 ○ 토양,,,,,0.5,1,1,1,,0,0.5,1,1,1,,
 ○ 친환경적 자원순환,,,,,1,2,3,3,,0,1,2,3,3,,
4. 종합평가 및 결론 도출,,,,,,,,,,,,,,,,
계,-,0,0,0,1,1,1.5,1,,,1,1,1.5,1,,
 ○ 종합평가 및 결론 도출,-,0,0,0,1,1,1.5,1,,0,1,1,1.5,1,,
5. 부록 작성,,,,,,,,,,0,0,0,0,0,,
계,0,0,0,0,0,0.5,1,1,,,0,0.5,1,1,,
○ 부록의 작성,0,0,0,0,0,0.5,1,1,,0,0,0.5,1,1,,
,,,,,,,,,,,,,,,,
<할증율 적용 전 소요인력 합계>,,,,,,,,,,,,,,,,
등급,특급 기술자,,,고급 기술자,,,중급 기술자,,,초급 기술자,,,,,,
소요인력 합계(인),38,,,54.5,,,75,,,43,,,,,,
,,,,,,,,,,,,,,,,
<할증율 적용 후 소요인력 합계>   ,,,,,,,,,,,,,,,,
,,,,,,,,(  [별첨 1] 규모별 할증율 참조),,,,,,,,
등급,특급 기술자,,,고급 기술자,,,중급 기술자,,,초급 기술자,,,,,,
할증율,1,,,1,,,1,,,1,,,,,,
조정율,0.54,,,0.54,,,0.54,,,0.54,,,,,,
소요인력(인),20.520000000000003,,,29.430000000000003,,,40.5,,,23.220000000000002,,,,,,
