,,,,,,,,,,,,,,
,구분,,,면적(㎡),구성비(%),,,비고,,구분,,면적(㎡),구성비,
,,,,,공구별,전체,,,,,,,(%),
,총합계,,,1521876,-,100,100,-　,,합계,,1303466,100,100
,1공구,합계,,462487,66.50999999999999,30.39,30.389269559412195,-,,1공구,소계,297115,22.794227083790446,22.79
,,주택건설용지,,5564,1.2,0.37,0.3656014024795713,-,,,우주항공기 제조산업,186264,14.289900925685824,14.29
,,,단독주택,5564,1.2,0.37,0.3656014024795713,-,,,우주항공기 부품산업,98228,7.535908109609303,7.54
,,산업시설용지,,284492,61.51,18.69,18.693507223978827,-,,,복합용지,12623,0.9684180484953194,0.97
,,,제조시설용지,284492,61.51,18.69,18.693507223978827,-,,2공구,소계,1006351,77.20577291620955,77.21
,,복합용지,,12623,2.73,0.83,0.8294368266534199,-,,,우주항공기 연구개발업,1006351,77.20577291620955,77.21
,,지원시설용지,,4942,1.07,0.32,0.3247307927846947,-,,,,,,
,,공공시설용지,,154866,,10.18,10.168067148703312,-,,,,,,100.00999999999999
,,,도로,63699,13.77,4.19,4.185557824684797,-,,,,,,
,,,보행자도로,107,0.02,0.01,0.007030796201530217,-,,,,,,
,,,공원,26906,5.82,1.77,1.767949556994131,-,,,,,,
,,,녹지,34766,7.52,2.28,2.2844173901158835,-,,,,,,
,,,하천,8908,1.93,0.59,0.5853302108713193,-,,,,,,
,,,주차장,9182,1.99,0.6,0.603334305817294,-,,,,,,
,,,오‧폐수처리시설,1691,0.37,0.11,0.11111286333446353,-,,,,,,
,,,저류지,5811,1.26,0.38,0.38183137128123446,"공원중복(2,010㎡)",,,,,,
,,,완충저류시설,3504,0.76,0.23,0.23024214850618577,-,,,,,,
,,,주유소,2302,0.5,0.15,0.15126068089647252,-,,,,,,
,2공구,합계,,1059389,100,69.61,69.6107304405878,-,,,,,,
,,산업시설용지,,1006351,94.99,66.13,66.12568960940312,-,,,,,,
,,,연구시설용지,1006351,94.99,66.13,66.12568960940312,-,,,,,,
,,공공시설용지,,53038,5.01,3.49,3.4850408311846692,-,,,,,,
,,,녹지,53038,5.01,3.49,3.4850408311846692,-,,,,,,
,,,,,,,,,,,,,,
,,,,1공구,99.99999999999999,,,,,,,,,
,,,,2공구,100,,,,,,,,,
,,,,합계,,100,0.14,(저류지중복 면적),,,,,,
