차선도색  단위수량,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,황색실선 : T=10cm,,,,0.1,,,,,
,,,,,,,,,,,
,,황색실선 : T=10cm,,,,0.1,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,황색실선 : T=15cm,,,,0.2,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,백색실선 : T=15cm,,,,0.15,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,황색파선 : T=15cm,,,0.15,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,백색파선 : T=15cm,,,0.15,,,,,거푸집 양 옆 2
,,,,,,,,,,,
,,,,,,,,,,,
차선도색수량집계,,,,,,,,,,,
구분,,,수량,,,,,,비고,,
황색실선,2열,0.1,38,X,0.2,㎡  =,8,,,,
,1열,0.2,112,X,0.15,㎡  =,17,,,,
,계,,1열 + 2열,,,      =,25,,,,
황색파선,1열,0.15,0,X,0.08,㎡  =,0,,,,
백색실선,1열,0.15,1190,X,0.15,㎡  =,179,,,,
백색파선,1열,0.15,54,X,0.08,㎡  =,4,,,,
백색,문자및기호,,48,,,㎡  =,48,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
