L형옹벽 단위수량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공 종,,,,산          출          근          거,,,,,,,,,,,,,,,,,,,,,수  량,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
역L형 옹벽(H=2m)-구조물공,,,,,,,,,,,,,,,측              점,,,,,,,위치,단   위,,연장,높이,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.032,,,0.068,,0,+,0,~,0,+,13,우,"m,개소",,13,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"없음 ""0""",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,합계,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.5999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0,x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.4,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.1,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.1,,0.5,,,,,0.7,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. 콘크리트,,,,1),25-24-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,①,(,0.3,+,0.39999999999999997,) /,2,×,1.5999999999999999,,,,,,,,=,0.5599999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,②,(,0.3,+,0.4,) /,2,×,1.2000000000000002,,,,,,,,=,0.42000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,③,,0.4,×,0.39999999999999997,,,,,,,,,,,,=,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,④,,0.7,×,0.4,,,,,,,,,,,,=,0.27999999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,⑤,(,0,×,0,) /,2,,,,,,,,,,=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,소계 =,,1.42,,,1.42,㎥,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,합계,,1.42,,,×,0,,,,,,,,,,,,,,0,㎥,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2),25-18-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.1,×(,1.8000000000000003,-,0.4,),,,,,,,,,,=,0.14000000000000004,,,0.14000000000000004,㎥,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. 거푸집,,,,1),문양 거푸집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,√(,1.6,,+,0.068,,,,,,,,,,,=,1.6014443480808194,,,1.6014443480808194,㎡,,, ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,합계,,1.6014443480808194,,,×,0,,,,,,,,,,,,,,0,㎡,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2),유로폼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,√(,1.5999999999999999,,+,0.032,,,+,√(,1.5999999999999999,,+,0.068,,,=,3.2017643160872176,,,3.2017643160872176,㎡,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3),유로폼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.3,+,0.3,,,,,,,,,,,,,=,0.6,,,0.6,㎡,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4),마감부,,유로폼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.42,,×,1,개소,,,,,,,,,,,=,1.42,,,1.42,㎡,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.2017643160872176,,+,0.6,,+,1.42,,,,,,,,,=,5.221764316087217,,,5.221764316087217,㎡,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,합계,,5.221764316087217,,,×,0,,,,,,,,,,,,,,0,㎡,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6),기초,,합판6회,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.1,,×,4,개소,,,,,,,×,0,,,=,0,,,0,㎡,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. 배수관,,,,,0.39999999999999997,,X,2,,,,,,,,,,,,,=,0.8,,,0.8,m,,,,,,,,,,,,,,,,,,,,,,,,,
(PVCø50),,,,,합계,,0.8,,,×,0,,,,,,,,,,,,,,0,m,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. 스페이서,,,,1),벽체용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.2017643160872176,,+,0.6,,,,,,,,,×,0,,,=,0,,,0,㎡,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2),슬라브용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.6,,,,,,,,,,,,×,0,,,=,0,,,0,㎡,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.DRAINBOARD,,,,,√,((,2,-,0.5,,-,0.5,)²,+,0.032,,²),,,,=,1.0005118689950658,,,1.0005118689950658,㎡,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,합계,,1.0005118689950658,,,×,0,,,,,,,,,,,,,,0,㎡,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. 부직포,,,,,1.0005118689950658,,+,0.2,,,,,,,,,,,,,=,1.2005118689950658,,,1.2005118689950658,㎡,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,합계,,1.2005118689950658,,,×,0,,,,,,,,,,,,,,0,㎡,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. 철  근,,,,,H13,=,0.085,,,,,,,,,,×,0,,,=,0,,,0,TON,,,,D13,,,,,,D16,,,,,,D19,,,,,,D25,,,
,,,,,H16,=,0.027,,,,,,,,,,×,0,,,=,0,,,0,TON,,,4,6321,,25284,,,4,2039,,8156,,,4,4313,,17252,,,4,6324,,25296,
,,,,,H19,=,,,,,,,,,,,×,0,,,=,0,,,0,TON,,,22,1038,,22836,,,,,,,,,,,,,,,4,3902,,15608,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,합계,,0,,,×,0,,,,,,,,,,,,,,0,TON,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1038,,35292,,,,,,,,,,,,,,,4,3505,,14020,
8.신축이음,,,,1) 스치로폴 (T=20mm),,,,,,,,,,,,,,,,,,,,,,,,,4,570,,2280,,,,,,,,,,,,,,,4,4312,,17248,
,,,,,1.42,,,,,,,,,,,,×,0,,,=,0,,,0,㎡,,,20,550,,11000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1038,,19722,,,,,,,,,,,,,,,,,,,
,,,,2) DOWEL BAR,,,,,,,,,,,,,,,,,,,,,,,,,22,1038,,22836,,,,,,,,,,,,,,,,,,,
,,,,,1.5999999999999999,/,0.5,+,1.6,/,0.5,-,2,,,,×,0,,,=,0,,,0,EA,,,2,1272,,2544,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1302,,5208,,,,,,,,,,,,,,,,,,,
,,,,3) 충진제 (20X25),,,,,,,,,,,,,,,,,,,,,,,,,,,,147002,,,,,,8156,,,,,,17252,,,,,,72172,
,,,,,3.2017643160872176,,+,0.6,,+,√(,0.1,²+,1.2000000000000002,²),,,,,,,,,,,,,,중 량:,,,0.14626698999999999,,,중 량:,,,0.012723360000000001,,,중 량:,,,0.038817,,,중 량:,,,0.28724456,
,,,,,,,,,,,,,,,,,×,0,,,=,0,,,0,m,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. 비  계,,,,,1.5999999999999999,,+,1.5999999999999999,,,,,,,,,×,0,,,=,0,,,0,㎡,,,,,,,,,,,,,,,,,,,,,,,,,
(강  관),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. 수축줄눈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,√(,1.5999999999999999,,+,0.068,,,+,√(,1.2000000000000002,,+,0.1,,,,=,2.8056038059600485,,,2.8056038059600485,m,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,합계,,2.8056038059600485,,,×,0,,,,,,,,,,,,,,0,m,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
