,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이전,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구 분,,원단위(일),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,종량제,음식물,재활용,,,,,,,,,,,,,,,,,,,,,,,,,
합 계,,1370,1553,677,,,,,,,,,,,,,,,,,,,,,,,,,
주거용지,소 계,68,29,59,,,,,,,,,,,,,,,,,,,,,,,,,
,단독주택용지,22,15,13,,,,,,,,,,,,,,,,,,,,,,,,,
,준주거시설용지,46,14,46,,,,,,,,,,,,,,,,,,,,,,,,,
지원시설용지,,233,71,233,,,,,,,,,,,,,,,,,,,,,,,,,
산업시설용지,,1069,1454,385,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이전,,,,,,,,,,,,,,,,,,,,281607,,,,,,,,,
구 분,,발생량(kg/일),,,,구 분,,,배출시설계폐기물,,지정폐기물,,구분,인구(인),,,,,C24,9917,,복합용지 세부,,,,,,,
,,종량제,음식물,재활용,,,,,가연성,불연성,,,,계,상 근,이용,상 주,,C26,25185,,,계획면적(㎡),용적률,연면적(㎡),원단위,인구(인),,
합 계,,1370,1553,677,,산업시설용지,C24,1차 금속 제조업,13,4653,104,,합 계,8448,2824,5498,126,,C28,50321,,,,,,(인/천㎡),계,상근,이용
주거용지,소 계,68,29,59,,,C26,"전자 부품, 통신장비",87,535,943,,산업시설용지,2333,1576,757,0,,C29,89227,,소 계,12623,-,-,-,431,225,206
,단독주택용지,22,15,13,,,C28,전기장비,260,45,178,,연구시설용지(ADD),280,280,0,0,,C31,82618,,산업시설,6312,-,-,6.17,59,39,20
,준주거시설용지,46,14,46,,,C29,기타기계 및 장비,1329,14868,997,,복합시설용지,3376,674,2702,0,,M70,24339,,상업ㆍ업무,6311,4,25244,7.36,372,186,186
지원시설용지,,233,71,233,,,C31,기타 운송장비,262,1756,496,,지원시설용지,2333,294,2039,0,,,,,,,,,,,,
산업시설용지,,1069,1454,385,,,M70,연구개발업,20,17,635,,단독주택용지,126,0,0,126,,,,,,,,,,,,
2공구,연구용지,,,,,,,복합용지,30,715,100,,복합용지,,,,,,,,,,1.3,5.5,61.4,6.5,,,
,,,,,,,계,,2001,22589,3453,,,336,,,,,,,,총폐기물 발생량,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,75.6,2.2,5.5,61.4,6.5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,69.8,,,,,,,
생활폐기물 발생원단위,,,,,,폐기물 발생원별 발생원단위,,,,,,,,,,,,75.7,,,,9.099999999999994,,,,,,,
구분,제6차 조사 원단위(kg/인‧일),,,,,구 분,,,배출시설계폐기물,,지정폐기물,,,,,,,,,,,0.9634,72.50000000000001,69.84650000000002,,,,,
,합 계,종량제,음식물,재활용,,,,,가연성,불연성,,,,,,,,,,,,,73.4,70.7,,,,,
,0.95,0.33,0.31,0.3,,산업시설용지,C24,1차 금속 제조업,0.00132,0.46919,0.01045,,,,,,,,,,,,,,,,,,
평 균,0.45,0.13,0.16,0.16,,,C26,"전자 부품, 통신장비",0.00344,0.02124,0.03744,,,,,,,,,,,,,,,,,,
단독주택,0.27,0.12,0.08,0.07,,,C28,전기장비,0.00516,0.0009,0.00354,,,,,,,,,,,,,,,,,,
아파트,0.56,0.13,0.21,0.22,,,C29,기타기계 및 장비,0.0149,0.16663,0.01117,,,,,,,,,,,,,,,,,,
