총 괄 자 재 집 계 표,,,,,,,,,,
,,,,,,,,,,
구 분,규 격,단위,본선,가정배수,,계,할증계,비 고,,
레미콘,25-21-8,M3,0,0.13,,0.13,0.13,,,
,25-21-12,M3,0,0,,0,0,,,
아스콘,#78,TON,0,0,,0,0,,,
,#467,TON,0,,,0,0,,,
PE관,D225,m,75,,,75,75,,,
,D160,m,0,,,0,0,,,
,D63,m,0,,,0,0,,,
,D25,m,,165,,165,165,,,
"제수변
공기변부착형",D110,EA,0,,,0,0,,,
,D90,EA,0,,,0,0,,,
"제수변
일반용",D110,EA,0,,,0,0,,,
,D90,EA,0,,,0,0,,,
,D63,EA,0,,,0,0,,,
부단수밸브,D225,EA,2,,,2,2,,,
상수맨홀,1.5*1.5*1.5,EA,0,,,0,0,,,
와이어메쉬,,M2,0,0,,0,0,,,운반
보호통철개,318,EA,0,,,0,0,,,
맨홀뚜껑,648,EA,0,,,0,0,,,
상수도보호통및뚜껑,"H1100,갈바듐",EA,,2,,2,2,,,
"소켓플랜지
T형관",D225X160,EA,0,,,0,0,,,
,D90X90,EA,0,,,0,0,,,
플랜지관,D110,EA,0,,,0,0,,,
,D90,EA,0,,,0,0,,,
,D63,EA,0,,,0,0,,,
소켓플랜치관,D225,EA,2,,,2,2,,,
,D90,EA,0,,,0,0,,,
,D63,EA,0,,,0,0,,,
소켓편락관,D80XD160,EA,0,,,0,0,,,
곡관,D225*90,EA,2,,,2,2,,,
,D225*45,EA,6,,,6,6,,,
,D110*11.25,EA,0,,,0,0,,,
,D90*45,EA,0,,,0,0,,,
,D90*22.5,EA,0,,,0,0,,,
,D63*90,EA,0,,,0,0,,,
이경소켓,D225X32,EA,0,,,0,0,,,
,D32X20,EA,0,,,0,0,,,
이음관,D225,EA,2,,,2,2,,,
,D90,EA,0,,,0,0,,,
"부단수
할정자관",D225*225,EA,2,,,2,2,,,
,D90*90,EA,0,,,0,0,,,
"부단수
할정자관",D225,EA,0,,,0,0,,,
,D90*90,EA,0,,,0,0,,,
마개플랜지,D110,EA,0,,,0,0,,,
,D90,EA,0,,,0,0,,,
,D63,EA,0,,,0,0,,,
곡관,D110X90,EA,0,,,0,0,,,
단관,D110,EA,0,,,0,0,,,
소화전,D110,EA,0,,,0,0,,,
제수변보호통,철개,EA,0,,,0,0,,,
세들분기관,D225*25,EA,2,,,2,2,,,
,63X20,EA,0,0,,0,0,,,
,225X25,EA,0,0,,0,0,,,
보조기층,D40mm,M3,0,0,,0,0,,,운반
동상방지층,D75mm,M3,,,,0,0,,,
보차도경계석,"200x250x1,000",EA,,,,0,0,,,
도로경계석,"150x150x1,000",EA,,,,0,0,,,
보도블럭,T=6cm,M2,,,,0,0,,,
모래,,M3,28,12,,12,12,,,12
흄관,D400mm,본,0,,,0,0,,,
아스팔트,"RSC-3,4",D/M,0,0,,0,0,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
