폐 기 물 수 량 집 계 표,,,,,,,,
,,,,,,,,
공   종,규   격,단 위,포장공이기,,계,,,
무근 콘크리트 깨기,T=30㎝ 이상,M3,,,0,,,
,T=30㎝ 미만,M3,,,0,,,
철근 콘크리트 깨기,T=30㎝ 이상,M3,,,0,,,
,T=30㎝ 미만,M3,,,0,,,
기존 포장 절단,콘 크 리 트,M,0,,0,,,
,아  스  콘,M,0,,0,,,
기존 포장 깨기,콘 크 리 트,M3,0,,0,,,
,아  스  콘,M3,0,,0,,,
기존 포장 절삭,아스콘(T=5cm),M2,0,,0,,,
,,M3,0,,0,,,
보도블럭헐기,T=6cm (40%),M2,0,,0,,,
,,,,,,,,
폐기물 처리 :,,,,,,,,
■,폐콘크리트 :,0,TON,,,,,
1.,무근 콘크리트:,0,㎥  x  2.3 ton  =,0,TON,,,
2.,보 도 블 럭:,0,㎡x0.06x2.4ton  =,0,TON,,,
2.,철근 콘크리트:,0,㎥  x  2.4 ton  =,0,TON,,,
,계 :,,,0,TON,,,
■,폐아스콘 :,0,TON,,,,,
1.,아 스 콘:,0,㎥  x  2.35 ton  =,0,TON,,,
2.,아스콘 절삭:,0,㎥  x  2.35 ton  =,0,TON,,,
,계 :,,,0,TON,,,
,,,,,,,,
폐기물 상차 :,0,M3,,,,,,
1.,무근 콘크리트:,0,M3,,,,,
2.,보도블럭     :,0,M3,,,,,
3.,철근 콘크리트:,0,M3,,,,,
4.,아 스 콘:,0,M3,,,,,
,계 :,0,M3,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
