토공단위중량(덧씌우기포장D25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,토공단위중량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명 칭,산 출 근 거,,,,,,,,,,,,,,,,,,,,,,,,,,,,,단위,수 량,비 고,,"1)터파기(기계,토사)",0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,덧씌우기포장,,,,,,,,,,평균관경,,,,,=,D,25,,,,,,,,,,,,, ,,2)되메우기(관상단),0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,D=,,0.025,,,,토피=,,,0.8,,,,,L=,,1,,,,,,,,3)되메우기(관주위),0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,보조기층,,=,0.2,,,Con'c+asp,,,=,0.25,,,,L=,,0.2,,,,,,,,4)보조기층부설및다짐,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,con+ASP,,,,,,,,,,,,,,5)잔토처리,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.645,,,,,,,,,,,,,,,,,,,,,,,,,1)콘크리트포장절단,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,보조기층(20㎝),,,,,,,,,,,,,2)콘크리트포장깨기,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,3)아스팔트포장깨기,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4)콘크리트포장복구,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.8,0.3500000000000001,,0.5650000000000001,,,,,,,,,,,,,,,,,,,,,,,,,5)거푸집 (한면),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(관상단),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6)ASP포장복구(T=50),0.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.40499999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.07500000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.2,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(관주위),,,,,,,,,,,,,D25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,0.15,,,D,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.토공,,"1)터파기(기계,토사)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(,0.325,,,,+,0.645,,,)×,,0.5,,,,×,0.55,,,×,1,,,,,,,㎥,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2)되메우기(관상단),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(,0.40499999999999997,,,,+,0.5650000000000001,,,)×,,0.5,,,,×,0.15000000000000008,,,×,1,,,,,,,㎥,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3)되메우기(관주위),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(,0.325,,,,+,0.40499999999999997,,,)×,,0.5,,,,×,0.2,,,×,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,(,,0.7853981633974483,,,×,,0.025,,,) ×,,1,,,,,,,,,,,,,,=,㎥,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4)보조기층부설및다짐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,{,(,0.5650000000000001,,,,+,0.645,,,)×,,0.5,,,},×,0.2,,,×,1,,,,,,=,㎥,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5)잔토처리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.266,,,,-,0.072,,,,,,,,,,,,,×,1,,,,,,=,㎥,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 콘크리트,,1)콘크리트포장절단,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  포장,,,,1,,,x,,2,,,,×,1,,,,,,,,,,,,,,,=,M,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2)콘크리트포장깨기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.645,,,×,,0.25,,,,×,1,,,,,,,,,,,,,,,=,㎥,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3)아스팔트포장깨기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.645,,,×,,0.05,,,,×,1,,,,,,,,,,,,,,,=,㎥,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4)콘크리트포장복구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.645,,,,,,,,,×,1,,,,,,,,,,,,,,,=,㎡,0.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.645,,,×,,0.25,,,,×,1,,,,,,,,,,,,,,,=,㎥,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5)거푸집 (한면),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,×,,0.25,,,,,,,,,,,,,,,,,,,,=,㎡,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6)ASP포장복구(T=50),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.645,,,×,,1,,,,,,,,,,,,,,,,,,,,=,㎡,0.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
