공    종    명,규    격,단위,수   량,비    고
 5. 부 대 공,,,,
토 공,,,,
터파기,,㎥,2433.5099999999998,
되메우기,,㎥,2373.79,
1). 가배수로,,,,
천막지,,㎡,5487.339999999999,
마대쌓기,,ea,3168,
2). 침사지설치,,,,
레미콘타설,,㎥,15.94,
거푸집,,㎡,31.93,
잡석부설,,㎥,7.5,
천막지,,㎥,558.96,
3). 가설건물,,,,
가설사무소설치,,동,2,
레미콘타설,,㎥,9.360000000000001,
4)세륜세차시설,,,,
레미콘타설,,㎥,29.959999999999997,
거푸집,,㎡,45.07,
잡석부설,,㎥,23.6,
철근부설및접합,,Ton,0.801,
세륜세차시설 설치,,개소,1,
5)가설구조물설치,,,,
EGI휀스설치,,m,791,
가설방음벽설치,,m,190,
6) 운반,,,,
중기운반,,식,1,
철근운반,L=50km이내,TON,4.547,
7) 하차비,,,,
보도블럭하차비,,㎡,2729,
흄관하차비,D450,본,79,
흄관하차비,D600,본,8,
흄관하차비,D800,본,56,
맨홀하차비,상부 0.5m,EA,3,
맨홀하차비,연직 0.5m,EA,2,
맨홀하차비,연직 1.0m,EA,3,
맨홀하차비,하부 1.0m,EA,3,
사각맨홀하차비,0.6x0.6x0.6,EA,6,
사각맨홀하차비,0.8x0.8x0.8,EA,24,
사각맨홀하차비 상부,1.2x1.2x0.2,EA,3,
사각맨홀하차비 연직,1.2x1.2x1.0,EA,1,
사각맨홀하차비 하부,1.2x1.2x1.0,EA,7,
사각맨홀하차비,1.5x1.5x1.0,EA,6,
사각맨홀하차비,400x500,EA,28,
경계석하차비,250x200,M,388,
경계석하차비,200x250~100,본,5,
경계석하차비,200x100,본,6,
경계석하차비,150x150,본,686,
,,,,
8) 품질관리비,,,,
품질시험비,,식,1,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,121
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
