구  분,레미콘 (㎥),,,,,"가설방음판넬
+ 방진망","EGI 휀스
+ 방진망",가설출입문,잡석,,철근,,
,철 근,무 근,,D800,D1000,H=3.0+1.0m,H=3.0+1.0m,"H=6.0m,
W=8.0m","Φ150m/m
이하","Φ40m/m
이하",D13,,
,25-21-12,25-18-12,25-16-8,본,본,경간,경간,개소,㎥,㎥,ton,,
가배수로,,,,,,,,,,,,,
임시침사지 및            유출부수량,,15.94,,,,,,,7.5,,,,
가설사무소,,,9.360000000000001,,,,,,,,,,
세륜세차시설,26.06,,3.9,,,,,,,23.6,0.801,,
"가설울타리 및
방음판넬",,,,,,200,232,1,,,,,
폐유보관소,,,,,,,,,,,,,
흄관접합 및 부설,,,,0,0,,,,,,,,
단위환산,,,,,,,,,,,,,
소 계,,,,,,,,,,,,,
계,26.06,15.94,13.260000000000002,0,0,200,232,1,7.5,23.6,0.801,,
할 증,0.01,0.02,0.02,0.03,0.03,,,,0.04,0.04,0.03,,
합 계,26.32,16.26,13.53,0,0,200,232,1,7.8,24.54,0.825,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,0.02399999999999991,,
,,,,,,,,,,,23.99999999999991,,
