,,,,,,,,,
1. 업종별 세부면적(내부용),,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,구분,,면적,,,,,,
,합계,,1305047,,,,,,
,1공구,소계,285568,,,,,,
,,우주항공기 제조산업,180222,,,,,,
,,우주항공기 부품산업,98865,,,,,,
,,복합용지,6481,복합용지 내 산업시설면적,,,,,
,2공구,소계,1019479,,,,,,
,,우주항공기 연구개발업,1019479,,,,,,
,,,,,,, ,,
,,,,,,,,,
,구분,,희망면적,배율,최종,계획면적,,,
,1공구,소계,247849,,279087,,,,
,,우주항공기 제조산업,181762,0.9832748319230642,180222,180222,,,
,,C24,9917,,9751,,,,
,,C29,16500,,16224,,,,
,,C31,155345,,152747,,,,
,,M70,-,,1500,,,,
,,우주항공기 부품산업,66087,-,98865,98865,,,
,,C25,-,,12058,,,,
,,C26,16530,,21713,,,,
,,C28,33028,,43383,,,,
,,M70,16529,,21711,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,산업코드 면적분배표(검토자료 산출용),,,,,,,,
,산업군,업종,면적(㎡),,,,,,
,합계,,279087,,,,,,
,C24,1차 금속 제조업,9751,,,,,,
,C25,금속 가공제품 제조업,12058,,,,,,
,C26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",21713,,,,,,
,C28,전기장비 제조업,43383,,,,,,
,C29,기타 기계 및 장비 제조업,16224,,,,,,
,C31,기타 운송장비 제조업,152747,,,,,,
,M70,연구개발업,23211,,,,,,
,,,,,,,,,
